Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,81000 to 119000,1.3469157,0.04761077,0.0516073,0.57341442,0.20764553,0.14396177,0.18384014,0.10408341,0.03475239,11510.0,0.10115905,1.1805091,1.5133224,0.12354644
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 119000,1.4876512,0.05842276,0.06864248,0.6431613,0.21538068,0.19093851,0.13728496,0.11548288,0.05833759,11742.0,0.11418376,1.2998189,1.6754834,0.12626097
"2-4 Units  (Own/Rent), 2 BR",All Values,,2.0817658,0.17706839,0.29413093,0.71190021,0.28469897,0.21281683,0.21581912,0.10962325,0.07570806,75276.0,0.07968077,1.9506909,2.2128406,0.06296331
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 101000,1.9574098,0.16178612,0.29497654,0.5757159,0.25618832,0.21537777,0.23289112,0.13662838,0.08384566,24724.0,0.11975246,1.760417,2.1544026,0.10063953
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,101000 to 139000,2.0836127,0.21415894,0.2838099,0.72494577,0.28956813,0.22141589,0.20465391,0.08960757,0.05545257,25355.0,0.12567897,1.8768708,2.2903546,0.09922281
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 139000,2.2019288,0.15474064,0.30368695,0.83240068,0.30777474,0.20165099,0.21030281,0.10326626,0.08810573,25197.0,0.11707429,2.0093416,2.394516,0.08746296
"2-4 Units (Own/Rent), 3 BR",All Values,,3.0157159,0.24101059,0.75670165,0.87954444,0.45123589,0.26025762,0.21604416,0.13761377,0.0733078,20107.0,0.18536765,2.7107861,3.3206457,0.10111356
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 120000,3.0095414,0.28978147,0.96091105,0.71160357,0.45075408,0.26084949,0.16759003,0.11865189,0.04939982,6498.0,0.33386013,2.4603415,3.5587413,0.18248625
"2-4 Units (Own/Rent), 3 BR",Second Tercile,120000 to 187000,3.1757459,0.25070506,0.79456731,1.0374054,0.49710554,0.21804958,0.19044085,0.10657563,0.08089654,6737.0,0.3936432,2.5282028,3.8232889,0.20390267
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 187000,2.8646682,0.18538999,0.52648428,0.88358556,0.40672293,0.30107683,0.28696158,0.18597206,0.08847497,6872.0,0.31057561,2.3537713,3.3755651,0.17834417
"5-49 Units (Own), 0-1 BR",All Values,,1.3497223,0.00248198,0.04242997,0.39037939,0.20257653,0.22195958,0.24382461,0.12835362,0.11771658,8461.0,0.12602831,1.1424057,1.5570388,0.15359943
"5-49 Units (Own), 0-1 BR",First Tercile,Below 200000,1.5031354,0.0,0.03098488,0.31907045,0.20324603,0.21320546,0.28992992,0.19881962,0.24787901,2711.0,0.26909033,1.0604818,1.945789,0.29448684
"5-49 Units (Own), 0-1 BR",Second Tercile,200000 to 302000,1.2940031,0.0,0.08722741,0.44197819,0.18886293,0.20716511,0.22079439,0.10942368,0.0385514,2568.0,0.23160794,0.91300806,1.6749982,0.29443133
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 302000,1.2639849,0.00659962,0.01602766,0.40949089,0.21307354,0.24135764,0.22313011,0.08359522,0.07071025,3182.0,0.19507089,0.94309329,1.5848765,0.25387298
"5-49 Units (Own), 2 BR",All Values,,1.6741547,0.06289968,0.09487423,0.34066835,0.22467452,0.21985374,0.27681763,0.2646509,0.18971567,30493.0,0.07593789,1.5492369,1.7990725,0.07461546
"5-49 Units (Own), 2 BR",First Tercile,Below 212000,1.6539037,0.06770366,0.11616313,0.31339117,0.21378004,0.22754013,0.25605743,0.29464553,0.16462259,10029.0,0.14296507,1.4187261,1.8890812,0.14219542
"5-49 Units (Own), 2 BR",Second Tercile,212000 to 350000,1.6438275,0.05188029,0.05483363,0.37438472,0.22031896,0.21874385,0.33264422,0.20594605,0.1850758,10158.0,0.10866375,1.4650756,1.8225794,0.10874126
"5-49 Units (Own), 2 BR",Third Tercile ,Above 350000,1.7237532,0.06908597,0.11362313,0.33398021,0.23956918,0.21346788,0.24199495,0.29332428,0.21870755,10306.0,0.16029079,1.4600748,1.9874315,0.15296758
"5-49 Units (Own), 3 BR",All Values,,2.108405,0.0778319,0.23525754,0.4488548,0.300342,0.2175355,0.35713545,0.25546689,0.21598093,9649.0,0.19864792,1.7816292,2.4351809,0.15498722
"5-49 Units (Own), 3 BR",First Tercile,Below 236000,2.4290145,0.09958649,0.4658856,0.55341144,0.18607857,0.25740868,0.42694693,0.21605789,0.22363887,2902.0,0.35858062,1.8391493,3.0188796,0.24284134
"5-49 Units (Own), 3 BR",Second Tercile,236000 to 378000,2.0349716,0.05513548,0.14492754,0.50913674,0.24637681,0.25740391,0.39035917,0.22810334,0.20352867,3174.0,0.36970781,1.4268023,2.643141,0.29885888
