Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"50+ Units (Own), 2 BR",    Below Median,295000,1.8831169,0.0,0.0,0.0,0.0,0.0,0.72727273,1.0,0.15584416
"50+ Units (Own), 3 BR",All Values,,0.98507463,0.0,0.0,0.0,0.0,0.0,0.0,0.98507463,0.0
"50+ Units (Own), 3 BR",    Below Median,215000,0.98507463,0.0,0.0,0.0,0.0,0.0,0.0,0.98507463,0.0
"50+ Units (Rent), 0-1 BR",All Values,,1.4415744,0.0,0.0,0.57687577,0.0,0.0,0.0,0.17466175,0.6900369
"50+ Units (Rent), 0-1 BR",    Below Median,165000,1.3832237,0.0,0.0,0.48684211,0.0,0.0,0.0,0.16611842,0.73026316
"50+ Units (Rent), 0-1 BR",    Above Median,165000,1.6146341,0.0,0.0,0.84390244,0.0,0.0,0.0,0.2,0.57073171
"50+ Units (Rent), 2 BR",All Values,,1.9415121,0.16975749,0.12838802,0.34236805,0.23537803,0.0,0.19400856,0.16405136,0.70756063
"50+ Units (Rent), 2 BR",    Below Median,165000,1.9788054,0.22928709,0.0655106,0.25240848,0.1849711,0.0,0.26204239,0.22157996,0.76300578
"50+ Units (Rent), 2 BR",    Above Median,165000,1.8351648,0.0,0.30769231,0.5989011,0.37912088,0.0,0.0,0.0,0.54945055
All Housing Types (Own) 0-1 BR,All Values,,1.8310854,0.05716121,0.11817598,0.21836866,0.26075787,0.27874117,0.39563263,0.37186898,0.13037893
All Housing Types (Own) 0-1 BR,    Below Median,175000,1.6862027,0.03785104,0.04151404,0.27594628,0.27716728,0.34676435,0.3015873,0.37851038,0.02686203
All Housing Types (Own) 0-1 BR,    Above Median,175000,1.9918699,0.07859079,0.20325203,0.15447154,0.24254743,0.20325203,0.5,0.36449864,0.24525745
All Housing Types (Own) 2 BR,All Values,,1.9568455,0.05862135,0.11094138,0.23983196,0.24460569,0.2910063,0.43211762,0.38380752,0.19591369
All Housing Types (Own) 2 BR,    Below Median,250000,1.9251701,0.08449696,0.12853562,0.28070175,0.26315789,0.19513068,0.40744719,0.34837093,0.21732904
All Housing Types (Own) 2 BR,    Above Median,250000,1.9930442,0.02905074,0.0908347,0.19312602,0.22340426,0.40057283,0.46031097,0.42430442,0.17144026
All Housing Types (Own) 3 BR,All Values,,2.7810504,0.176934,0.56465578,0.43875089,0.40674237,0.44733854,0.37175302,0.25954578,0.11533002
All Housing Types (Own) 3 BR,    Below Median,300000,2.7402436,0.19042347,0.59853308,0.42568503,0.41655134,0.47813451,0.32216994,0.20869084,0.10005536
All Housing Types (Own) 3 BR,    Above Median,300000,2.8240093,0.1627331,0.52899184,0.45250583,0.39641608,0.41491841,0.42395105,0.31308275,0.13141026
All Housing Types (Own) 4-5 BR,All Values,,3.4320484,0.2553288,0.70884354,0.69281935,0.45260771,0.55993953,0.37414966,0.25578231,0.13257748
All Housing Types (Own) 4-5 BR,    Below Median,380000,3.3074085,0.25290945,0.69486233,0.77065001,0.44280443,0.57734885,0.25773489,0.16690321,0.14419529
All Housing Types (Own) 4-5 BR,    Above Median,380000,3.5740621,0.25808538,0.72477361,0.60413972,0.46377749,0.54010349,0.50679172,0.35705045,0.11934023
All Housing Types (Rent) 0-1 BR,All Values,,1.3447827,0.00260213,0.0,0.42076503,0.10044236,0.10564663,0.17069997,0.24720271,0.29742389
All Housing Types (Rent) 0-1 BR,    Below Median,96000,1.2558034,0.0,0.0,0.08284024,0.10332271,0.17933546,0.25079654,0.33227128,0.30723714
All Housing Types (Rent) 0-1 BR,    Above Median,96000,1.463548,0.00607533,0.0,0.87181045,0.09659781,0.0072904,0.06379101,0.13365735,0.28432564
All Housing Types (Rent) 2 BR,All Values,,2.1886943,0.19506369,0.30652866,0.76572452,0.3638535,0.08578822,0.2076035,0.08339968,0.18073248
All Housing Types (Rent) 2 BR,    Below Median,152000,2.193909,0.29182729,0.29799537,0.64340786,0.50192753,0.05088666,0.2386276,0.03199692,0.13723978
All Housing Types (Rent) 2 BR,    Above Median,152000,2.1831276,0.09176955,0.31563786,0.8962963,0.21646091,0.12304527,0.1744856,0.1382716,0.22716049
All Housing Types (Rent) 3 BR,All Values,,3.6396104,0.36796537,0.71969697,0.93181818,0.53896104,0.23917749,0.6461039,0.11255411,0.08333333
All Housing Types (Rent) 3 BR,    Below Median,167000,3.7,0.25423729,0.83050847,1.1016949,0.47457627,0.18474576,0.68644068,0.10169492,0.06610169
All Housing Types (Rent) 3 BR,    Above Median,167000,3.5329341,0.56886228,0.5239521,0.63173653,0.65269461,0.33532934,0.5748503,0.13173653,0.11377246
All Housing Types (Rent) 4-5 BR,All Values,,5.2039474,0.14473684,2.125,1.1973684,1.125,0.55263158,0.03289474,0.0,0.02631579
All Housing Types (Rent) 4-5 BR,    Below Median,266000,5.8686869,0.22222222,2.989899,0.46464646,1.2525253,0.84848485,0.05050505,0.0,0.04040404
All Housing Types (Rent) 4-5 BR,    Above Median,266000,3.9622642,0.0,0.50943396,2.5660377,0.88679245,0.0,0.0,0.0,0.0
