Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12)
"50+ Units (Rent), 2 BR",    Above Median,189000,0.06874849,0.00387315,0.0130719,0.05180344
"50+ Units (Rent), 3 BR",All Values,,0.97981651,0.47706422,0.20091743,0.30183486
"50+ Units (Rent), 3 BR",    Below Median,145000,1.1345566,0.61314985,0.24617737,0.27522936
"50+ Units (Rent), 3 BR",    Above Median,145000,0.74770642,0.27293578,0.13302752,0.34174312
All Housing Types (Own) 0-1 BR,All Values,,0.0734856,0.04518371,0.01737835,0.01092354
All Housing Types (Own) 0-1 BR,    Below Median,348000,0.08633981,0.06012951,0.0262103,0.0
All Housing Types (Own) 0-1 BR,    Above Median,348000,0.05859235,0.0278671,0.00714541,0.02357985
All Housing Types (Own) 2 BR,All Values,,0.10852459,0.05569087,0.01498829,0.03784543
All Housing Types (Own) 2 BR,    Below Median,350000,0.13240892,0.07748777,0.02129781,0.03362335
All Housing Types (Own) 2 BR,    Above Median,350000,0.0829779,0.03237689,0.00823963,0.04236138
All Housing Types (Own) 3 BR,All Values,,0.33654064,0.14647393,0.08479593,0.10527078
All Housing Types (Own) 3 BR,    Below Median,375000,0.36641013,0.17497995,0.08305319,0.10837699
All Housing Types (Own) 3 BR,    Above Median,375000,0.30279898,0.1142725,0.08676459,0.10176189
All Housing Types (Own) 4-5 BR,All Values,,0.66069267,0.26844995,0.17004083,0.22220189
All Housing Types (Own) 4-5 BR,    Below Median,500000,0.70536121,0.30317711,0.19316935,0.20901475
All Housing Types (Own) 4-5 BR,    Above Median,500000,0.61112596,0.22991476,0.14437613,0.23683507
All Housing Types (Rent) 0-1 BR,All Values,,0.01915808,0.0135703,0.00436691,0.00122086
All Housing Types (Rent) 0-1 BR,    Below Median,143000,0.02294348,0.0121246,0.00867375,0.00214512
All Housing Types (Rent) 0-1 BR,    Above Median,143000,0.01531987,0.01503617,0.0,0.0002837
All Housing Types (Rent) 2 BR,All Values,,0.28775853,0.14435781,0.07103506,0.07236566
All Housing Types (Rent) 2 BR,    Below Median,154000,0.37311354,0.19851405,0.08934293,0.08525656
All Housing Types (Rent) 2 BR,    Above Median,154000,0.20147397,0.08961179,0.05252781,0.05933437
All Housing Types (Rent) 3 BR,All Values,,0.57644607,0.25399119,0.12301281,0.19944207
All Housing Types (Rent) 3 BR,    Below Median,182000,0.64819631,0.28639061,0.13349337,0.22831233
All Housing Types (Rent) 3 BR,    Above Median,182000,0.50352399,0.22106262,0.11236107,0.1701003
All Housing Types (Rent) 4-5 BR,All Values,,0.93112986,0.38293459,0.23689669,0.31129858
All Housing Types (Rent) 4-5 BR,    Below Median,208000,0.84958367,0.35589578,0.22374429,0.26994359
All Housing Types (Rent) 4-5 BR,    Above Median,208000,1.0176739,0.41163056,0.25085519,0.35518814
