Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
All Housing Types (Own) 0-1 BR,    Above Median,160000,0.24532839,0.1063479,0.0717917,0.06718879
All Housing Types (Own) 2 BR,All Values,,0.23117998,0.10058029,0.05632461,0.07427508
All Housing Types (Own) 2 BR,    Below Median,180000,0.3347424,0.14729206,0.08305575,0.10439458
All Housing Types (Own) 2 BR,    Above Median,180000,0.12039432,0.05061047,0.02772904,0.04205481
All Housing Types (Own) 3 BR,All Values,,0.5047866,0.23185929,0.11979506,0.15313225
All Housing Types (Own) 3 BR,    Below Median,200000,0.60752371,0.2767494,0.14692971,0.18384459
All Housing Types (Own) 3 BR,    Above Median,200000,0.39769324,0.18506575,0.09150984,0.12111764
All Housing Types (Own) 4-5 BR,All Values,,0.93661618,0.40759084,0.23187982,0.29714553
All Housing Types (Own) 4-5 BR,    Below Median,300000,0.94556616,0.41549457,0.23152288,0.2985487
All Housing Types (Own) 4-5 BR,    Above Median,300000,0.92729267,0.39935723,0.23225165,0.29568379
All Housing Types (Rent) 0-1 BR,All Values,,0.0513662,0.03091722,0.00950037,0.01094861
All Housing Types (Rent) 0-1 BR,    Below Median,102000,0.07147833,0.04268134,0.01292713,0.01586986
All Housing Types (Rent) 0-1 BR,    Above Median,102000,0.03110545,0.01906617,0.00604828,0.005991
All Housing Types (Rent) 2 BR,All Values,,0.40357382,0.21726636,0.09176864,0.09453882
All Housing Types (Rent) 2 BR,    Below Median,111000,0.50638725,0.27767391,0.11608115,0.1126322
All Housing Types (Rent) 2 BR,    Above Median,111000,0.30018744,0.15652218,0.06732064,0.07634462
All Housing Types (Rent) 3 BR,All Values,,0.91064122,0.43201772,0.21489647,0.26372703
All Housing Types (Rent) 3 BR,    Below Median,139000,1.0674281,0.50658507,0.25004276,0.31080028
All Housing Types (Rent) 3 BR,    Above Median,139000,0.75232439,0.35672273,0.17940722,0.21619443
All Housing Types (Rent) 4-5 BR,All Values,,1.2098681,0.5290195,0.30993752,0.37091108
All Housing Types (Rent) 4-5 BR,    Below Median,169000,1.1854114,0.52482329,0.30714375,0.35344431
All Housing Types (Rent) 4-5 BR,    Above Median,169000,1.2346157,0.53326562,0.31276452,0.38858558
