Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 154000,0.41641337,0.20871327,0.12259372,0.08510638,987.0,0.26296636,-0.01616629,0.84899303,1.0388227
"5-49 Units (Own), 0-1 BR",All Values,,0.0017331,0.0017331,0.0,0.0,577.0,0.00245043,-0.00229786,0.00576406,2.325865
"5-49 Units (Own), 0-1 BR",First Tercile,Below 90000,0.0,0.0,0.0,0.0,146.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",Second Tercile,90000 to 188000,0.0,0.0,0.0,0.0,151.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 188000,0.00357143,0.00357143,0.0,0.0,280.0,0.00516348,-0.00492249,0.01206535,2.3782977
"5-49 Units (Own), 2 BR",All Values,,0.1439245,0.0747149,0.01258356,0.05662603,2543.0,0.05633176,0.05125875,0.23659025,0.64384974
"5-49 Units (Own), 2 BR",First Tercile,Below 129000,0.05128205,0.05128205,0.0,0.0,702.0,0.03999819,-0.01451497,0.11707907,1.2830419
"5-49 Units (Own), 2 BR",Second Tercile,129000 to 195000,0.20488941,0.0,0.03725262,0.16763679,859.0,0.12239934,0.00354249,0.40623632,0.98271023
"5-49 Units (Own), 2 BR",Third Tercile ,Above 195000,0.15682281,0.15682281,0.0,0.0,982.0,0.10955039,-0.02338758,0.33703321,1.1491338
"5-49 Units (Own), 3 BR",All Values,,0.09569798,0.09569798,0.0,0.0,1139.0,0.07904709,-0.03433448,0.22573044,1.3587796
"5-49 Units (Own), 3 BR",First Tercile,Below 250000,0.33850932,0.33850932,0.0,0.0,322.0,0.29597297,-0.14836621,0.82538485,1.4382929
"5-49 Units (Own), 3 BR",Second Tercile,250000 to 360000,0.0,0.0,0.0,0.0,359.0,.,.,.,.
"5-49 Units (Own), 3 BR",Third Tercile ,Above 360000,0.0,0.0,0.0,0.0,458.0,.,.,.,.
"5-49 Units (Rent), 0-1 BR",All Values,,0.07137639,0.03996201,0.01621859,0.01519579,13688.0,0.02602278,0.02856891,0.11418386,0.59974283
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 99000,0.02446075,0.01890149,0.00355793,0.00200133,4497.0,0.01470031,0.00027874,0.04864276,0.9886044
"5-49 Units (Rent), 0-1 BR",Second Tercile,99000 to 125000,0.14596756,0.08087092,0.02310598,0.04199067,4501.0,0.07402617,0.02419452,0.26774061,0.83424731
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 125000,0.04477612,0.02089552,0.0217484,0.0021322,4690.0,0.02763626,-0.00068554,0.09023778,1.0153103
"5-49 Units (Rent), 2 BR",All Values,,0.26327326,0.16527034,0.04641987,0.05158305,20530.0,0.03278988,0.20933391,0.31721261,0.20487972
