Structure,VALUE_TENURE,value_range,PERSONS,0-4,17-May,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"50+ Units (Own), 2 BR",    Below Median,514000,1.539886,0.02393162,0.06695157,0.11652422,0.16894587,0.13675214,0.16410256,0.24472934,0.61794872," 3,510 ",0.215,1.186,1.894,23%
"50+ Units (Own), 2 BR",    Above Median,514000,2.3198984,0.24563631,0.14852428,0.67914948,0.53824183,0.32814979,0.25388765,0.08536972,0.04093938," 3,151 ",0.298,1.830,2.810,21%
"50+ Units (Own), 3 BR",All Values,,2.9710704,0.35583414,0.6364513,0.35679846,0.89199614,0.10896818,0.30279653,0.28833173,0.02989392," 1,037 ",1.034,1.270,4.672,57%
"50+ Units (Own), 3 BR",    Below Median,800000,3.0263591,0.25864909,0.77265239,0.41186161,0.77759473,0.01812191,0.3261944,0.43163097,0.02965404, 607 ,1.593,0.406,5.646,87%
"50+ Units (Own), 3 BR",    Above Median,800000,2.8930233,0.49302326,0.44418605,0.27906977,1.0534884,0.2372093,0.26976744,0.08604651,0.03023256, 430 ,1.178,0.955,4.831,67%
"50+ Units (Rent), 0-1 BR",All Values,,1.4391442,0.03522151,0.03102455,0.62597723,0.17232204,0.09672199,0.10895625,0.15753669,0.2113839," 36,455 ",0.074,1.318,1.561,8%
"50+ Units (Rent), 0-1 BR",    Below Median,222000,1.3206061,0.03511843,0.03670478,0.28707401,0.07658224,0.08265412,0.15562606,0.28723812,0.35960834," 18,281 ",0.091,1.171,1.470,11%
"50+ Units (Rent), 0-1 BR",    Above Median,222000,1.5583801,0.03532519,0.02531088,0.96687576,0.26862551,0.11087268,0.06201167,0.02707164,0.06228678," 18,174 ",0.102,1.390,1.726,11%
"50+ Units (Rent), 2 BR",All Values,,2.1683734,0.22305311,0.18199571,0.75746606,0.39056918,0.23067397,0.16623005,0.0894975,0.12888783," 20,995 ",0.141,1.936,2.401,11%
"50+ Units (Rent), 2 BR",    Below Median,298000,2.0887485,0.18277846,0.23134962,0.69169103,0.28822032,0.23983778,0.1539187,0.10770537,0.19324719," 10,603 ",0.220,1.727,2.450,17%
"50+ Units (Rent), 2 BR",    Above Median,298000,2.2496151,0.2641455,0.13163972,0.8245766,0.49499615,0.2213241,0.17879138,0.07091994,0.06322171," 10,392 ",0.178,1.958,2.542,13%
"50+ Units (Rent), 3 BR",All Values,,3.0996198,0.36882129,0.59315589,0.99353612,0.51026616,0.35855513,0.14828897,0.09467681,0.03231939," 2,630 ",0.466,2.333,3.866,25%
"50+ Units (Rent), 3 BR",    Below Median,355000,3.1491354,0.30403458,0.75432277,1.0691643,0.4740634,0.31772334,0.17002882,0.04682997,0.0129683," 1,388 ",0.598,2.166,4.132,31%
"50+ Units (Rent), 3 BR",    Above Median,355000,3.0442834,0.44122383,0.41304348,0.90901771,0.55072464,0.4041868,0.12399356,0.14814815,0.05394525," 1,242 ",0.785,1.754,4.335,42%
All Housing Types (Own) 0-1 BR,All Values,,1.617562,0.06529123,0.08063907,0.40382438,0.27173229,0.17901623,0.19989936,0.14857215,0.26858724," 7,949 ",0.167,1.342,1.893,17%
All Housing Types (Own) 0-1 BR,    Below Median,350000,1.487721,0.03831041,0.06458743,0.3280943,0.14636542,0.12131631,0.25687623,0.17927308,0.35289784," 4,072 ",0.223,1.120,1.855,25%
All Housing Types (Own) 0-1 BR,    Above Median,350000,1.7539335,0.09362909,0.09749807,0.48336343,0.40340469,0.23961826,0.14005674,0.11632706,0.18003611," 3,877 ",0.268,1.313,2.195,25%
All Housing Types (Own) 2 BR,All Values,,1.8914747,0.07900041,0.11610242,0.23612407,0.23828898,0.14691501,0.23912881,0.41928259,0.41663245," 53,582 ",0.068,1.780,2.003,6%
