Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 131000,0.54174223,0.25618674,0.12215527,0.16340022,17093.0,0.06401999,0.43642934,0.64705512,0.19439668
"5-49 Units (Own), 0-1 BR",All Values,,0.00542618,0.00293918,0.002487,0.0,4423.0,0.00393956,-0.00105439,0.01190675,1.1943157
"5-49 Units (Own), 0-1 BR",First Tercile,Below 63000,0.00953778,0.00953778,0.0,0.0,1363.0,0.00975532,-0.00650972,0.02558529,1.6825196
"5-49 Units (Own), 0-1 BR",Second Tercile,63000 to 148000,0.00794798,0.0,0.00794798,0.0,1384.0,0.00830737,-0.00571765,0.0216136,1.7193842
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 148000,0.0,0.0,0.0,0.0,1676.0,.,.,.,.
"5-49 Units (Own), 2 BR",All Values,,0.05408081,0.02699541,0.00737875,0.01970665,22226.0,0.00962165,0.0382532,0.06990841,0.29266589
"5-49 Units (Own), 2 BR",First Tercile,Below 83000,0.07755102,0.03628118,0.01194255,0.02932729,6615.0,0.0205733,0.04370794,0.1113941,0.43639758
"5-49 Units (Own), 2 BR",Second Tercile,83000 to 135000,0.04842551,0.02183117,0.00172003,0.02487431,7558.0,0.01628864,0.0216307,0.07522032,0.55332023
"5-49 Units (Own), 2 BR",Third Tercile ,Above 135000,0.04010928,0.02421458,0.00894077,0.00695393,8053.0,0.0126761,0.01925709,0.06096146,0.51988428
"5-49 Units (Own), 3 BR",All Values,,0.23196276,0.08921645,0.06594259,0.07680372,3867.0,0.06829206,0.11962233,0.34430319,0.48430374
"5-49 Units (Own), 3 BR",First Tercile,Below 100000,0.3675527,0.20073327,0.08707608,0.07974335,1091.0,0.19436902,0.04781567,0.68728974,0.86990799
"5-49 Units (Own), 3 BR",Second Tercile,100000 to 166000,0.33914422,0.09033281,0.08240887,0.16640254,1262.0,0.1293307,0.12639522,0.55189321,0.62731129
"5-49 Units (Own), 3 BR",Third Tercile ,Above 166000,0.04491413,0.00792602,0.03698811,0.0,1514.0,0.03199534,-0.00771819,0.09754646,1.1718433
"5-49 Units (Rent), 0-1 BR",All Values,,0.02555521,0.01222405,0.00648956,0.00684159,196007.0,0.00316142,0.02035468,0.03075574,0.20350175
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 67000,0.02420575,0.01200832,0.00586233,0.0063351,63456.0,0.00614291,0.01410066,0.03431083,0.41746632
"5-49 Units (Rent), 0-1 BR",Second Tercile,67000 to 90000,0.02540012,0.01588449,0.00347803,0.00603761,66417.0,0.00476781,0.01755707,0.03324317,0.30877995
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 90000,0.02700578,0.00875495,0.01011583,0.008135,66134.0,0.00531265,0.01826646,0.03574509,0.3236091
"5-49 Units (Rent), 2 BR",All Values,,0.2775082,0.15353238,0.05884797,0.06512785,226278.0,0.01048895,0.26025387,0.29476252,0.06217591
"5-49 Units (Rent), 2 BR",First Tercile,Below 88000,0.28434182,0.15694506,0.05939262,0.06800414,74319.0,0.01787014,0.25494544,0.31373821,0.10338397
"5-49 Units (Rent), 2 BR",Second Tercile,88000 to 117000,0.32327052,0.17864014,0.06816445,0.07646594,75890.0,0.02092393,0.28885066,0.35769039,0.10647387
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 117000,0.22517714,0.12514954,0.04902128,0.05100632,76069.0,0.01625292,0.19844108,0.2519132,0.11873346
"5-49 Units (Rent), 3 BR",All Values,,0.97012296,0.48423352,0.21421273,0.27167671,28383.0,0.06883153,0.85689509,1.0833508,0.11671497
"5-49 Units (Rent), 3 BR",First Tercile,Below 87000,1.1987228,0.64390086,0.21939604,0.33542591,9239.0,0.15329825,0.94654719,1.4508984,0.21037025
"5-49 Units (Rent), 3 BR",Second Tercile,87000 to 123000,0.88670886,0.42911392,0.23016878,0.22742616,9480.0,0.11459086,0.6982069,1.0752108,0.21258608
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 123000,0.83340232,0.38565811,0.19360513,0.25413907,9664.0,0.11306744,0.64740637,1.0193983,0.22317666
"50+ Units (Own), 0-1 BR",All Values,,0.00789733,0.00789733,0.0,0.0,3039.0,0.00825918,-0.00568902,0.02148369,1.7203726
"50+ Units (Own), 0-1 BR",First Tercile,Below 86000,0.0,0.0,0.0,0.0,783.0,.,.,.,.
"50+ Units (Own), 0-1 BR",Second Tercile,86000 to 147000,0.0,0.0,0.0,0.0,1173.0,.,.,.,.
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 147000,0.02216066,0.02216066,0.0,0.0,1083.0,0.02347646,-0.01645812,0.06077945,1.7426726
"50+ Units (Own), 2 BR",All Values,,0.04263488,0.02242877,0.01252778,0.00767832,4949.0,0.01660303,0.01532289,0.06994686,0.6406019
"50+ Units (Own), 2 BR",First Tercile,Below 89000,0.11417323,0.06496063,0.04068241,0.00853018,1524.0,0.05276805,0.02736979,0.20097667,0.76027843
"50+ Units (Own), 2 BR",Second Tercile,89000 to 209000,0.02220888,0.00720288,0.0,0.015006,1666.0,0.0160636,-0.00421575,0.04863351,1.1898225
"50+ Units (Own), 2 BR",Third Tercile ,Above 209000,0.0,0.0,0.0,0.0,1759.0,.,.,.,.
"50+ Units (Own), 3 BR",All Values,,0.03384279,0.01746725,0.0,0.01637555,916.0,0.0303636,-0.01610533,0.08379092,1.4758865
"50+ Units (Own), 3 BR",First Tercile,Below 126000,0.0,0.0,0.0,0.0,243.0,.,.,.,.
"50+ Units (Own), 3 BR",Second Tercile,126000 to 210000,0.0,0.0,0.0,0.0,282.0,.,.,.,.
"50+ Units (Own), 3 BR",Third Tercile ,Above 210000,0.07928389,0.04092072,0.0,0.03836317,391.0,0.07145202,-0.03825469,0.19682246,1.4825027
"50+ Units (Rent), 0-1 BR",All Values,,0.00689042,0.00309702,0.00185088,0.00194251,109137.0,0.00168902,0.00411198,0.00966887,0.40323288
"50+ Units (Rent), 0-1 BR",First Tercile,Below 47000,0.00375386,0.00144593,0.00150154,0.00080638,35963.0,0.00185583,0.00070101,0.0068067,0.81325518
"50+ Units (Rent), 0-1 BR",Second Tercile,47000 to 94000,0.01431,0.00649707,0.00279621,0.00501672,36478.0,0.00437751,0.007109,0.02151099,0.50321466
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 94000,0.00258884,0.0013353,0.00125354,0.0,36696.0,0.00158641,-2.081e-05,0.00519849,1.0080383
"50+ Units (Rent), 2 BR",All Values,,0.15581159,0.08997658,0.03162236,0.03421265,48257.0,0.02084843,0.12151593,0.19010725,0.22010982
"50+ Units (Rent), 2 BR",First Tercile,Below 97000,0.18700711,0.11809955,0.03374273,0.03516484,15470.0,0.04211598,0.11772632,0.2562879,0.37047141
"50+ Units (Rent), 2 BR",Second Tercile,97000 to 135000,0.18498078,0.10622597,0.02895944,0.04979536,16126.0,0.03111309,0.13379974,0.23616182,0.27668303
"50+ Units (Rent), 2 BR",Third Tercile ,Above 135000,0.09861353,0.04813637,0.03223096,0.0182462,16661.0,0.02409719,0.05897365,0.13825341,0.40197204
"50+ Units (Rent), 3 BR",All Values,,0.48732206,0.26935053,0.1338968,0.08407473,4496.0,0.09347565,0.33355461,0.64108951,0.31553558
"50+ Units (Rent), 3 BR",First Tercile,Below 112000,0.40833932,0.19410496,0.12221423,0.09202013,1391.0,0.14650206,0.16734344,0.64933521,0.59018535
"50+ Units (Rent), 3 BR",Second Tercile,112000 to 168000,0.55439642,0.33457526,0.16169896,0.05812221,1342.0,0.1859597,0.24849271,0.86030014,0.55177793
"50+ Units (Rent), 3 BR",Third Tercile ,Above 168000,0.49858196,0.27906977,0.12195122,0.09756098,1763.0,0.15958851,0.23605886,0.76110507,0.52653952
All Housing Types (Own) 0-1 BR,All Values,,0.0796497,0.0421471,0.01599002,0.02151258,43277.0,0.009826,0.06348592,0.09581348,0.20293582
All Housing Types (Own) 0-1 BR,First Tercile,Below 70000,0.06372296,0.01964114,0.01580152,0.02828029,13543.0,0.01360354,0.04134513,0.08610078,0.35117367
All Housing Types (Own) 0-1 BR,Second Tercile,70000 to 140000,0.06047908,0.03743278,0.01152315,0.01152315,14319.0,0.01380441,0.03777083,0.08318734,0.37547286
All Housing Types (Own) 0-1 BR,Third Tercile ,Above 140000,0.11144989,0.06629906,0.0203049,0.02484593,15415.0,0.0281996,0.06506154,0.15783823,0.41622603
All Housing Types (Own) 2 BR,All Values,,0.11258444,0.05133869,0.02479965,0.03644609,468555.0,0.0038439,0.10626123,0.11890764,0.05616415
All Housing Types (Own) 2 BR,First Tercile,Below 87000,0.12848718,0.0655141,0.02662353,0.03634954,148365.0,0.00644647,0.11788273,0.13909162,0.08253311
All Housing Types (Own) 2 BR,Second Tercile,87000 to 152000,0.1151076,0.04730553,0.02752861,0.04027346,158417.0,0.00581072,0.10554897,0.12466622,0.0830408
All Housing Types (Own) 2 BR,Third Tercile ,Above 152000,0.09552892,0.04228765,0.02045459,0.03278668,161773.0,0.00638709,0.08502216,0.10603568,0.10998508
All Housing Types (Own) 3 BR,All Values,,0.33991906,0.1491196,0.08099646,0.10980301,1587625.0,0.00345696,0.33423236,0.34560576,0.01672958
All Housing Types (Own) 3 BR,First Tercile,Below 124000,0.33164744,0.1383634,0.08142759,0.11185645,507150.0,0.00580865,0.3220922,0.34120268,0.02881143
All Housing Types (Own) 3 BR,Second Tercile,124000 to 195000,0.32626483,0.14810163,0.07565468,0.10250852,546179.0,0.0064868,0.31559405,0.33693562,0.0327059
All Housing Types (Own) 3 BR,Third Tercile ,Above 195000,0.36172833,0.16036991,0.08604781,0.11531061,534296.0,0.0068359,0.35048327,0.37297339,0.03108703
All Housing Types (Own) 4-5 BR,All Values,,0.70023914,0.28543185,0.16929492,0.24551237,917021.0,0.00679689,0.68905827,0.71142002,0.01596722
All Housing Types (Own) 4-5 BR,First Tercile,Below 188000,0.61932695,0.23868751,0.14928012,0.23135931,297481.0,0.01286836,0.5981585,0.64049539,0.03417976
All Housing Types (Own) 4-5 BR,Second Tercile,188000 to 314000,0.67940539,0.28216687,0.16145443,0.23578408,307226.0,0.01450124,0.65555085,0.70325992,0.0351109
All Housing Types (Own) 4-5 BR,Third Tercile ,Above 314000,0.79780285,0.3331679,0.1960719,0.26856305,312314.0,0.01418575,0.77446729,0.82113841,0.02924978
All Housing Types (Rent) 0-1 BR,All Values,,0.02859192,0.01453626,0.00633298,0.00772268,422392.0,0.00239482,0.02465244,0.03253141,0.13778303
All Housing Types (Rent) 0-1 BR,First Tercile,Below 64000,0.01803731,0.00841257,0.0036002,0.00602453,137770.0,0.0031466,0.01286116,0.02321346,0.28696905
All Housing Types (Rent) 0-1 BR,Second Tercile,64000 to 89000,0.03107562,0.01814287,0.00681158,0.00612117,140496.0,0.00337855,0.02551791,0.03663333,0.17884475
All Housing Types (Rent) 0-1 BR,Third Tercile ,Above 89000,0.03625994,0.01687412,0.00847869,0.01090712,144126.0,0.00485815,0.02826828,0.0442516,0.22039924
All Housing Types (Rent) 2 BR,All Values,,0.27244498,0.14819017,0.05815334,0.06610147,626688.0,0.0054637,0.2634572,0.28143276,0.03298935
All Housing Types (Rent) 2 BR,First Tercile,Below 85000,0.24798979,0.14197922,0.04768904,0.05832153,206819.0,0.00962732,0.23215284,0.26382674,0.06386129
All Housing Types (Rent) 2 BR,Second Tercile,85000 to 112000,0.30331557,0.16336219,0.0658453,0.07410808,210220.0,0.01148999,0.28441455,0.3222166,0.06231473
All Housing Types (Rent) 2 BR,Third Tercile ,Above 112000,0.26561539,0.13910393,0.06076347,0.06574799,209649.0,0.00986805,0.24938244,0.28184833,0.06111447
All Housing Types (Rent) 3 BR,All Values,,0.82621638,0.3923162,0.19743276,0.23646742,334600.0,0.0160943,0.79974125,0.8526915,0.03204381
All Housing Types (Rent) 3 BR,First Tercile,Below 96000,0.7357476,0.37266896,0.17380753,0.18927112,110841.0,0.02854737,0.68878719,0.78270802,0.0638268
All Housing Types (Rent) 3 BR,Second Tercile,96000 to 128000,0.85710428,0.39848589,0.20150691,0.25711148,111088.0,0.02944041,0.80867481,0.90553375,0.05650359
All Housing Types (Rent) 3 BR,Third Tercile ,Above 128000,0.88476183,0.40556132,0.21665735,0.26254316,112671.0,0.03198992,0.83213841,0.93738525,0.0594775
All Housing Types (Rent) 4-5 BR,All Values,,1.2600391,0.56036975,0.32201011,0.37765924,96174.0,0.04216633,1.1906755,1.3294027,0.05504877
All Housing Types (Rent) 4-5 BR,First Tercile,Below 104000,1.0922985,0.5041668,0.27475707,0.31337463,31799.0,0.06557595,0.98442607,1.2001709,0.09875729
All Housing Types (Rent) 4-5 BR,Second Tercile,104000 to 145000,1.4426122,0.65963217,0.36184539,0.42113466,32080.0,0.07742373,1.3152502,1.5699743,0.0882857
All Housing Types (Rent) 4-5 BR,Third Tercile ,Above 145000,1.2438458,0.51710791,0.32896733,0.39777055,32295.0,0.07545654,1.1197198,1.3679718,0.09979212
