Structure,VALUE_TENURE,value_range,PERSONS,0-4,17-May,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 198000,2.4873166,0.19897887,0.36879705,0.76501927,0.48053599,0.2706597,0.20810042,0.11494763,0.08027768," 49,553 ",0.117,2.294,2.680,8%
"5-49 Units (Rent), 3 BR",All Values,,3.6875203,0.30493837,1.0544924,0.9972024,0.54618067,0.39940804,0.25486539,0.08336036,0.04707266," 24,664 ",0.218,3.330,4.045,10%
"5-49 Units (Rent), 3 BR",First Tercile,Below 142000,3.5681508,0.3260573,1.1524247,0.90685849,0.48269875,0.3648766,0.20786308,0.05779487,0.06957708," 8,063 ",0.408,2.897,4.239,19%
"5-49 Units (Rent), 3 BR",Second Tercile,142000 to 196000,4.1287934,0.38577325,1.2089099,1.1363195,0.56907016,0.43287206,0.25904346,0.09735373,0.03945132," 8,238 ",0.451,3.386,4.871,18%
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 196000,3.3679302,0.20495038,0.80796365,0.94726773,0.58483798,0.39973694,0.29606601,0.09422456,0.03288294," 8,363 ",0.330,2.825,3.911,16%
"50+ Units (Own), 0-1 BR",All Values,,1.3943076,0.02170381,0.01981935,0.228085,0.2073559,0.18935603,0.21632335,0.22594061,0.28572357," 15,389 ",0.089,1.248,1.541,11%
"50+ Units (Own), 0-1 BR",First Tercile,Below 193000,1.3028628,0.011846,0.01855874,0.14076999,0.16189536,0.11431392,0.27581441,0.23573544,0.34392892," 5,065 ",0.140,1.073,1.533,18%
"50+ Units (Own), 0-1 BR",Second Tercile,193000 to 371000,1.3166458,0.01335002,0.03003755,0.20901126,0.17876512,0.17563621,0.17855653,0.2252816,0.30600751," 4,794 ",0.160,1.053,1.580,20%
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 371000,1.5453888,0.03797468,0.01211573,0.32459313,0.27377939,0.26998192,0.19457505,0.21754069,0.21482821," 5,530 ",0.192,1.229,1.862,20%
"50+ Units (Own), 2 BR",All Values,,1.8456885,0.07561858,0.1158328,0.25814449,0.23984728,0.23994645,0.27202856,0.27629295,0.36797739," 20,167 ",0.113,1.660,2.032,10%
"50+ Units (Own), 2 BR",First Tercile,Below 300000,1.6395217,0.01114881,0.08886735,0.12716109,0.16917111,0.20956536,0.23089352,0.38390693,0.41880756," 6,189 ",0.177,1.348,1.931,18%
"50+ Units (Own), 2 BR",Second Tercile,300000 to 508000,1.7944502,0.04169725,0.1274409,0.1852885,0.1666422,0.20672442,0.27338129,0.29878138,0.4944942," 6,811 ",0.189,1.483,2.106,17%
"50+ Units (Own), 2 BR",Third Tercile ,Above 508000,2.0724152,0.16352728,0.12808707,0.44049114,0.37044789,0.29775359,0.30626482,0.16199247,0.20385098," 7,167 ",0.197,1.749,2.396,16%
"50+ Units (Own), 3 BR",All Values,,2.4256426,0.21113831,0.41401469,0.17013464,0.47184823,0.1627907,0.29926561,0.44063647,0.25581395," 3,268 ",0.439,1.703,3.149,30%
"50+ Units (Own), 3 BR",First Tercile,Below 387000,2.4227405,0.28765792,0.33333333,0.21671526,0.27016521,0.1350826,0.38289602,0.46452867,0.33236152," 1,029 ",0.767,1.161,3.685,52%
"50+ Units (Own), 3 BR",Second Tercile,387000 to 689000,2.1462656,0.07261411,0.38589212,0.17012448,0.41701245,0.16701245,0.35995851,0.40560166,0.16804979, 964 ,0.545,1.250,3.043,42%
"50+ Units (Own), 3 BR",Third Tercile ,Above 689000,2.6392157,0.25411765,0.50039216,0.13254902,0.67607843,0.18196078,0.18588235,0.44784314,0.26039216," 1,275 ",0.742,1.419,3.860,46%
"50+ Units (Rent), 0-1 BR",All Values,,1.3795703,0.04739356,0.03983481,0.37823679,0.14599067,0.1081629,0.16273421,0.22247622,0.27474112," 146,982 ",0.035,1.321,1.438,4%
"50+ Units (Rent), 0-1 BR",First Tercile,Below 77000,1.1649935,0.0154398,0.00970914,0.03704314,0.04607202,0.05730659,0.18055699,0.39098349,0.42788234," 48,511 ",0.050,1.082,1.248,7%
"50+ Units (Rent), 0-1 BR",Second Tercile,77000 to 167000,1.4624075,0.06958768,0.07313473,0.35745187,0.15691059,0.14212782,0.20673323,0.2097677,0.24669387," 48,773 ",0.068,1.351,1.574,8%
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 167000,1.5077267,0.05680309,0.03656083,0.73167934,0.23280615,0.12447181,0.10215703,0.07046561,0.15278281," 49,698 ",0.058,1.413,1.602,6%
"50+ Units (Rent), 2 BR",All Values,,2.3214528,0.20394432,0.31472425,0.67645904,0.3668035,0.26712475,0.21608067,0.12118508,0.15513118," 56,030 ",0.091,2.172,2.470,6%
"50+ Units (Rent), 2 BR",First Tercile,Below 159000,2.3351502,0.18219497,0.46601942,0.54664169,0.25907001,0.28013399,0.22983024,0.15675921,0.21450065," 17,613 ",0.176,2.046,2.624,12%
"50+ Units (Rent), 2 BR",Second Tercile,159000 to 273000,2.3623365,0.18190607,0.34666463,0.67384114,0.34081311,0.3005648,0.24713784,0.12216964,0.1492393," 19,653 ",0.158,2.102,2.622,11%
"50+ Units (Rent), 2 BR",Third Tercile ,Above 273000,2.2657749,0.24744191,0.13925602,0.80105521,0.49515029,0.21988915,0.17064592,0.08676188,0.1055745," 18,764 ",0.135,2.043,2.489,10%
"50+ Units (Rent), 3 BR",All Values,,3.2070758,0.23942238,0.66815884,0.99740072,0.44693141,0.2801444,0.34353791,0.13501805,0.09646209," 6,925 ",0.319,2.682,3.732,16%
"50+ Units (Rent), 3 BR",First Tercile,161000,2.9604333,0.09561941,0.74564296,0.87470561,0.29957607,0.20254357,0.46443712,0.14978804,0.12812058," 2,123 ",0.516,2.112,3.809,29%
"50+ Units (Rent), 3 BR",Second Tercile,161000 to 310000,3.5709076,0.31564019,0.86993517,0.92017828,0.57698541,0.30105348,0.34319287,0.160859,0.08306321," 2,468 ",0.619,2.552,4.589,29%
