Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12)
"5-49 Units (Rent), 2 BR",All Values,,0.32964031,0.17767162,0.0753872,0.0765815
"5-49 Units (Rent), 2 BR",First Tercile,Below 136000,0.36575086,0.19438913,0.08395043,0.0874113
"5-49 Units (Rent), 2 BR",Second Tercile,136000 to 192000,0.35337299,0.19664035,0.07560157,0.08113107
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 192000,0.27118899,0.14274983,0.06685823,0.06158093
"5-49 Units (Rent), 3 BR",All Values,,0.97221444,0.43648156,0.23377507,0.3019578
"5-49 Units (Rent), 3 BR",First Tercile,Below 149000,1.2262936,0.58715028,0.28039119,0.35875217
"5-49 Units (Rent), 3 BR",Second Tercile,149000 to 220000,0.94471583,0.41105683,0.23471941,0.29893959
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 220000,0.75805314,0.31848107,0.18857277,0.25099929
"50+ Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0
"50+ Units (Own), 0-1 BR",First Tercile,Below 348000,0.0,0.0,0.0,0.0
"50+ Units (Own), 0-1 BR",Second Tercile,348000 to 531000,0.0,0.0,0.0,0.0
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 531000,0.0,0.0,0.0,0.0
"50+ Units (Own), 2 BR",All Values,,0.03894917,0.0150771,0.00251285,0.02135922
"50+ Units (Own), 2 BR",First Tercile,Below 398000,0.04496012,0.03299492,0.0,0.01196519
"50+ Units (Own), 2 BR",Second Tercile,398000 to 785000,0.01783311,0.0,0.0,0.01783311
"50+ Units (Own), 2 BR",Third Tercile ,Above 785000,0.05421488,0.01355372,0.00727273,0.03338843
"50+ Units (Own), 3 BR",All Values,,0.06871795,0.01025641,0.01846154,0.04
"50+ Units (Own), 3 BR",First Tercile,Below 523000,0.16731518,0.03891051,0.07003891,0.05836576
"50+ Units (Own), 3 BR",Second Tercile,523000 to 850000,0.0,0.0,0.0,0.0
"50+ Units (Own), 3 BR",Third Tercile ,Above 850000,0.04928131,0.0,0.0,0.04928131
"50+ Units (Rent), 0-1 BR",All Values,,0.01224914,0.00741354,0.00178894,0.00304666
"50+ Units (Rent), 0-1 BR",First Tercile,Below 127000,0.01525835,0.00700422,0.00231116,0.00594298
"50+ Units (Rent), 0-1 BR",Second Tercile,127000 to 209000,0.01523921,0.0107818,0.00231039,0.00214702
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 209000,0.00626813,0.00444382,0.00074843,0.00107587
"50+ Units (Rent), 2 BR",All Values,,0.21700182,0.11005883,0.05268229,0.05426071
