Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
"50+ Units (Rent), 2 BR",All Values,,0.13196916,0.07384342,0.03169484,0.0264309
"50+ Units (Rent), 2 BR",    Below Median,231000,0.13381674,0.0936058,0.02387754,0.01633341
"50+ Units (Rent), 2 BR",    Above Median,231000,0.13007581,0.05359153,0.03970577,0.0367785
"50+ Units (Rent), 3 BR",All Values,,0.70732723,0.24812656,0.16860949,0.29059117
"50+ Units (Rent), 3 BR",    Below Median,220000,0.49081164,0.17457887,0.13169985,0.18453292
"50+ Units (Rent), 3 BR",    Above Median,220000,0.96532847,0.33576642,0.21259124,0.4169708
All Housing Types (Own) 0-1 BR,All Values,,0.08645494,0.04505972,0.02103692,0.02035831
All Housing Types (Own) 0-1 BR,    Below Median,305000,0.06557377,0.02966432,0.02107728,0.01483216
All Housing Types (Own) 0-1 BR,    Above Median,305000,0.10921986,0.06184397,0.02099291,0.02638298
All Housing Types (Own) 2 BR,All Values,,0.09782259,0.05390376,0.02451744,0.0194014
All Housing Types (Own) 2 BR,    Below Median,285000,0.10626049,0.06140561,0.02485008,0.0200048
All Housing Types (Own) 2 BR,    Above Median,285000,0.08885604,0.04593189,0.02416395,0.0187602
All Housing Types (Own) 3 BR,All Values,,0.39082468,0.18382501,0.09418057,0.1128191
All Housing Types (Own) 3 BR,    Below Median,300000,0.40763803,0.18965692,0.10311748,0.11486364
All Housing Types (Own) 3 BR,    Above Median,300000,0.3722073,0.17736736,0.08428475,0.11055518
All Housing Types (Own) 4-5 BR,All Values,,0.83673321,0.35098609,0.2133172,0.27242993
All Housing Types (Own) 4-5 BR,    Below Median,450000,0.81966633,0.34705147,0.20878464,0.26383022
All Housing Types (Own) 4-5 BR,    Above Median,450000,0.85469173,0.35512626,0.21808656,0.28147891
All Housing Types (Rent) 0-1 BR,All Values,,0.02745322,0.01527131,0.00622273,0.00595918
All Housing Types (Rent) 0-1 BR,    Below Median,165000,0.0225132,0.01134408,0.00460762,0.00656149
All Housing Types (Rent) 0-1 BR,    Above Median,165000,0.0324345,0.01923133,0.00785132,0.00535184
All Housing Types (Rent) 2 BR,All Values,,0.23623815,0.13426313,0.05059346,0.05138156
All Housing Types (Rent) 2 BR,    Below Median,169000,0.25594715,0.15620618,0.04807624,0.05166473
All Housing Types (Rent) 2 BR,    Above Median,169000,0.21633427,0.1121031,0.05313557,0.05109559
All Housing Types (Rent) 3 BR,All Values,,0.76621533,0.33364886,0.1839246,0.24864186
All Housing Types (Rent) 3 BR,    Below Median,187000,0.7825644,0.35066841,0.1968536,0.23504239
All Housing Types (Rent) 3 BR,    Above Median,187000,0.74954281,0.3162926,0.17073982,0.26251039
All Housing Types (Rent) 4-5 BR,All Values,,1.1420796,0.53952589,0.28034388,0.32220979
All Housing Types (Rent) 4-5 BR,    Below Median,231000,1.1729089,0.55537705,0.307561,0.30997088
All Housing Types (Rent) 4-5 BR,    Above Median,231000,1.1104238,0.52324982,0.25239715,0.33477678
