Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"2-4 Units (Own/Rent), 3 BR",Second Tercile,86000 to 138000,3.1441718,0.22940403,0.81178791,1.0543383,0.37751972,0.30477651,0.18952673,0.11722174,0.05959684
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 138000,2.675336,0.16774123,0.411649,0.99202273,0.33996285,0.2256584,0.21254508,0.19997814,0.1257786
"5-49 Units (Own), 0-1 BR",All Values,,1.2603378,0.0,0.11764706,0.39429237,0.15317414,0.19190448,0.13249854,0.11706465,0.15375655
"5-49 Units (Own), 0-1 BR",First Tercile,Below 147000,1.1388286,0.0,0.0032538,0.34381779,0.05531453,0.34924078,0.13015184,0.0845987,0.17245119
"5-49 Units (Own), 0-1 BR",Second Tercile,147000 to 209000,1.3792557,0.0,0.31749802,0.253365,0.28266033,0.13776722,0.18606492,0.08946952,0.11243072
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 209000,1.2297838,0.0,0.0,0.57405925,0.09447558,0.1305044,0.08006405,0.16893515,0.1817454
"5-49 Units (Own), 2 BR",All Values,,1.4893162,0.02183494,0.03125,0.36999199,0.14837073,0.21527778,0.22402511,0.27136752,0.20719818
"5-49 Units (Own), 2 BR",First Tercile,Below 119000,1.3999141,0.04381443,0.02426976,0.30498282,0.12886598,0.27255155,0.15893471,0.2628866,0.20360825
"5-49 Units (Own), 2 BR",Second Tercile,119000 to 200000,1.4091172,0.01487348,0.02704269,0.37415492,0.13424763,0.18002704,0.25439444,0.29360634,0.13077072
"5-49 Units (Own), 2 BR",Third Tercile ,Above 200000,1.6509819,0.0089442,0.04180439,0.42465487,0.18024499,0.19891114,0.25238188,0.25665954,0.28738091
"5-49 Units (Own), 3 BR",All Values,,2.0347283,0.06737281,0.29102275,0.31116513,0.18232332,0.27192221,0.30005209,0.38148984,0.2293801
"5-49 Units (Own), 3 BR",First Tercile,Below 152000,2.5632768,0.13502825,0.71525424,0.46666667,0.4299435,0.23333333,0.23785311,0.21412429,0.13107345
"5-49 Units (Own), 3 BR",Second Tercile,152000 to 300000,1.9091821,0.05519318,0.11239338,0.41244355,0.04565981,0.27295534,0.2940291,0.54641244,0.17009533
"5-49 Units (Own), 3 BR",Third Tercile ,Above 300000,1.6913828,0.01953908,0.09318637,0.07214429,0.0991984,0.30511022,0.36122244,0.36523046,0.3757515
"5-49 Units (Rent), 0-1 BR",All Values,,1.3143168,0.04470014,0.04388285,0.61399309,0.16508035,0.12486566,0.14340599,0.10218739,0.07620132
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 85000,1.237606,0.038442,0.05227175,0.34966988,0.12714381,0.13921553,0.2279564,0.18435754,0.11854905
"5-49 Units (Rent), 0-1 BR",Second Tercile,85000 to 117000,1.3309174,0.06063519,0.043006,0.71022378,0.17592664,0.13828437,0.1088319,0.05390649,0.04010305
