Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"2-4 Units (Own/Rent), 3 BR",Second Tercile,99000 to 154000,3.1498292,0.38311371,0.95070766,0.79038555,0.49902391,0.19521718,0.19424109,0.1124939,0.02464617
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 154000,2.783212,0.20382166,0.42129208,0.96314832,0.37374886,0.28343949,0.21496815,0.22725205,0.0955414
"5-49 Units (Own), 0-1 BR",All Values,,1.337233,0.00406918,0.03102747,0.23957274,0.15615463,0.1276704,0.15412004,0.37792472,0.24669379
"5-49 Units (Own), 0-1 BR",First Tercile,Below 85000,1.2816092,0.0,0.0,0.09195402,0.12068966,0.19731801,0.29501916,0.40229885,0.1743295
"5-49 Units (Own), 0-1 BR",Second Tercile,85000 to 200000,1.5328244,0.0,0.09312977,0.24122137,0.13587786,0.16641221,0.1129771,0.44427481,0.3389313
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 200000,1.2116603,0.01013942,0.0,0.33586819,0.1964512,0.04942966,0.09505703,0.30671736,0.21799747
"5-49 Units (Own), 2 BR",All Values,,1.5839258,0.02174137,0.03956723,0.23863988,0.14322514,0.19443586,0.35085008,0.37856775,0.21689851
"5-49 Units (Own), 2 BR",First Tercile,Below 120000,1.5297715,0.01190859,0.07209527,0.16768587,0.15738655,0.26906984,0.36981011,0.2784036,0.20341165
"5-49 Units (Own), 2 BR",Second Tercile,120000 to 185000,1.4957461,0.02356021,0.01636126,0.28992147,0.17539267,0.11289267,0.29188482,0.38645288,0.1992801
"5-49 Units (Own), 2 BR",Third Tercile ,Above 185000,1.7075099,0.02879729,0.0310559,0.25663467,0.10304912,0.19932242,0.38509317,0.45962733,0.24392998
"5-49 Units (Own), 3 BR",All Values,,1.7734668,0.01734311,0.15966387,0.18505274,0.15805471,0.12247452,0.35043805,0.51385661,0.26658323
"5-49 Units (Own), 3 BR",First Tercile,Below 143000,1.739819,0.0,0.10067873,0.25169683,0.07239819,0.16628959,0.4321267,0.48699095,0.22963801
