Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12)
"5-49 Units (Rent), 2 BR",Second Tercile,88000 to 117000,0.36060053,0.23614424,0.05808896,0.06636734
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 117000,0.28399078,0.16822557,0.03998916,0.07577606
"5-49 Units (Rent), 3 BR",All Values,,0.77925747,0.28026634,0.23748991,0.26150121
"5-49 Units (Rent), 3 BR",First Tercile,Below 98000,1.0245637,0.46541694,0.33484163,0.22430511
"5-49 Units (Rent), 3 BR",Second Tercile,98000 to 130000,0.61114513,0.20453154,0.16962645,0.23698714
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 130000,0.72015766,0.18862613,0.21509009,0.31644144
"50+ Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0
"50+ Units (Own), 0-1 BR",First Tercile,Below 129000,0.0,0.0,0.0,0.0
"50+ Units (Own), 0-1 BR",Second Tercile,129000 to 1047000,0.0,0.0,0.0,0.0
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 1047000,0.0,0.0,0.0,0.0
"50+ Units (Own), 2 BR",All Values,,0.14606742,0.14606742,0.0,0.0
"50+ Units (Own), 2 BR",First Tercile,Below 115000,1.0540541,1.0540541,0.0,0.0
"50+ Units (Own), 2 BR",Second Tercile,115000 to 270000,0.0,0.0,0.0,0.0
"50+ Units (Own), 2 BR",Third Tercile ,Above 270000,0.0,0.0,0.0,0.0
"50+ Units (Rent), 0-1 BR",All Values,,0.02872955,0.01294051,0.0,0.01578905
"50+ Units (Rent), 0-1 BR",First Tercile,Below 74000,0.02091503,0.0,0.0,0.02091503
"50+ Units (Rent), 0-1 BR",Second Tercile,74000 to 102000,0.0,0.0,0.0,0.0
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 102000,0.06337047,0.03690808,0.0,0.0264624
"50+ Units (Rent), 2 BR",All Values,,0.2530704,0.10880471,0.06071614,0.08354956
"50+ Units (Rent), 2 BR",First Tercile,Below 95000,0.3056346,0.2037564,0.09163347,0.01024474
"50+ Units (Rent), 2 BR",Second Tercile,95000 to 130000,0.30829651,0.09965636,0.05645557,0.15218459
"50+ Units (Rent), 2 BR",Third Tercile ,Above 130000,0.14997484,0.03422245,0.03774534,0.07800705
"50+ Units (Rent), 3 BR",All Values,,1.0132042,0.52816901,0.25352113,0.23151408
"50+ Units (Rent), 3 BR",First Tercile,Below 102000,1.6466165,0.29323308,0.96240602,0.39097744
"50+ Units (Rent), 3 BR",Second Tercile,102000 to 142000,0.95975855,0.67605634,0.28370221,0.0
"50+ Units (Rent), 3 BR",Third Tercile ,Above 142000,0.89920949,0.44466403,0.03754941,0.41699605
All Housing Types (Own) 0-1 BR,All Values,,0.13519632,0.06713831,0.02504422,0.0430138
All Housing Types (Own) 0-1 BR,First Tercile,Below 79000,0.14987824,0.08213416,0.02922294,0.03852114
All Housing Types (Own) 0-1 BR,Second Tercile,79000 to 182000,0.10806762,0.0498609,0.02632142,0.0318853
All Housing Types (Own) 0-1 BR,Third Tercile ,Above 182000,0.14742164,0.06976744,0.02002022,0.05763397
All Housing Types (Own) 2 BR,All Values,,0.14397545,0.07501385,0.0275477,0.0414139
All Housing Types (Own) 2 BR,First Tercile,Below 126000,0.15269032,0.07738741,0.03005168,0.04525123
All Housing Types (Own) 2 BR,Second Tercile,126000 to 221000,0.18110696,0.0954993,0.03196799,0.05363967
All Housing Types (Own) 2 BR,Third Tercile ,Above 221000,0.1031092,0.05469963,0.02133843,0.02707114
All Housing Types (Own) 3 BR,All Values,,0.30982025,0.13099862,0.07553768,0.10328395
All Housing Types (Own) 3 BR,First Tercile,Below 166000,0.39631744,0.169706,0.08686098,0.13975045
All Housing Types (Own) 3 BR,Second Tercile,166000 to 265000,0.33005591,0.13930544,0.08594796,0.10480251
All Housing Types (Own) 3 BR,Third Tercile ,Above 265000,0.20808433,0.08625476,0.05410334,0.06772622
All Housing Types (Own) 4-5 BR,All Values,,0.6402863,0.25478576,0.1675658,0.21793475
All Housing Types (Own) 4-5 BR,First Tercile,Below 212000,0.75780773,0.31058967,0.18899429,0.25822378
All Housing Types (Own) 4-5 BR,Second Tercile,212000 to 348000,0.65033984,0.25312871,0.16673859,0.23047254
All Housing Types (Own) 4-5 BR,Third Tercile ,Above 348000,0.52433534,0.20572478,0.1489046,0.16970596
All Housing Types (Rent) 0-1 BR,All Values,,0.04943947,0.02545367,0.00600048,0.01798532
All Housing Types (Rent) 0-1 BR,First Tercile,Below 67000,0.0562822,0.02715022,0.00797662,0.02115537
All Housing Types (Rent) 0-1 BR,Second Tercile,67000 to 92000,0.03957784,0.02633725,0.00556488,0.0076757
All Housing Types (Rent) 0-1 BR,Third Tercile ,Above 92000,0.05265668,0.02294191,0.00453115,0.02518363
All Housing Types (Rent) 2 BR,All Values,,0.29043826,0.16058546,0.06031164,0.06954116
All Housing Types (Rent) 2 BR,First Tercile,Below 86000,0.33715655,0.1806043,0.06963109,0.08692117
All Housing Types (Rent) 2 BR,Second Tercile,86000 to 114000,0.32015212,0.18671792,0.06743273,0.06600147
All Housing Types (Rent) 2 BR,Third Tercile ,Above 114000,0.21506446,0.11470381,0.04406583,0.05629482
All Housing Types (Rent) 3 BR,All Values,,0.69329998,0.30916765,0.17688603,0.2072463
All Housing Types (Rent) 3 BR,First Tercile,Below 110000,0.82664065,0.40746637,0.19266715,0.22650714
All Housing Types (Rent) 3 BR,Second Tercile,110000 to 150000,0.62125787,0.25239241,0.16749399,0.20137148
All Housing Types (Rent) 3 BR,Third Tercile ,Above 150000,0.63309025,0.26840879,0.17061683,0.19406462
All Housing Types (Rent) 4-5 BR,All Values,,1.1340191,0.49293273,0.32946052,0.31162584
All Housing Types (Rent) 4-5 BR,First Tercile,Below 117000,1.3206509,0.53174421,0.44602338,0.34288334
All Housing Types (Rent) 4-5 BR,Second Tercile,117000 to 171000,0.98436802,0.43479232,0.31263957,0.23693613
All Housing Types (Rent) 4-5 BR,Third Tercile ,Above 171000,1.1031678,0.51241438,0.23672945,0.35402397
