Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"50+ Units (Own), 2 BR",All Values,,0.06890857,0.0489416,0.01216034,0.00780664,6661,0.026,0.026,0.112,0.62
"50+ Units (Own), 2 BR",    Below Median,514000,0.04131054,0.02421652,0.01709402,0,3510,0.026,-0.001,0.083,1.02
"50+ Units (Own), 2 BR",    Above Median,514000,0.0996509,0.07648366,0.00666455,0.0165027,3151,0.045,0.025,0.174,0.75
"50+ Units (Own), 3 BR",All Values,,0.59980714,0.49083896,0.10896818,0,1037,0.332,0.054,1.145,0.91
"50+ Units (Own), 3 BR",    Below Median,800000,0.77265239,0.61779242,0.15485997,0,607,0.569,-0.164,1.709,1.21
"50+ Units (Own), 3 BR",    Above Median,800000,0.35581395,0.31162791,0.04418605,0,430,0.218,-0.002,0.714,1.01
"50+ Units (Rent), 0-1 BR",All Values,,0.02767796,0.010945,0.0028254,0.01390756,36455,0.009,0.013,0.042,0.52
"50+ Units (Rent), 0-1 BR",    Below Median,222000,0.0340791,0.01586346,0.00393852,0.01427712,18281,0.014,0.011,0.057,0.67
"50+ Units (Rent), 0-1 BR",    Above Median,222000,0.02123913,0.00599758,0.00170573,0.01353582,18174,0.01,0.006,0.037,0.74
"50+ Units (Rent), 2 BR",All Values,,0.13803286,0.07844725,0.01705168,0.04253394,20995,0.02,0.105,0.171,0.24
"50+ Units (Rent), 2 BR",    Below Median,298000,0.18607941,0.1006319,0.01565595,0.06979157,10603,0.038,0.124,0.248,0.33
"50+ Units (Rent), 2 BR",    Above Median,298000,0.08901078,0.05581216,0.01847575,0.01472286,10392,0.022,0.054,0.124,0.4
"50+ Units (Rent), 3 BR",All Values,,0.49581749,0.22243346,0.1095057,0.16387833,2630,0.122,0.295,0.696,0.4
"50+ Units (Rent), 3 BR",    Below Median,355000,0.60806916,0.20677233,0.17651297,0.22478386,1388,0.195,0.287,0.929,0.53
"50+ Units (Rent), 3 BR",    Above Median,355000,0.37037037,0.23993559,0.03462158,0.0958132,1242,0.149,0.125,0.616,0.66
All Housing Types (Own) 0-1 BR,All Values,,0.06290099,0.02277016,0.02843125,0.01169958,7949,0.02,0.03,0.096,0.52
All Housing Types (Own) 0-1 BR,    Below Median,350000,0.03978389,0.0203831,0.00466601,0.01473477,4072,0.018,0.01,0.07,0.76
All Housing Types (Own) 0-1 BR,    Above Median,350000,0.08718081,0.02527728,0.0533918,0.00851174,3877,0.039,0.023,0.152,0.74
All Housing Types (Own) 2 BR,All Values,,0.09805532,0.05093128,0.02235825,0.02476578,53582,0.014,0.074,0.122,0.24
All Housing Types (Own) 2 BR,    Below Median,340000,0.11893595,0.04832918,0.03447897,0.0361278,27292,0.026,0.076,0.162,0.36
All Housing Types (Own) 2 BR,    Above Median,340000,0.07637885,0.05363256,0.00977558,0.01297071,26290,0.013,0.056,0.097,0.27
All Housing Types (Own) 3 BR,All Values,,0.37361814,0.17507247,0.08998673,0.10855893,81412,0.019,0.343,0.405,0.08
All Housing Types (Own) 3 BR,    Below Median,387000,0.3731385,0.17560419,0.08480738,0.11272693,42909,0.025,0.332,0.414,0.11
