Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
All Housing Types (Own) 2 BR,    Above Median,173000,0.09999179,0.0549216,0.01978491,0.02528528
All Housing Types (Own) 3 BR,All Values,,0.42817652,0.19360533,0.10138218,0.13318901
All Housing Types (Own) 3 BR,    Below Median,250000,0.46468689,0.1975468,0.12424145,0.14289864
All Housing Types (Own) 3 BR,    Above Median,250000,0.38926729,0.18940488,0.07702098,0.12284142
All Housing Types (Own) 4-5 BR,All Values,,0.98166799,0.43734048,0.23308564,0.31124187
All Housing Types (Own) 4-5 BR,    Below Median,330000,1.0016664,0.45788713,0.24569314,0.29808611
All Housing Types (Own) 4-5 BR,    Above Median,330000,0.96059495,0.41568972,0.21980065,0.32510458
All Housing Types (Rent) 0-1 BR,All Values,,0.04075235,0.02366266,0.01370209,0.0033876
All Housing Types (Rent) 0-1 BR,    Below Median,99000,0.01471758,0.01004375,0.00208831,0.00258552
All Housing Types (Rent) 0-1 BR,    Above Median,99000,0.06768155,0.03774943,0.02571487,0.00421724
All Housing Types (Rent) 2 BR,All Values,,0.17266437,0.08465077,0.02245758,0.06555603
All Housing Types (Rent) 2 BR,    Below Median,113000,0.178511,0.08860175,0.01815105,0.07175819
All Housing Types (Rent) 2 BR,    Above Median,113000,0.16675732,0.08065895,0.02680861,0.05928977
All Housing Types (Rent) 3 BR,All Values,,0.77708902,0.40920737,0.19018101,0.17770064
All Housing Types (Rent) 3 BR,    Below Median,138000,0.75201288,0.40273752,0.18019324,0.16908213
All Housing Types (Rent) 3 BR,    Above Median,138000,0.80353201,0.41602989,0.20071319,0.18678893
All Housing Types (Rent) 4-5 BR,All Values,,0.81918185,0.41698178,0.13509797,0.2671021
All Housing Types (Rent) 4-5 BR,    Below Median,123000,0.73002283,0.40753425,0.08447489,0.2380137
All Housing Types (Rent) 4-5 BR,    Above Median,123000,0.95419188,0.43128781,0.21175454,0.31114952
