Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12)
"50+ Units (Own), 0-1 BR",First Tercile,Below 175000,0.0,0.0,0.0,0.0
"50+ Units (Own), 0-1 BR",Second Tercile,175000 to 279000,0.0,0.0,0.0,0.0
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 279000,0.0,0.0,0.0,0.0
"50+ Units (Own), 2 BR",All Values,,0.07785888,0.07785888,0.0,0.0
"50+ Units (Own), 2 BR",First Tercile,Below 250000,0.0,0.0,0.0,0.0
"50+ Units (Own), 2 BR",Second Tercile,250000 to 409000,0.0,0.0,0.0,0.0
"50+ Units (Own), 2 BR",Third Tercile ,Above 409000,0.13852814,0.13852814,0.0,0.0
"50+ Units (Own), 3 BR",All Values,,0.0,0.0,0.0,0.0
"50+ Units (Own), 3 BR",First Tercile,Below 250000,0.0,0.0,0.0,0.0
"50+ Units (Own), 3 BR",Second Tercile,250000 to 340000,0.0,0.0,0.0,0.0
"50+ Units (Own), 3 BR",Third Tercile ,Above 340000,0.0,0.0,0.0,0.0
"50+ Units (Rent), 0-1 BR",All Values,,0.01774607,0.01106842,0.00393341,0.00274424
"50+ Units (Rent), 0-1 BR",First Tercile,Below 52000,0.02881356,0.01355932,0.00677966,0.00847458
"50+ Units (Rent), 0-1 BR",Second Tercile,52000 to 98000,0.01521739,0.01521739,0.0,0.0
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 98000,0.00969828,0.00457974,0.00511853,0.0
"50+ Units (Rent), 2 BR",All Values,,0.11298037,0.07636484,0.02358568,0.01302985
"50+ Units (Rent), 2 BR",First Tercile,Below 85000,0.08729744,0.07161526,0.01568217,0.0
"50+ Units (Rent), 2 BR",Second Tercile,85000 to 118000,0.17750258,0.09081527,0.04592363,0.04076367
"50+ Units (Rent), 2 BR",Third Tercile ,Above 118000,0.07866184,0.06781193,0.01084991,0.0
"50+ Units (Rent), 3 BR",All Values,,1.0239726,0.72773973,0.19520548,0.1010274
"50+ Units (Rent), 3 BR",First Tercile,Below 118000,0.76351351,0.27027027,0.37837838,0.11486486
"50+ Units (Rent), 3 BR",Second Tercile,118000 to 140000,0.0,0.0,0.0,0.0
"50+ Units (Rent), 3 BR",Third Tercile ,Above 140000,1.218593,0.96733668,0.14572864,0.10552764
All Housing Types (Own) 0-1 BR,All Values,,0.07086381,0.02497598,0.01596098,0.02992685
All Housing Types (Own) 0-1 BR,First Tercile,Below 60000,0.03446681,0.01989359,0.00161925,0.01295397
All Housing Types (Own) 0-1 BR,Second Tercile,60000 to 148000,0.06740596,0.01500326,0.01782996,0.03457273
All Housing Types (Own) 0-1 BR,Third Tercile ,Above 148000,0.10843635,0.0396877,0.02754283,0.04120581
All Housing Types (Own) 2 BR,All Values,,0.11774537,0.05466424,0.02928188,0.03379925
All Housing Types (Own) 2 BR,First Tercile,Below 75000,0.16258567,0.07410148,0.04298723,0.04549696
All Housing Types (Own) 2 BR,Second Tercile,75000 to 142000,0.09510608,0.04966249,0.01949735,0.02594624
All Housing Types (Own) 2 BR,Third Tercile ,Above 142000,0.09910929,0.04195317,0.02634404,0.03081208
All Housing Types (Own) 3 BR,All Values,,0.31127771,0.13244698,0.07567968,0.10315105
All Housing Types (Own) 3 BR,First Tercile,Below 100000,0.3257769,0.13111328,0.0842173,0.11044631
