Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,68000 to 92000,2.2385939,0.19498878,0.3973074,0.86746447,0.1946896,0.19670905,0.20104712,0.1065819,0.07980553,13370.0,0.19254345,1.9218599,2.5553278,0.14148791
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 92000,2.3136344,0.22731233,0.34427182,0.87723247,0.22644112,0.17910556,0.22469871,0.13714244,0.09742994,13774.0,0.19829879,1.9874329,2.6398359,0.14099095
"2-4 Units (Own/Rent), 3 BR",All Values,,3.1863415,0.40663415,0.99278049,0.85287805,0.3497561,0.23931707,0.15063415,0.10926829,0.08507317,10250.0,0.25224555,2.7713975,3.6012854,0.13022582
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 83000,3.2785081,0.5551819,1.1904616,0.69703455,0.37694895,0.20605319,0.12626108,0.09202079,0.03454601,3271.0,0.45967258,2.5223467,4.0346695,0.23064192
"2-4 Units (Own/Rent), 3 BR",Second Tercile,83000 to 117000,3.1125731,0.34736842,0.78128655,0.91900585,0.39064327,0.27748538,0.12807018,0.13654971,0.13216374,3420.0,0.49609739,2.2964929,3.9286533,0.26218828
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 117000,3.1725204,0.32705816,1.0143299,0.93256533,0.28547345,0.23321158,0.19471762,0.09890419,0.08626019,3559.0,0.53511965,2.2922485,4.0527922,0.27746767
"5-49 Units (Own), 0-1 BR",All Values,,1.1111111,0.0,0.0,0.18128655,0.10526316,0.0877193,0.25146199,0.0,0.48538012,171.0,0.56047646,0.18912733,2.0330949,0.8297854
"5-49 Units (Own), 0-1 BR",First Tercile,Below 100000,0.96296296,0.0,0.0,0.40740741,0.0,0.55555556,0.0,0.0,0.0,27.0,1.1461015,-0.92237393,2.8482999,1.9578498
"5-49 Units (Own), 0-1 BR",Second Tercile,100000 to 180000,1.1111111,0.0,0.0,0.0,0.44444444,0.0,0.66666667,0.0,0.0,9.0,1.2450267,-0.93695779,3.15918,1.843262
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 180000,1.1407407,0.0,0.0,0.14814815,0.1037037,0.0,0.27407407,0.0,0.61481481,135.0,0.68086526,0.02071738,2.2607641,0.98183866
"5-49 Units (Own), 2 BR",All Values,,1.6859206,0.01714801,0.10018051,0.39350181,0.03790614,0.15162455,0.39801444,0.34296029,0.24458484,1108.0,0.48602753,0.88640529,2.4854359,0.4742307
"5-49 Units (Own), 2 BR",First Tercile,Below 100000,1.5414201,0.05621302,0.16863905,0.09171598,0.0,0.1183432,0.56508876,0.34911243,0.19230769,338.0,0.61367585,0.53192335,2.5509169,0.65491345
"5-49 Units (Own), 2 BR",Second Tercile,100000 to 180000,1.398374,0.0,0.0,0.37804878,0.0,0.0,0.15447154,0.46341463,0.40243902,246.0,0.77698994,0.12022553,2.6765224,0.91402477
"5-49 Units (Own), 2 BR",Third Tercile ,Above 180000,1.9141221,0.0,0.10305344,0.59541985,0.08015267,0.24427481,0.40458015,0.28244275,0.20419847,524.0,0.83275944,0.54423286,3.2840114,0.71567496
