Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"2-4 Units (Own/Rent), 3 BR",Second Tercile,103000 to 134000,3.1995701,0.26528748,0.99140247,0.88527673,0.48586781,0.27119828,0.16211714,0.0839871,0.0544331
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 134000,3.0177697,0.25723558,0.58453926,0.9394552,0.49116833,0.26393914,0.23707172,0.15966163,0.08469887
"5-49 Units (Own), 0-1 BR",All Values,,1.1504624,0.0139965,0.007998,0.24668833,0.16220945,0.20744814,0.19895026,0.17945514,0.13371657
"5-49 Units (Own), 0-1 BR",First Tercile,Below 105000,1.1192587,0.01611604,0.02578566,0.1361805,0.09750201,0.25382756,0.35455278,0.15149073,0.08380338
"5-49 Units (Own), 0-1 BR",Second Tercile,105000 to 200000,1.1490846,0.0,0.0,0.29642546,0.31996513,0.18395815,0.06625981,0.11159547,0.17088056
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 200000,1.1754495,0.02231866,0.0,0.29634222,0.09981401,0.18846869,0.17358958,0.24922505,0.14569126
"5-49 Units (Own), 2 BR",All Values,,1.5244167,0.01590536,0.08557345,0.27380874,0.10962866,0.20440355,0.24482419,0.30910286,0.2811699
"5-49 Units (Own), 2 BR",First Tercile,Below 128000,1.3252317,0.0,0.04593203,0.25684861,0.11101957,0.10607621,0.22162719,0.30195675,0.28177137
"5-49 Units (Own), 2 BR",Second Tercile,128000 to 183000,1.6287487,0.0,0.15615305,0.29162358,0.10486039,0.26907963,0.2622544,0.27362978,0.27114788
"5-49 Units (Own), 2 BR",Third Tercile ,Above 183000,1.6081448,0.0438009,0.05864253,0.27312217,0.11257919,0.23420814,0.24995475,0.34642534,0.28941176
"5-49 Units (Own), 3 BR",All Values,,1.7852374,0.03783383,0.20808605,0.19324926,0.16876855,0.27077151,0.3115727,0.25853116,0.33642433
"5-49 Units (Own), 3 BR",First Tercile,Below 150000,1.334258,0.0,0.0887656,0.06241331,0.04022191,0.2149792,0.3481276,0.30929265,0.2704577
"5-49 Units (Own), 3 BR",Second Tercile,150000 to 230000,2.0342541,0.11270718,0.3801105,0.19116022,0.32375691,0.20220994,0.2839779,0.10607735,0.43425414
"5-49 Units (Own), 3 BR",Third Tercile ,Above 230000,1.8785047,0.0,0.14299065,0.28317757,0.12429907,0.36635514,0.31028037,0.35327103,0.29813084
"5-49 Units (Rent), 0-1 BR",All Values,,1.2055002,0.02293903,0.01519328,0.52210078,0.10811813,0.11500951,0.16553019,0.12965471,0.12695457
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 71000,1.1153415,0.01134752,0.00940649,0.25280577,0.10705487,0.13913152,0.2450168,0.19828294,0.15229563
"5-49 Units (Rent), 0-1 BR",Second Tercile,71000 to 97000,1.2288855,0.02697081,0.02195958,0.55463893,0.12376788,0.14286727,0.1438837,0.10934878,0.10544853
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 97000,1.2688441,0.03003992,0.01390158,0.74926644,0.09322238,0.06335081,0.11073164,0.08398672,0.12434461
"5-49 Units (Rent), 2 BR",All Values,,1.9474504,0.13367758,0.22776677,0.81463346,0.21777323,0.17258341,0.17212342,0.10228731,0.10660524
"5-49 Units (Rent), 2 BR",First Tercile,Below 92000,1.8515609,0.14696333,0.25056193,0.69608355,0.19984107,0.17777273,0.20099898,0.09460779,0.08473152
"5-49 Units (Rent), 2 BR",Second Tercile,92000 to 118000,1.9527702,0.14379971,0.23790376,0.86917403,0.21773226,0.15412983,0.14657662,0.08257431,0.10087973
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 118000,2.034574,0.11091672,0.19583188,0.87513121,0.23508572,0.18575052,0.16945854,0.1290894,0.13331001
"5-49 Units (Rent), 3 BR",All Values,,3.1277124,0.26065359,0.97712418,1.0022222,0.43797386,0.22156863,0.13496732,0.0596732,0.03352941
"5-49 Units (Rent), 3 BR",First Tercile,Below 106000,2.7931247,0.17023466,1.0016468,0.84170441,0.35302594,0.22869494,0.10930424,0.06381227,0.02470152
"5-49 Units (Rent), 3 BR",Second Tercile,106000 to 134000,3.2322442,0.36626883,0.97084719,0.89904128,0.52709842,0.22285267,0.16532968,0.03443553,0.04637057
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 134000,3.3323954,0.24179328,0.96079535,1.2474207,0.4299381,0.21384356,0.12924404,0.08009754,0.0292628
"50+ Units (Own), 0-1 BR",All Values,,1.1545492,0.01828002,0.00540091,0.27503116,0.07478189,0.24719568,0.25259659,0.08641462,0.19484836
"50+ Units (Own), 0-1 BR",First Tercile,Below 149000,1.1264205,0.0,0.01846591,0.390625,0.0,0.11931818,0.33238636,0.17471591,0.09090909
"50+ Units (Own), 0-1 BR",Second Tercile,149000 to 345000,1.1660182,0.05706874,0.0,0.23605707,0.12451362,0.16731518,0.20103761,0.02983139,0.35019455
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 345000,1.166309,0.0,0.0,0.21995708,0.09012876,0.40987124,0.23497854,0.06652361,0.14484979
"50+ Units (Own), 2 BR",All Values,,1.4477884,0.01778386,0.00729594,0.24897401,0.13634291,0.20611035,0.1504788,0.37938896,0.30141359
"50+ Units (Own), 2 BR",First Tercile,Below 108000,1.2804183,0.06463878,0.03041825,0.11121673,0.18155894,0.14923954,0.26140684,0.33079848,0.15114068
"50+ Units (Own), 2 BR",Second Tercile,108000 to 221000,1.2154286,0.0,0.0,0.19485714,0.01657143,0.088,0.06571429,0.45371429,0.39657143
"50+ Units (Own), 2 BR",Third Tercile ,Above 221000,1.8156566,0.00631313,0.0,0.40025253,0.23863636,0.37436869,0.17045455,0.32954545,0.29608586
"50+ Units (Own), 3 BR",All Values,,2.4770318,0.32155477,0.16254417,0.09893993,0.45936396,0.10954064,0.54770318,0.66431095,0.1130742
"50+ Units (Own), 3 BR",First Tercile,Below 419000,3.1071429,0.0,0.0,0.0,0.0,1.1071429,1.0,0.03571429,0.96428571
"50+ Units (Own), 3 BR",Second Tercile,419000 to 514000,2.5486111,0.5,0.31944444,0.19444444,0.53472222,0.0,0.61111111,0.38194444,0.00694444
"50+ Units (Own), 3 BR",Third Tercile ,Above 514000,2.2252252,0.17117117,0.0,0.0,0.47747748,0.0,0.35135135,1.1891892,0.03603604
"50+ Units (Rent), 0-1 BR",All Values,,1.1526532,0.00481776,0.01302327,0.42733355,0.05621287,0.06375445,0.13527179,0.16649359,0.2857459
"50+ Units (Rent), 0-1 BR",First Tercile,Below 63000,1.0232966,0.0,0.00134007,0.06617874,0.03963509,0.08473353,0.21662715,0.31527678,0.29950521
"50+ Units (Rent), 0-1 BR",Second Tercile,63000 to 118000,1.1596227,0.00726729,0.01541078,0.48685703,0.05411813,0.06246779,0.15895269,0.13034739,0.24420163
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 118000,1.271756,0.00712244,0.02206952,0.72087074,0.07438431,0.04459046,0.03305412,0.05687917,0.31278527
"50+ Units (Rent), 2 BR",All Values,,1.6928766,0.06072402,0.07606072,0.67960296,0.09961074,0.12635267,0.09291553,0.16309848,0.39451148
"50+ Units (Rent), 2 BR",First Tercile,Below 116000,1.5498183,0.04348916,0.10389773,0.53402682,0.08096253,0.13673393,0.09712997,0.17345532,0.38012282
