Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 553000,0.0564751,0.02507637,0.0146338,0.01676494,14077.0,0.01492992,0.03191538,0.08103483,0.43487702
"5-49 Units (Own), 2 BR",All Values,,0.12463654,0.059449,0.03027874,0.03490881,117277.0,0.00871589,0.1102989,0.13897419,0.11503566
"5-49 Units (Own), 2 BR",First Tercile,Below 413000,0.16433264,0.06824071,0.04062508,0.05546685,38203.0,0.01722101,0.13600409,0.1926612,0.17238546
"5-49 Units (Own), 2 BR",Second Tercile,413000 to 663000,0.10721863,0.05115136,0.02833118,0.02773609,38650.0,0.01239155,0.08683453,0.12760273,0.19011713
"5-49 Units (Own), 2 BR",Third Tercile ,Above 663000,0.10377499,0.05907382,0.02236295,0.02233821,40424.0,0.01244302,0.08330622,0.12424375,0.19724181
"5-49 Units (Own), 3 BR",All Values,,0.28011312,0.11052523,0.07190621,0.09768168,33947.0,0.02317097,0.24199688,0.31822936,0.13607445
"5-49 Units (Own), 3 BR",First Tercile,Below 490000,0.3951262,0.14602069,0.10008703,0.14901847,10341.0,0.05620937,0.30266179,0.4875906,0.23401234
"5-49 Units (Own), 3 BR",Second Tercile,490000 to 809000,0.24390038,0.11295905,0.05175179,0.07918953,11845.0,0.03553571,0.18544414,0.30235662,0.23967262
"5-49 Units (Own), 3 BR",Third Tercile ,Above 809000,0.21545787,0.07686421,0.06742624,0.07116742,11761.0,0.03100489,0.16445482,0.26646092,0.23671936
"5-49 Units (Rent), 0-1 BR",All Values,,0.17762508,0.08864478,0.04122908,0.04775122,950761.0,0.00313172,0.17247341,0.18277676,0.02900308
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 129000,0.20345609,0.10140388,0.0483814,0.05367081,311566.0,0.00611797,0.19339204,0.21352014,0.04946548
"5-49 Units (Rent), 0-1 BR",Second Tercile,129000 to 188000,0.23934985,0.11633977,0.05688833,0.06612175,319925.0,0.00718484,0.22753078,0.25116891,0.04937988
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 188000,0.09056598,0.04844176,0.01855796,0.02356626,319270.0,0.0042623,0.08355449,0.09757747,0.07741856
"5-49 Units (Rent), 2 BR",All Values,,0.52987132,0.25518741,0.1270118,0.14767211,783628.0,0.00753868,0.51747019,0.54227244,0.02340403
"5-49 Units (Rent), 2 BR",First Tercile,Below 166000,0.60766196,0.29948835,0.14498066,0.16319295,257793.0,0.01376409,0.58502004,0.63030389,0.03726072
"5-49 Units (Rent), 2 BR",Second Tercile,166000 to 229000,0.63382018,0.2982791,0.15523599,0.18030509,261956.0,0.01671374,0.60632607,0.66131429,0.04337841
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 229000,0.35068346,0.16913055,0.08143884,0.10011407,263879.0,0.00980095,0.3345609,0.36680602,0.04597469
"5-49 Units (Rent), 3 BR",All Values,,0.90924813,0.37288973,0.22730791,0.30905048,121430.0,0.03125541,0.85783299,0.96066327,0.05654688
"5-49 Units (Rent), 3 BR",First Tercile,Below 161000,1.1350321,0.47536492,0.29372789,0.36593932,40146.0,0.05944557,1.0372442,1.2328201,0.08615435
"5-49 Units (Rent), 3 BR",Second Tercile,161000 to 248000,0.93794006,0.37794303,0.24107518,0.31892186,40477.0,0.04846147,0.85822095,1.0176592,0.08499383
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 248000,0.6586615,0.26706202,0.14830789,0.24329159,40807.0,0.04736042,0.58075361,0.7365694,0.11828214
"50+ Units (Own), 0-1 BR",All Values,,0.0322711,0.01027595,0.01394181,0.00805334,34644.0,0.00843518,0.01839523,0.04614697,0.42997811
"50+ Units (Own), 0-1 BR",First Tercile,Below 398000,0.06158246,0.01429933,0.03079123,0.0164919,10490.0,0.0231572,0.02348887,0.09967605,0.61857852
"50+ Units (Own), 0-1 BR",Second Tercile,398000 to 615000,0.01767511,0.00970076,0.00304176,0.00493259,12164.0,0.00536602,0.00884801,0.02650221,0.4994086
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 615000,0.02143453,0.00733945,0.01025855,0.00383653,11990.0,0.01084316,0.00359753,0.03927153,0.83216183
"50+ Units (Own), 2 BR",All Values,,0.09892026,0.04501238,0.02345716,0.03045072,50475.0,0.00916212,0.08384858,0.11399194,0.15236193
