Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 171000,0.98776769,0.41690405,0.22825832,0.34260532
"50+ Units (Own), 0-1 BR",All Values,,0.0199635,0.01323295,0.0,0.00673055
"50+ Units (Own), 0-1 BR",First Tercile,Below 157000,0.02641775,0.01831631,0.0,0.00810144
"50+ Units (Own), 0-1 BR",Second Tercile,157000 to 290000,0.02313712,0.01088806,0.0,0.01224906
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 290000,0.0107095,0.0107095,0.0,0.0
"50+ Units (Own), 2 BR",All Values,,0.07884677,0.03129978,0.01561007,0.03193692
"50+ Units (Own), 2 BR",First Tercile,Below 200000,0.18021815,0.06693109,0.02949926,0.0837878
"50+ Units (Own), 2 BR",Second Tercile,200000 to 400000,0.04766422,0.02608489,0.0154138,0.00616552
"50+ Units (Own), 2 BR",Third Tercile ,Above 400000,0.01440186,0.00301974,0.00278746,0.00859466
"50+ Units (Own), 3 BR",All Values,,0.18704028,0.09316988,0.02942207,0.06444834
"50+ Units (Own), 3 BR",First Tercile,Below 371000,0.49887133,0.21670429,0.09480813,0.18735892
"50+ Units (Own), 3 BR",Second Tercile,371000 to 640000,0.10735123,0.08634772,0.0,0.0210035
"50+ Units (Own), 3 BR",Third Tercile ,Above 640000,0.0,0.0,0.0,0.0
"50+ Units (Rent), 0-1 BR",All Values,,0.04852299,0.02713954,0.00957468,0.01180877
"50+ Units (Rent), 0-1 BR",First Tercile,Below 110000,0.08408969,0.04917685,0.01924791,0.01566493
"50+ Units (Rent), 0-1 BR",Second Tercile,110000 to 154000,0.04742389,0.02605811,0.00588874,0.01547704
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 154000,0.01424494,0.00629919,0.00362245,0.0043233
"50+ Units (Rent), 2 BR",All Values,,0.3589829,0.18918933,0.07244469,0.09734888
"50+ Units (Rent), 2 BR",First Tercile,Below 129000,0.48469502,0.24094601,0.09116101,0.15258799
