Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
All Housing Types (Own) 0-1 BR,    Below Median,90000,0.11628901,0.06028217,0.0102608,0.04574605
All Housing Types (Own) 0-1 BR,    Above Median,90000,0.13389121,0.11715481,0.009298,0.0074384
All Housing Types (Own) 2 BR,All Values,,0.19793079,0.09382804,0.04987513,0.05422761
All Housing Types (Own) 2 BR,    Below Median,175000,0.21669477,0.10975267,0.0519955,0.0549466
All Housing Types (Own) 2 BR,    Above Median,175000,0.17857661,0.07740252,0.04768807,0.05348601
All Housing Types (Own) 3 BR,All Values,,0.42418861,0.18760473,0.10312716,0.13345672
All Housing Types (Own) 3 BR,    Below Median,200000,0.44481649,0.19335871,0.11629616,0.13516162
All Housing Types (Own) 3 BR,    Above Median,200000,0.40268365,0.1816061,0.08939822,0.13167932
All Housing Types (Own) 4-5 BR,All Values,,0.95412411,0.42814426,0.21757981,0.30840004
All Housing Types (Own) 4-5 BR,    Below Median,300000,0.96941441,0.41063063,0.23184685,0.32693694
All Housing Types (Own) 4-5 BR,    Above Median,300000,0.93816977,0.4464185,0.20269318,0.28905809
All Housing Types (Rent) 0-1 BR,All Values,,0.02315798,0.00853619,0.00151119,0.0131106
All Housing Types (Rent) 0-1 BR,    Below Median,93000,0.03308586,0.00782763,0.00234022,0.02291801
All Housing Types (Rent) 0-1 BR,    Above Median,93000,0.01298379,0.00926232,0.00066159,0.00305987
All Housing Types (Rent) 2 BR,All Values,,0.26088706,0.14790975,0.06761876,0.04535854
All Housing Types (Rent) 2 BR,    Below Median,107000,0.22809808,0.11689861,0.06182903,0.04937044
All Housing Types (Rent) 2 BR,    Above Median,107000,0.29445688,0.17965941,0.07354637,0.0412511
All Housing Types (Rent) 3 BR,All Values,,0.75108763,0.422312,0.16438782,0.16438782
All Housing Types (Rent) 3 BR,    Below Median,136000,0.82641312,0.46458479,0.17184229,0.18998604
All Housing Types (Rent) 3 BR,    Above Median,136000,0.67302477,0.37850298,0.15666245,0.13785934
All Housing Types (Rent) 4-5 BR,All Values,,1.1168262,0.54665072,0.215311,0.35486443
All Housing Types (Rent) 4-5 BR,    Below Median,170000,0.81685076,0.39943488,0.17749807,0.2399178
All Housing Types (Rent) 4-5 BR,    Above Median,170000,1.4384467,0.70448912,0.25585238,0.47810521
