Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"5-49 Units (Own), 0-1 BR",All Values,,1.952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.952381,21.0,2.636626,-2.3848688,6.2896307,2.2215182
"5-49 Units (Own), 0-1 BR",    Below Median,190000,1.952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.952381,21.0,2.636626,-2.3848688,6.2896307,2.2215182
"5-49 Units (Own), 0-1 BR",    Above Median,190000,1.5910165,0.12056738,0.05437352,0.3356974,0.10165485,0.19148936,0.17257683,0.23640662,0.37825059,423.0,0.69136808,0.45371606,2.728317,0.71482631
"5-49 Units (Own), 2 BR",All Values,,1.8828125,0.19921875,0.08984375,0.5546875,0.16796875,0.203125,0.1796875,0.1796875,0.30859375,256.0,1.0899399,0.08986137,3.6757636,0.9522728
"5-49 Units (Own), 2 BR",    Below Median,190000,1.1437126,0.0,0.0,0.0,0.0,0.17365269,0.16167665,0.32335329,0.48502994,167.0,0.57424401,0.19908119,2.088344,0.82593425
"5-49 Units (Own), 2 BR",    Above Median,190000,1.7842227,0.03712297,0.11832947,0.3549884,0.04408353,0.07192575,0.52436195,0.54060325,0.09280742,431.0,0.61702564,0.76921556,2.7992299,0.56887918
"5-49 Units (Own), 3 BR",All Values,,1.6020067,0.05351171,0.17056856,0.18394649,0.06354515,0.0,0.48160535,0.51505017,0.13377926,299.0,0.69503698,0.45867086,2.7453425,0.7136898
"5-49 Units (Own), 3 BR",    Below Median,275000,2.1969697,0.0,0.0,0.74242424,0.0,0.23484848,0.62121212,0.59848485,0.0,132.0,1.0819797,0.41711308,3.9768263,0.81014163
"5-49 Units (Own), 3 BR",    Above Median,275000,1.4858471,0.0,0.14702155,0.60709759,0.23109421,0.23531897,0.07351077,0.08365019,0.10815378,2367.0,0.34464532,0.91890552,2.0527886,0.38156117
"5-49 Units (Rent), 0-1 BR",All Values,,1.4739099,0.0,0.24160114,0.53109364,0.16583274,0.17512509,0.06004289,0.11722659,0.18298785,1399.0,0.51971915,0.61897193,2.3288479,0.58004766
"5-49 Units (Rent), 0-1 BR",    Below Median,133000,1.5030992,0.0,0.01033058,0.71694215,0.32541322,0.32231405,0.09297521,0.03512397,0.0,968.0,0.48855102,0.69943274,2.3067656,0.53467293
"5-49 Units (Rent), 0-1 BR",    Above Median,133000,1.950253,0.11277403,0.19203204,1.0267707,0.16652614,0.12647555,0.21353288,0.08916526,0.02297639,4744.0,0.26777007,1.5097712,2.3907347,0.22585879
"5-49 Units (Rent), 2 BR",All Values,,1.9697693,0.12370724,0.20405728,1.0843278,0.1531424,0.11972951,0.18178202,0.07000796,0.03301512,2514.0,0.39413766,1.3214128,2.6181257,0.3291535
"5-49 Units (Rent), 2 BR",    Below Median,149000,1.9282511,0.10044843,0.17847534,0.96188341,0.18161435,0.13408072,0.24932735,0.11076233,0.01165919,2230.0,0.38574295,1.293704,2.5627983,0.3290791
"5-49 Units (Rent), 2 BR",    Above Median,149000,2.9952904,0.24411303,0.76216641,1.1381476,0.39167975,0.20408163,0.07535322,0.14050235,0.03924647,1274.0,1.2022369,1.0176108,4.9729701,0.66026307
"5-49 Units (Rent), 3 BR",All Values,,2.8833922,0.30977621,0.65017668,1.5076561,0.28857479,0.05418139,0.02591284,0.04711425,0.0,849.0,1.4202841,0.54702481,5.2197596,0.81028429
"5-49 Units (Rent), 3 BR",    Below Median,162000,3.2188235,0.11294118,0.98588235,0.4,0.59764706,0.50352941,0.17411765,0.32705882,0.11764706,425.0,1.6742367,0.46470417,5.9729429,0.85562919
"5-49 Units (Rent), 3 BR",    Above Median,162000,1.0519481,0.0,0.0,0.01298701,0.15584416,0.4025974,0.06493506,0.41558442,0.0,154.0,0.63141181,0.01327562,2.0906205,0.98737997
"50+ Units (Own), 0-1 BR",All Values,,1.0642202,0.0,0.0,0.0,0.19266055,0.56880734,0.09174312,0.21100917,0.0,109.0,0.78682428,-0.23010576,2.3585461,1.2162201
"50+ Units (Own), 0-1 BR",    Below Median,170000,1.0222222,0.0,0.0,0.04444444,0.06666667,0.0,0.0,0.91111111,0.0,45.0,0.77212644,-0.24792577,2.2923702,1.2425361
"50+ Units (Own), 0-1 BR",    Above Median,170000,1.3690476,0.0,0.0,0.20238095,0.0,0.0,0.6547619,0.38095238,0.13095238,84.0,0.82236845,0.01625152,2.7218437,0.98812933
"50+ Units (Own), 2 BR",All Values,,1.4137931,0.0,0.0,0.29310345,0.0,0.0,0.56896552,0.55172414,0.0,58.0,1.1017963,-0.39866174,3.2262479,1.2819803
"50+ Units (Own), 2 BR",    Below Median,232000,1.2692308,0.0,0.0,0.0,0.0,0.0,0.84615385,0.0,0.42307692,26.0,1.0720471,-0.4942867,3.0327482,1.389438
"50+ Units (Own), 2 BR",    Above Median,232000,1.5555556,0.11764706,0.0,0.05228758,0.21568627,0.11764706,0.63398693,0.22875817,0.18954248,153.0,0.93783636,0.01281474,3.0982964,0.99176196
"50+ Units (Own), 3 BR",All Values,,1.4166667,0.13636364,0.0,0.0,0.25,0.0,0.73484848,0.16666667,0.12878788,132.0,0.9693337,-0.17788727,3.0112206,1.1255675
"50+ Units (Own), 3 BR",    Below Median,210000,2.4285714,0.0,0.0,0.38095238,0.0,0.85714286,0.0,0.61904762,0.57142857,21.0,2.5100409,-1.7004459,6.5575887,1.7001836
"50+ Units (Own), 3 BR",    Above Median,210000,1.3810198,0.0,0.07223796,0.75708215,0.13172805,0.09631728,0.05949008,0.07436261,0.1898017,1412.0,0.31978246,0.85497768,1.907062,0.38090847
"50+ Units (Rent), 0-1 BR",All Values,,1.3443272,0.0,0.13456464,0.53957784,0.18205805,0.09234828,0.03298153,0.11477573,0.24802111,758.0,0.47872944,0.55681726,2.1318371,0.58580228
"50+ Units (Rent), 0-1 BR",    Below Median,148000,1.4235474,0.0,0.0,1.0091743,0.0733945,0.10091743,0.09021407,0.02752294,0.12232416,654.0,0.44729365,0.68774935,2.1593454,0.51687639
"50+ Units (Rent), 0-1 BR",    Above Median,148000,1.6670886,0.0,0.03164557,1.0101266,0.03670886,0.10379747,0.15949367,0.27594937,0.04936709,790.0,0.60667377,0.66911025,2.665067,0.59863546
"50+ Units (Rent), 2 BR",All Values,,1.5311871,0.0,0.05030181,0.70020121,0.0362173,0.08249497,0.25352113,0.4084507,0.0,497.0,0.84121694,0.14738525,2.914989,0.90374446
"50+ Units (Rent), 2 BR",    Below Median,184000,1.8976109,0.0,0.0,1.5358362,0.03754266,0.13993174,0.0,0.05119454,0.1331058,293.0,0.72384198,0.70689086,3.088331,0.62748377
"50+ Units (Rent), 2 BR",    Above Median,184000,1.4473684,0.0,0.0,0.42105263,0.65789474,0.0,0.0,0.0,0.36842105,38.0,1.3289243,-0.73871211,3.633449,1.5103829
"50+ Units (Rent), 3 BR",All Values,,1.4473684,0.0,0.0,0.42105263,0.65789474,0.0,0.0,0.0,0.36842105,38.0,1.3289243,-0.73871211,3.633449,1.5103829
"50+ Units (Rent), 3 BR",    Below Median,179000,1.6027778,0.0,0.02777778,0.21944444,0.15555556,0.36944444,0.31944444,0.31666667,0.19444444,360.0,0.61848017,0.58537789,2.6201777,0.63477289
"50+ Units (Rent), 3 BR",    Above Median,179000,1.4060914,0.0,0.05076142,0.10659898,0.26903553,0.39086294,0.30456853,0.28426396,0.0,197.0,0.74908545,0.17384581,2.6383369,0.87636237
