Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"5-49 Units (Rent), 0-1 BR",    Above Median,101000,0.00228779,0.0,0.0,0.00228779,12676.0,0.00243855,-0.00172363,0.0062992,1.753404
"5-49 Units (Rent), 2 BR",All Values,,0.15858915,0.09034529,0.02667497,0.04156889,41762.0,0.01724913,0.13021434,0.18696396,0.17892027
"5-49 Units (Rent), 2 BR",    Below Median,125000,0.1875,0.09865196,0.03176848,0.05707956,21216.0,0.03164137,0.13544995,0.23955005,0.27760026
"5-49 Units (Rent), 2 BR",    Above Median,125000,0.12873552,0.08176774,0.02141536,0.02555242,20546.0,0.01549857,0.10324037,0.15423067,0.19804283
"5-49 Units (Rent), 3 BR",All Values,,0.84714861,0.37820649,0.16641933,0.30252279,4717.0,0.15321946,0.59510259,1.0991946,0.29752279
"5-49 Units (Rent), 3 BR",    Below Median,111000,0.9962578,0.37754678,0.23991684,0.37879418,2405.0,0.24500269,0.59322837,1.3992872,0.40454331
"5-49 Units (Rent), 3 BR",    Above Median,111000,0.69204152,0.37889273,0.0899654,0.22318339,2312.0,0.19032419,0.37895823,1.0051248,0.45240536
"50+ Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,498.0,.,.,.,.
"50+ Units (Own), 0-1 BR",    Below Median,250000,0.0,0.0,0.0,0.0,415.0,.,.,.,.
"50+ Units (Own), 0-1 BR",    Above Median,250000,0.0,0.0,0.0,0.0,83.0,.,.,.,.
"50+ Units (Own), 2 BR",All Values,,0.0,0.0,0.0,0.0,429.0,.,.,.,.
"50+ Units (Own), 2 BR",    Below Median,400000,0.0,0.0,0.0,0.0,255.0,.,.,.,.
"50+ Units (Own), 2 BR",    Above Median,400000,0.0,0.0,0.0,0.0,174.0,.,.,.,.
"50+ Units (Own), 3 BR",All Values,,0.0,0.0,0.0,0.0,79.0,.,.,.,.
"50+ Units (Own), 3 BR",    Below Median,245000,0.0,0.0,0.0,0.0,79.0,.,.,.,.
"50+ Units (Rent), 0-1 BR",All Values,,0.0043024,0.00056735,0.00217484,0.00156021,21151.0,0.00275515,-0.00022982,0.00883461,1.053416
"50+ Units (Rent), 0-1 BR",    Below Median,116000,0.00424288,0.00113144,0.0,0.00311145,10606.0,0.00343324,-0.00140481,0.00989057,1.3310972
"50+ Units (Rent), 0-1 BR",    Above Median,116000,0.00436226,0.0,0.00436226,0.0,10545.0,0.00436965,-0.00282582,0.01155033,1.6477887
"50+ Units (Rent), 2 BR",All Values,,0.08818789,0.04904444,0.01381534,0.02532811,13029.0,0.02266428,0.05090514,0.12547064,0.42276494
"50+ Units (Rent), 2 BR",    Below Median,147000,0.13723404,0.07568389,0.02006079,0.04148936,6580.0,0.04324903,0.06608938,0.2083787,0.51841844
"50+ Units (Rent), 2 BR",    Above Median,147000,0.03814545,0.02186385,0.00744301,0.00883858,6449.0,0.01693453,0.01028814,0.06600276,0.73029181
"50+ Units (Rent), 3 BR",All Values,,0.37840467,0.24124514,0.057393,0.07976654,1028.0,0.16465194,0.10755223,0.6492571,0.71577456
"50+ Units (Rent), 3 BR",    Below Median,171000,0.48727273,0.31818182,0.02,0.14909091,550.0,0.27736859,0.03100139,0.94354406,0.93637774
"50+ Units (Rent), 3 BR",    Above Median,171000,0.25313808,0.15271967,0.10041841,0.0,478.0,0.16742469,-0.02227554,0.52855169,1.0879976
All Housing Types (Own) 0-1 BR,All Values,,0.1425762,0.10009833,0.02182891,0.02064897,5085.0,0.0585976,0.04618316,0.23896925,0.6760809
All Housing Types (Own) 0-1 BR,    Below Median,160000,0.13265663,0.08890445,0.01085054,0.03290165,2857.0,0.06568783,0.02460016,0.2407131,0.81455763
All Housing Types (Own) 0-1 BR,    Above Median,160000,0.15529623,0.11445242,0.03590664,0.00493716,2228.0,0.10184946,-0.01224613,0.32283859,1.0788566
All Housing Types (Own) 2 BR,All Values,,0.0517113,0.01667287,0.0123904,0.02264802,59078.0,0.00622935,0.04146402,0.06195858,0.19816324
All Housing Types (Own) 2 BR,    Below Median,180000,0.05526816,0.01640364,0.01368607,0.02517844,30542.0,0.01053697,0.03793484,0.07260147,0.31362209
All Housing Types (Own) 2 BR,    Above Median,180000,0.0479044,0.01696103,0.01100364,0.01993973,28536.0,0.00790562,0.03489965,0.06090915,0.2714729
All Housing Types (Own) 3 BR,All Values,,0.36205009,0.14851589,0.09540233,0.11813187,200928.0,0.01189428,0.34248399,0.38161619,0.05404252
All Housing Types (Own) 3 BR,    Below Median,225000,0.36545175,0.14239573,0.10371438,0.11934164,103409.0,0.01733688,0.33693258,0.39397092,0.07803813
