Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12)
All Housing Types (Own) 0-1 BR,    Above Median,350000,0.08718081,0.02527728,0.0533918,0.00851174
All Housing Types (Own) 2 BR,All Values,,0.09805532,0.05093128,0.02235825,0.02476578
All Housing Types (Own) 2 BR,    Below Median,340000,0.11893595,0.04832918,0.03447897,0.0361278
All Housing Types (Own) 2 BR,    Above Median,340000,0.07637885,0.05363256,0.00977558,0.01297071
All Housing Types (Own) 3 BR,All Values,,0.37361814,0.17507247,0.08998673,0.10855893
All Housing Types (Own) 3 BR,    Below Median,387000,0.3731385,0.17560419,0.08480738,0.11272693
All Housing Types (Own) 3 BR,    Above Median,387000,0.37415266,0.17447991,0.09575877,0.10391398
All Housing Types (Own) 4-5 BR,All Values,,0.73526623,0.29966986,0.19028189,0.24531448
All Housing Types (Own) 4-5 BR,    Below Median,561000,0.75873068,0.29269977,0.20937192,0.25665899
All Housing Types (Own) 4-5 BR,    Above Median,561000,0.71036468,0.30706683,0.17002268,0.23327517
All Housing Types (Rent) 0-1 BR,All Values,,0.04753943,0.02652916,0.00591839,0.01509188
All Housing Types (Rent) 0-1 BR,    Below Median,178000,0.06693598,0.04210775,0.00849232,0.01633592
All Housing Types (Rent) 0-1 BR,    Above Median,178000,0.02800463,0.01083955,0.00332611,0.01383898
All Housing Types (Rent) 2 BR,All Values,,0.28884753,0.14667957,0.06611078,0.07605718
All Housing Types (Rent) 2 BR,    Below Median,219000,0.40408717,0.18923063,0.09725458,0.11760196
All Housing Types (Rent) 2 BR,    Above Median,219000,0.17131342,0.1032813,0.0343469,0.03368522
All Housing Types (Rent) 3 BR,All Values,,0.71931875,0.31267323,0.17441977,0.23222575
All Housing Types (Rent) 3 BR,    Below Median,210000,0.83010344,0.32650255,0.21127406,0.29232683
All Housing Types (Rent) 3 BR,    Above Median,210000,0.60398064,0.29827551,0.13605071,0.16965442
All Housing Types (Rent) 4-5 BR,All Values,,0.8377193,0.38421053,0.17842105,0.27508772
All Housing Types (Rent) 4-5 BR,    Below Median,239000,0.88504983,0.48106312,0.12657807,0.27740864
All Housing Types (Rent) 4-5 BR,    Above Median,239000,0.78475836,0.27583643,0.23643123,0.27249071
