Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 132000,0.33015115,0.20763723,0.05887033,0.0636436,1257.0,0.13172121,0.11346976,0.54683255,0.65630968
"5-49 Units (Own), 0-1 BR",All Values,,0.03191489,0.0,0.0,0.03191489,658.0,0.0324267,-0.02142703,0.08525681,1.6713802
"5-49 Units (Own), 0-1 BR",First Tercile,Below 99000,0.0,0.0,0.0,0.0,91.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",Second Tercile,99000 to 150000,0.09375,0.0,0.0,0.09375,224.0,0.10089975,-0.07223009,0.25973009,1.7704543
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 150000,0.0,0.0,0.0,0.0,343.0,.,.,.,.
"5-49 Units (Own), 2 BR",All Values,,0.01466993,0.0,0.01466993,0.0,1636.0,0.01511891,-0.01020068,0.03954053,1.6953462
"5-49 Units (Own), 2 BR",First Tercile,Below 100000,0.05687204,0.0,0.05687204,0.0,422.0,0.06023693,-0.04221772,0.1559618,1.7423282
"5-49 Units (Own), 2 BR",Second Tercile,100000 to 162000,0.0,0.0,0.0,0.0,547.0,.,.,.,.
"5-49 Units (Own), 2 BR",Third Tercile ,Above 162000,0.0,0.0,0.0,0.0,667.0,.,.,.,.
"5-49 Units (Own), 3 BR",All Values,,0.09756098,0.0,0.0,0.09756098,82.0,0.13193762,-0.11947641,0.31459837,2.2246332
"5-49 Units (Own), 3 BR",First Tercile,Below 110000,0.0,0.0,0.0,0.0,7.0,.,.,.,.
"5-49 Units (Own), 3 BR",Second Tercile,110000 to 188000,0.0,0.0,0.0,0.0,19.0,.,.,.,.
"5-49 Units (Own), 3 BR",Third Tercile ,Above 188000,0.14285714,0.0,0.0,0.14285714,56.0,0.1991839,-0.18480037,0.47051465,2.2936026
"5-49 Units (Rent), 0-1 BR",All Values,,0.03085729,0.01260835,0.00512214,0.01312679,48222.0,0.00654635,0.02008854,0.04162603,0.34898538
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 77000,0.03321245,0.0167971,0.0050264,0.01138894,15717.0,0.01186072,0.01370156,0.05272333,0.58745715
"5-49 Units (Rent), 0-1 BR",Second Tercile,77000 to 99000,0.03597838,0.00372833,0.00559249,0.02665755,16093.0,0.01588982,0.00983962,0.06211713,0.72651285
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 99000,0.02358031,0.01730441,0.00475262,0.00152328,16412.0,0.00887496,0.00898099,0.03817962,0.61913165
"5-49 Units (Rent), 2 BR",All Values,,0.29492842,0.1570464,0.05510712,0.0827749,39396.0,0.02720361,0.25017848,0.33967835,0.15173151
"5-49 Units (Rent), 2 BR",First Tercile,Below 94000,0.33544354,0.15359658,0.06322703,0.11861993,12637.0,0.05960731,0.23738951,0.43349757,0.29231158
"5-49 Units (Rent), 2 BR",Second Tercile,94000 to 119000,0.35243639,0.21625252,0.0665622,0.06962167,13401.0,0.05923571,0.25499364,0.44987913,0.27648321
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 119000,0.19890702,0.10091331,0.03593352,0.06206019,13358.0,0.03317113,0.14434052,0.25347353,0.27433171
"5-49 Units (Rent), 3 BR",All Values,,0.92918342,0.58803987,0.17992656,0.161217,5719.0,0.16864952,0.65175497,1.2066119,0.29857232
"5-49 Units (Rent), 3 BR",First Tercile,Below 105000,0.85997596,0.5859375,0.13341346,0.140625,1664.0,0.28644879,0.3887677,1.3311842,0.54793189
"5-49 Units (Rent), 3 BR",Second Tercile,105000 to 130000,1.1227646,0.70420493,0.24262929,0.1759304,2069.0,0.31033001,0.61227175,1.6332575,0.45467488
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 130000,0.78549849,0.46878147,0.15357503,0.16314199,1986.0,0.27643466,0.33076347,1.2402335,0.57891266
"50+ Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,532.0,.,.,.,.
"50+ Units (Own), 0-1 BR",First Tercile,Below 70000,0.0,0.0,0.0,0.0,135.0,.,.,.,.
"50+ Units (Own), 0-1 BR",Second Tercile,70000 to 318000,0.0,0.0,0.0,0.0,112.0,.,.,.,.
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 318000,0.0,0.0,0.0,0.0,285.0,.,.,.,.
"50+ Units (Own), 2 BR",All Values,,0.0,0.0,0.0,0.0,998.0,.,.,.,.
"50+ Units (Own), 2 BR",First Tercile,Below 88000,0.0,0.0,0.0,0.0,268.0,.,.,.,.
"50+ Units (Own), 2 BR",Second Tercile,88000 to 356000,0.0,0.0,0.0,0.0,312.0,.,.,.,.
"50+ Units (Own), 2 BR",Third Tercile ,Above 356000,0.0,0.0,0.0,0.0,418.0,.,.,.,.
"50+ Units (Own), 3 BR",All Values,,0.2962963,0.2962963,0.0,0.0,81.0,0.36088195,-0.29735451,0.8899471,2.0035715
"50+ Units (Own), 3 BR",Third Tercile ,Above 242000,0.2962963,0.2962963,0.0,0.0,81.0,0.36088195,-0.29735451,0.8899471,2.0035715
"50+ Units (Rent), 0-1 BR",All Values,,0.00205736,0.00162095,0.0,0.00043641,16040.0,0.00139937,-0.00024461,0.00435933,1.1188969
"50+ Units (Rent), 0-1 BR",First Tercile,Below 73000,0.00210084,0.00210084,0.0,0.0,5236.0,0.0029796,-0.00280061,0.00700229,2.3330899
"50+ Units (Rent), 0-1 BR",Second Tercile,73000 to 116000,0.00284846,0.00284846,0.0,0.0,5266.0,0.00281535,-0.00178279,0.00747971,1.6258769
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 116000,0.00126399,0.0,0.0,0.00126399,5538.0,0.00156562,-0.00131146,0.00383944,2.0375493
"50+ Units (Rent), 2 BR",All Values,,0.13539003,0.03324808,0.0346867,0.06745524,6256.0,0.04212729,0.06609063,0.20468942,0.51185007
"50+ Units (Rent), 2 BR",First Tercile,Below 119000,0.23335199,0.02742026,0.03245663,0.1734751,1787.0,0.10924815,0.05363878,0.41306519,0.77013789
"50+ Units (Rent), 2 BR",Second Tercile,119000 to 167000,0.08943446,0.04559404,0.00482245,0.03901797,2281.0,0.03691391,0.02871108,0.15015784,0.67897072
"50+ Units (Rent), 2 BR",Third Tercile ,Above 167000,0.10329068,0.02513711,0.06764168,0.01051188,2188.0,0.06510236,-0.0038027,0.21038405,1.0368155
"50+ Units (Rent), 3 BR",All Values,,0.39242424,0.02878788,0.3469697,0.01666667,660.0,0.28865994,-0.08242136,0.86726985,1.2100313
"50+ Units (Rent), 3 BR",First Tercile,Below 112000,0.0,0.0,0.0,0.0,73.0,.,.,.,.
"50+ Units (Rent), 3 BR",Second Tercile,112000 to 133000,0.0531401,0.0,0.0,0.0531401,207.0,0.06060103,-0.0465486,0.1528288,1.8759601
"50+ Units (Rent), 3 BR",Third Tercile ,Above 133000,0.65263158,0.05,0.60263158,0.0,380.0,0.52439692,-0.21000135,1.5152645,1.3217763
All Housing Types (Own) 0-1 BR,All Values,,0.12103779,0.05301748,0.0250423,0.042978,8865.0,0.03427282,0.064659,0.17741658,0.46579496
All Housing Types (Own) 0-1 BR,First Tercile,Below 72000,0.08846705,0.03904011,0.01719198,0.03223496,2792.0,0.04207997,0.01924551,0.15768859,0.78245566
All Housing Types (Own) 0-1 BR,Second Tercile,72000 to 136000,0.17693093,0.07995917,0.04967676,0.047295,2939.0,0.07451657,0.05435117,0.29951069,0.69281136
All Housing Types (Own) 0-1 BR,Third Tercile ,Above 136000,0.0976388,0.04020421,0.00893427,0.04850032,3134.0,0.0578116,0.00253871,0.19273889,0.97399895
All Housing Types (Own) 2 BR,All Values,,0.17215999,0.08073234,0.03897463,0.05245302,86954.0,0.01150028,0.15324203,0.19107796,0.10988594
All Housing Types (Own) 2 BR,First Tercile,Below 89000,0.2126001,0.08730777,0.04638225,0.07891007,28222.0,0.02506494,0.17136828,0.25383192,0.19394073
All Housing Types (Own) 2 BR,Second Tercile,89000 to 157000,0.17397251,0.090721,0.03832936,0.04492215,28516.0,0.01953702,0.14183411,0.2061109,0.18473259
All Housing Types (Own) 2 BR,Third Tercile ,Above 157000,0.13267805,0.06516415,0.03266481,0.03484909,30216.0,0.01606787,0.1062464,0.1591097,0.19921647
All Housing Types (Own) 3 BR,All Values,,0.4060683,0.18429434,0.09991552,0.12185844,221347.0,0.01098019,0.38800589,0.42413071,0.04448122
All Housing Types (Own) 3 BR,First Tercile,Below 144000,0.40008758,0.1638462,0.10871285,0.12752853,70792.0,0.01770292,0.37096628,0.42920888,0.07278731
All Housing Types (Own) 3 BR,Second Tercile,144000 to 212000,0.42532066,0.19455041,0.10101681,0.12975344,75235.0,0.0250231,0.38415766,0.46648366,0.0967811
All Housing Types (Own) 3 BR,Third Tercile ,Above 212000,0.39245884,0.19326872,0.090547,0.10864312,75320.0,0.01925116,0.36079069,0.424127,0.08069166
All Housing Types (Own) 4-5 BR,All Values,,0.78724003,0.33574503,0.1963474,0.2551476,174013.0,0.01772988,0.75807438,0.81640568,0.03704798
All Housing Types (Own) 4-5 BR,First Tercile,Below 191000,0.67494599,0.27386033,0.17313358,0.22795207,56003.0,0.02878274,0.62759838,0.72229359,0.07015022
All Housing Types (Own) 4-5 BR,Second Tercile,191000 to 314000,0.81118956,0.37013138,0.20278845,0.23826973,55945.0,0.03435947,0.75466824,0.86771088,0.06967708
All Housing Types (Own) 4-5 BR,Third Tercile ,Above 314000,0.86697817,0.3605897,0.21148796,0.29490051,62065.0,0.0375141,0.80526747,0.92868887,0.07117907
All Housing Types (Rent) 0-1 BR,All Values,,0.03252103,0.01584674,0.00524931,0.01142497,80963.0,0.00434065,0.02538066,0.0396614,0.21956169
All Housing Types (Rent) 0-1 BR,First Tercile,Below 71000,0.02008184,0.01250379,0.00534253,0.00223553,26392.0,0.00576016,0.01060638,0.02955731,0.47184246
All Housing Types (Rent) 0-1 BR,Second Tercile,71000 to 98000,0.04174482,0.02011843,0.00386186,0.01776454,27189.0,0.0088605,0.02716931,0.05632034,0.34915744
All Housing Types (Rent) 0-1 BR,Third Tercile ,Above 98000,0.03535169,0.01482726,0.00653714,0.01398729,27382.0,0.01134919,0.01668227,0.05402111,0.52810546
All Housing Types (Rent) 2 BR,All Values,,0.30637483,0.16283601,0.06122404,0.08231478,90324.0,0.01762547,0.27738094,0.33536872,0.09463536
All Housing Types (Rent) 2 BR,First Tercile,Below 88000,0.31985469,0.16445984,0.05839614,0.09699871,29454.0,0.03393335,0.26403433,0.37567504,0.17451786
All Housing Types (Rent) 2 BR,Second Tercile,88000 to 114000,0.34244068,0.20929473,0.06768416,0.06546179,30598.0,0.03224238,0.28940196,0.3954794,0.15488441
All Housing Types (Rent) 2 BR,Third Tercile ,Above 114000,0.25680497,0.11429704,0.05744582,0.0850621,30272.0,0.02949359,0.20828802,0.30532192,0.18892529
All Housing Types (Rent) 3 BR,All Values,,0.78832804,0.40241301,0.17884326,0.20707176,47824.0,0.03764306,0.7264052,0.85025088,0.07854959
All Housing Types (Rent) 3 BR,First Tercile,Below 107000,0.73869059,0.36781829,0.16720748,0.20366482,15717.0,0.07305543,0.6185144,0.85886678,0.16268812
All Housing Types (Rent) 3 BR,Second Tercile,107000 to 146000,0.89972303,0.46890344,0.22969911,0.20112048,15886.0,0.0903613,0.75107869,1.0483674,0.16521122
All Housing Types (Rent) 3 BR,Third Tercile ,Above 146000,0.72732877,0.37081561,0.14031194,0.21620122,16221.0,0.06879467,0.61416153,0.84049601,0.15559296
All Housing Types (Rent) 4-5 BR,All Values,,1.1225464,0.49867374,0.26478043,0.35909225,16965.0,0.10219976,0.95442782,1.290665,0.14976539
All Housing Types (Rent) 4-5 BR,First Tercile,Below 102000,0.92437883,0.37666547,0.2382067,0.30950666,5554.0,0.13844075,0.6966438,1.1521139,0.24636547
All Housing Types (Rent) 4-5 BR,Second Tercile,102000 to 168000,1.2837959,0.60304387,0.28415398,0.39659803,5585.0,0.19330708,0.96580574,1.601786,0.24769525
All Housing Types (Rent) 4-5 BR,Third Tercile ,Above 168000,1.1568829,0.51493306,0.27154137,0.37040851,5826.0,0.2009451,0.82632826,1.4874376,0.28572872
