Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"5-49 Units (Rent), 0-1 BR",All Values,,1.3791497,0.04846955,0.00834789,0.7386268,0.19795509,0.09027373,0.1335663,0.07157186,0.09033845
"5-49 Units (Rent), 0-1 BR",    Below Median,133000,1.336722,0.04971485,0.01041408,0.6135631,0.14480536,0.10860402,0.18385817,0.10240516,0.1233573
"5-49 Units (Rent), 0-1 BR",    Above Median,133000,1.4254772,0.04710979,0.00609178,0.87518614,0.25599025,0.07025856,0.07865169,0.03790443,0.05428455
"5-49 Units (Rent), 2 BR",All Values,,2.2785533,0.16761797,0.32636338,1.0411981,0.3255722,0.19237073,0.12398983,0.05125742,0.05018367
"5-49 Units (Rent), 2 BR",    Below Median,154000,2.4039661,0.23406863,0.41856061,1.030303,0.31350267,0.18794563,0.11675579,0.0638369,0.03899287
"5-49 Units (Rent), 2 BR",    Above Median,154000,2.1494437,0.09920862,0.23144856,1.0524143,0.33799748,0.19692625,0.13143709,0.03830715,0.06170432
"5-49 Units (Rent), 3 BR",All Values,,3.1133242,0.23397436,0.83928571,1.1533883,0.42490842,0.19001832,0.1371337,0.09340659,0.04120879
"5-49 Units (Rent), 3 BR",    Below Median,165000,3.1333926,0.22676745,0.90618052,1.2312139,0.39839929,0.13383726,0.17696754,0.06002668,0.0
"5-49 Units (Rent), 3 BR",    Above Median,165000,3.0920245,0.24162341,0.76828693,1.0707881,0.45304389,0.24964606,0.09485606,0.12883436,0.08494573
"50+ Units (Own), 0-1 BR",All Values,,1.325477,0.00673401,0.0,0.18911336,0.17901235,0.17508418,0.17676768,0.36756453,0.2312009
"50+ Units (Own), 0-1 BR",    Below Median,430000,1.1592775,0.0,0.0,0.14285714,0.21100164,0.15024631,0.0771757,0.35714286,0.22085386
"50+ Units (Own), 0-1 BR",    Above Median,430000,1.6843972,0.0212766,0.0,0.28900709,0.10992908,0.2287234,0.39184397,0.39007092,0.2535461
