Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12)
"50+ Units (Rent), 2 BR",    Below Median,158000,0.19916435,0.07869081,0.07729805,0.04317549
"50+ Units (Rent), 2 BR",    Above Median,158000,0.03228257,0.0,0.014812,0.01747057
"50+ Units (Rent), 3 BR",All Values,,0.51799577,0.20042343,0.07692308,0.24064926
"50+ Units (Rent), 3 BR",    Below Median,184000,0.75027747,0.29855716,0.10432852,0.34739179
"50+ Units (Rent), 3 BR",    Above Median,184000,0.1124031,0.02906977,0.02906977,0.05426357
All Housing Types (Own) 0-1 BR,All Values,,0.05078391,0.01874574,0.00477164,0.02726653
All Housing Types (Own) 0-1 BR,    Below Median,175000,0.05909091,0.03571429,0.00909091,0.01428571
All Housing Types (Own) 0-1 BR,    Above Median,175000,0.04160689,0.0,0.0,0.04160689
All Housing Types (Own) 2 BR,All Values,,0.07992406,0.04715826,0.01074841,0.02201739
All Housing Types (Own) 2 BR,    Below Median,200000,0.08142831,0.04692684,0.01001267,0.02448881
All Housing Types (Own) 2 BR,    Above Median,200000,0.07837283,0.0473969,0.01150712,0.01946881
All Housing Types (Own) 3 BR,All Values,,0.28756237,0.13171933,0.07132141,0.08452162
All Housing Types (Own) 3 BR,    Below Median,220000,0.33077857,0.14956848,0.0855308,0.0956793
All Housing Types (Own) 3 BR,    Above Median,220000,0.2405675,0.11230952,0.05586961,0.07238837
All Housing Types (Own) 4-5 BR,All Values,,0.6698302,0.27446966,0.1698649,0.22549564
All Housing Types (Own) 4-5 BR,    Below Median,315000,0.73418549,0.31898417,0.18023806,0.23496325
All Housing Types (Own) 4-5 BR,    Above Median,315000,0.60201682,0.22756319,0.15893434,0.21551929
All Housing Types (Rent) 0-1 BR,All Values,,0.03517168,0.01643267,0.01037853,0.00836048
All Housing Types (Rent) 0-1 BR,    Below Median,118000,0.04383685,0.01609988,0.01423568,0.0135013
All Housing Types (Rent) 0-1 BR,    Above Median,118000,0.02614071,0.01677951,0.00635855,0.00300265
All Housing Types (Rent) 2 BR,All Values,,0.25554199,0.13010991,0.05872126,0.06671082
All Housing Types (Rent) 2 BR,    Below Median,125000,0.32277366,0.17003401,0.07848039,0.07425925
All Housing Types (Rent) 2 BR,    Above Median,125000,0.18693543,0.08936935,0.03855805,0.05900803
All Housing Types (Rent) 3 BR,All Values,,0.69044866,0.34903133,0.16429317,0.17712416
All Housing Types (Rent) 3 BR,    Below Median,149000,0.69539683,0.34806197,0.1778623,0.16947257
All Housing Types (Rent) 3 BR,    Above Median,149000,0.6854169,0.35001706,0.15049482,0.18490502
All Housing Types (Rent) 4-5 BR,All Values,,0.90516981,0.40683261,0.20780006,0.29053714
All Housing Types (Rent) 4-5 BR,    Below Median,188000,0.90950405,0.34420075,0.22525193,0.34005137
All Housing Types (Rent) 4-5 BR,    Above Median,188000,0.90065817,0.47202797,0.1896339,0.2389963
