Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"5-49 Units (Own), 2 BR",All Values,,0.08398693,0.0624183,0.01568627,0.00588235,3060.0,0.05006867,0.00162397,0.16634989,0.980664
"5-49 Units (Own), 2 BR",First Tercile,Below 108000,0.29271207,0.22819594,0.05734767,0.00716846,837.0,0.19096841,-0.02143096,0.60685509,1.0732152
"5-49 Units (Own), 2 BR",Second Tercile,108000 to 200000,0.0,0.0,0.0,0.0,1050.0,.,.,.,.
"5-49 Units (Own), 2 BR",Third Tercile ,Above 200000,0.01023018,0.0,0.0,0.01023018,1173.0,0.01026078,-0.00664881,0.02710916,1.6499208
"5-49 Units (Own), 3 BR",All Values,,0.16947115,0.16947115,0.0,0.0,1664.0,0.14614652,-0.07093987,0.40988218,1.4185956
"5-49 Units (Own), 3 BR",First Tercile,Below 157000,0.0,0.0,0.0,0.0,192.0,.,.,.,.
"5-49 Units (Own), 3 BR",Second Tercile,157000 to 221000,0.3601071,0.3601071,0.0,0.0,747.0,0.34962183,-0.21502081,0.935235,1.5971024
"5-49 Units (Own), 3 BR",Third Tercile ,Above 221000,0.01793103,0.01793103,0.0,0.0,725.0,0.02055611,-0.01588376,0.05174583,1.885825
"5-49 Units (Rent), 0-1 BR",All Values,,0.04096625,0.02787117,0.00716111,0.00593397,59488.0,0.00763655,0.02840411,0.05352838,0.30664591
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 69000,0.03876205,0.02064942,0.01207509,0.00603754,19710.0,0.0156368,0.01303952,0.06448458,0.66360096
"5-49 Units (Rent), 0-1 BR",Second Tercile,69000 to 97000,0.03844955,0.02597942,0.00659877,0.00587135,19246.0,0.01152541,0.01949024,0.05740885,0.49309571
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 97000,0.04544126,0.03657705,0.00297097,0.00589324,20532.0,0.0118236,0.02599144,0.06489109,0.42802126
"5-49 Units (Rent), 2 BR",All Values,,0.27344392,0.15501009,0.05520685,0.06322698,80298.0,0.0184,0.24317593,0.30371191,0.11069177
"5-49 Units (Rent), 2 BR",First Tercile,Below 84000,0.30864721,0.18292918,0.05458961,0.07112842,25939.0,0.02940306,0.26027917,0.35701525,0.15670978
"5-49 Units (Rent), 2 BR",Second Tercile,84000 to 112000,0.29011054,0.16154383,0.06742316,0.06114355,27231.0,0.03599392,0.23090054,0.34932053,0.20409462
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 112000,0.22305367,0.12175612,0.04353436,0.0577632,27128.0,0.02554964,0.18102451,0.26508284,0.18842624
"5-49 Units (Rent), 3 BR",All Values,,0.99536052,0.50957917,0.19567709,0.29010425,18321.0,0.09015107,0.84706201,1.143659,0.14898974
"5-49 Units (Rent), 3 BR",First Tercile,Below 96000,1.1931528,0.74092999,0.22432294,0.22789985,5871.0,0.16034787,0.92938054,1.456925,0.22107164
"5-49 Units (Rent), 3 BR",Second Tercile,96000 to 138000,1.1227332,0.50129534,0.2320272,0.38941062,6176.0,0.21186599,0.77421361,1.4712527,0.31042064
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 138000,0.68489002,0.30124323,0.13308894,0.25055786,6274.0,0.11839341,0.49013286,0.87964718,0.28436268
"50+ Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,447.0,.,.,.,.
"50+ Units (Own), 0-1 BR",First Tercile,Below 124000,0.0,0.0,0.0,0.0,90.0,.,.,.,.
"50+ Units (Own), 0-1 BR",Second Tercile,124000 to 248000,0.0,0.0,0.0,0.0,162.0,.,.,.,.
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 248000,0.0,0.0,0.0,0.0,195.0,.,.,.,.
"50+ Units (Own), 2 BR",All Values,,0.01297405,0.01297405,0.0,0.0,1002.0,0.01480954,-0.01138765,0.03733575,1.877725
"50+ Units (Own), 2 BR",First Tercile,Below 150000,0.0,0.0,0.0,0.0,198.0,.,.,.,.
"50+ Units (Own), 2 BR",Second Tercile,150000 to 220000,0.0,0.0,0.0,0.0,404.0,.,.,.,.
"50+ Units (Own), 2 BR",Third Tercile ,Above 220000,0.0325,0.0325,0.0,0.0,400.0,0.03779422,-0.0296715,0.0946715,1.9129691
"50+ Units (Own), 3 BR",All Values,,0.0,0.0,0.0,0.0,517.0,.,.,.,.
"50+ Units (Own), 3 BR",First Tercile,Below 408000,0.0,0.0,0.0,0.0,73.0,.,.,.,.
"50+ Units (Own), 3 BR",Second Tercile,408000 to 837000,0.0,0.0,0.0,0.0,209.0,.,.,.,.
"50+ Units (Own), 3 BR",Third Tercile ,Above 837000,0.0,0.0,0.0,0.0,235.0,.,.,.,.
"50+ Units (Rent), 0-1 BR",All Values,,0.02155561,0.01170644,0.00748537,0.0023638,17768.0,0.00909495,0.00659441,0.0365168,0.69407428
"50+ Units (Rent), 0-1 BR",First Tercile,Below 51000,0.0012385,0.0,0.0012385,0.0,5652.0,0.0012345,-0.00079225,0.00326924,1.6396815
"50+ Units (Rent), 0-1 BR",Second Tercile,51000 to 106000,0.05081099,0.03012248,0.01506124,0.00562728,6042.0,0.02536645,0.00908318,0.0925388,0.82123601
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 106000,0.01135989,0.00428054,0.00576227,0.00131709,6074.0,0.00724789,-0.00056289,0.02328268,1.0495508
"50+ Units (Rent), 2 BR",All Values,,0.18144777,0.08781968,0.05687039,0.03675769,11535.0,0.03583867,0.12249315,0.24040238,0.32491232
"50+ Units (Rent), 2 BR",First Tercile,Below 95000,0.15884089,0.08156694,0.04453984,0.0327341,3727.0,0.05572739,0.06716934,0.25051245,0.57712818
"50+ Units (Rent), 2 BR",Second Tercile,95000 to 132000,0.2650757,0.14523993,0.08416731,0.03566846,3897.0,0.08056517,0.132546,0.3976054,0.49996926
"50+ Units (Rent), 2 BR",Third Tercile ,Above 132000,0.11966249,0.03656354,0.04142163,0.04167732,3911.0,0.03373929,0.06416136,0.17516362,0.46381393
"50+ Units (Rent), 3 BR",All Values,,0.85338346,0.34633459,0.19830827,0.3087406,2128.0,0.23722513,0.46314812,1.2436188,0.45728018
