Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
"5-49 Units (Rent), 2 BR",All Values,,0.47963379,0.24816082,0.10864009,0.12283288
"5-49 Units (Rent), 2 BR",First Tercile,Below 142000,0.52962764,0.26879304,0.13327285,0.12756175
"5-49 Units (Rent), 2 BR",Second Tercile,142000 to 198000,0.54118426,0.27658166,0.11694123,0.14766138
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 198000,0.36879705,0.19938248,0.07618106,0.09323351
"5-49 Units (Rent), 3 BR",All Values,,1.0544924,0.46788842,0.27270516,0.3138988
"5-49 Units (Rent), 3 BR",First Tercile,Below 142000,1.1524247,0.53044772,0.28674191,0.33523502
"5-49 Units (Rent), 3 BR",Second Tercile,142000 to 196000,1.2089099,0.55001214,0.28793396,0.37096383
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 196000,0.80796365,0.32667703,0.24417075,0.23711587
"50+ Units (Own), 0-1 BR",All Values,,0.01981935,0.0129963,0.00136461,0.00545844
"50+ Units (Own), 0-1 BR",First Tercile,Below 193000,0.01855874,0.01046397,0.00276407,0.0053307
"50+ Units (Own), 0-1 BR",Second Tercile,193000 to 371000,0.03003755,0.01668753,0.00146016,0.01188986
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 371000,0.01211573,0.01211573,0.0,0.0
"50+ Units (Own), 2 BR",All Values,,0.1158328,0.06996579,0.02355333,0.02231368
"50+ Units (Own), 2 BR",First Tercile,Below 300000,0.08886735,0.04217159,0.01114881,0.03554694
"50+ Units (Own), 2 BR",Second Tercile,300000 to 508000,0.1274409,0.06019674,0.04698282,0.02026134
"50+ Units (Own), 2 BR",Third Tercile ,Above 508000,0.12808707,0.10325101,0.01199944,0.01283661
"50+ Units (Own), 3 BR",All Values,,0.41401469,0.22674419,0.11933905,0.06793146
"50+ Units (Own), 3 BR",First Tercile,Below 387000,0.33333333,0.21574344,0.03012634,0.08746356
"50+ Units (Own), 3 BR",Second Tercile,387000 to 689000,0.38589212,0.10373444,0.21473029,0.06742739
"50+ Units (Own), 3 BR",Third Tercile ,Above 689000,0.50039216,0.32862745,0.11921569,0.05254902
"50+ Units (Rent), 0-1 BR",All Values,,0.03983481,0.0223905,0.00553129,0.01191302
"50+ Units (Rent), 0-1 BR",First Tercile,Below 77000,0.00970914,0.00562759,0.00185525,0.0022263
"50+ Units (Rent), 0-1 BR",Second Tercile,77000 to 167000,0.07313473,0.04617309,0.00906239,0.01789925
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 167000,0.03656083,0.0154131,0.00565415,0.01549358
"50+ Units (Rent), 2 BR",All Values,,0.31472425,0.18250937,0.05445297,0.07776191
"50+ Units (Rent), 2 BR",First Tercile,Below 159000,0.46601942,0.24078805,0.07778346,0.14744791
"50+ Units (Rent), 2 BR",Second Tercile,159000 to 273000,0.34666463,0.21635374,0.0627894,0.0675215
"50+ Units (Rent), 2 BR",Third Tercile ,Above 273000,0.13925602,0.09235771,0.02382221,0.0230761
"50+ Units (Rent), 3 BR",All Values,,0.66815884,0.2798556,0.1767509,0.21155235
"50+ Units (Rent), 3 BR",First Tercile,161000,0.74564296,0.25341498,0.25105982,0.24116816
"50+ Units (Rent), 3 BR",Second Tercile,161000 to 310000,0.86993517,0.3423825,0.22933549,0.29821718
"50+ Units (Rent), 3 BR",Third Tercile ,Above 310000,0.38431877,0.2377892,0.05355613,0.09297344
All Housing Types (Own) 0-1 BR,All Values,,0.07609146,0.03487698,0.02162207,0.01959241
All Housing Types (Own) 0-1 BR,First Tercile,Below 171000,0.05992621,0.02366513,0.0191696,0.01709148
