Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"2-4 Units (Own/Rent), 3 BR",Second Tercile,91000 to 123000,3.5268233,0.32573633,1.1230715,1.0476858,0.51244741,0.29996494,0.11413043,0.07626227,0.02752454
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 123000,2.8357822,0.30717373,0.71322385,0.82627485,0.29144339,0.24926534,0.18634399,0.12324978,0.13880726
"5-49 Units (Own), 0-1 BR",All Values,,1.3017182,0.0,0.0,0.29553265,0.07697595,0.10584192,0.26804124,0.29690722,0.25841924
"5-49 Units (Own), 0-1 BR",First Tercile,Below 70000,1.0371287,0.0,0.0,0.36386139,0.0,0.06930693,0.31930693,0.22772277,0.05693069
"5-49 Units (Own), 0-1 BR",Second Tercile,70000 to 183000,1.17119,0.0,0.0,0.26096033,0.02087683,0.16283925,0.26931106,0.40709812,0.05010438
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 183000,1.5979021,0.0,0.0,0.27622378,0.17832168,0.08391608,0.23076923,0.2534965,0.57517483
"5-49 Units (Own), 2 BR",All Values,,1.4666894,0.01591633,0.08231014,0.31412005,0.14938608,0.14142792,0.22555707,0.26637108,0.27160073
"5-49 Units (Own), 2 BR",First Tercile,Below 96000,1.4910847,0.03937593,0.08618128,0.30906389,0.16047548,0.15044577,0.18164933,0.17459138,0.38930163
"5-49 Units (Own), 2 BR",Second Tercile,96000 to 145000,1.4077153,0.00565348,0.09511141,0.2979714,0.15929498,0.15197872,0.26172265,0.26538078,0.17060193
"5-49 Units (Own), 2 BR",Third Tercile ,Above 145000,1.5027446,0.00548918,0.06651598,0.33419438,0.13012593,0.12334517,0.22860833,0.34711011,0.26735551
"5-49 Units (Own), 3 BR",All Values,,1.7288046,0.01632438,0.11111111,0.10953133,0.18009479,0.18852027,0.44233807,0.44497104,0.23591364
"5-49 Units (Own), 3 BR",First Tercile,Below 144000,1.7991266,0.0,0.13755459,0.38209607,0.13755459,0.2860262,0.44104803,0.34497817,0.069869
"5-49 Units (Own), 3 BR",Second Tercile,144000 to 265000,1.8333333,0.0,0.26241135,0.0177305,0.49468085,0.2641844,0.22695035,0.21985816,0.34751773
"5-49 Units (Own), 3 BR",Third Tercile ,Above 265000,1.6248575,0.03534778,0.0,0.02622577,0.0,0.08893957,0.58152794,0.64196123,0.25085519
"5-49 Units (Rent), 0-1 BR",All Values,,1.2634581,0.0257785,0.02808516,0.51910788,0.14396372,0.14270129,0.1931673,0.13074717,0.07990711
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 62000,1.1519261,0.01716924,0.03077959,0.22069927,0.08098879,0.16269899,0.29750397,0.22897129,0.11311499
