Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"5-49 Units (Own), 2 BR",All Values,,0.0595805,0.03452381,0.00827664,0.01678005,17640.0,0.01334756,0.03762376,0.08153724,0.3685223
"5-49 Units (Own), 2 BR",First Tercile,Below 155000,0.0717068,0.04143059,0.0,0.0302762,5648.0,0.02572308,0.02939233,0.11402127,0.59010401
"5-49 Units (Own), 2 BR",Second Tercile,155000 to 264000,0.06030236,0.04093766,0.01426873,0.00509597,5887.0,0.02470367,0.01966483,0.10093989,0.67389618
"5-49 Units (Own), 2 BR",Third Tercile ,Above 264000,0.04766585,0.02194922,0.01015561,0.01556102,6105.0,0.01491544,0.02312994,0.07220175,0.51474813
"5-49 Units (Own), 3 BR",All Values,,0.18587249,0.08290931,0.02993116,0.07303203,3341.0,0.05185333,0.10057377,0.27117122,0.45890988
"5-49 Units (Own), 3 BR",First Tercile,Below 194000,0.06585613,0.03748734,0.0,0.02836879,987.0,0.04814753,-0.01334656,0.14505882,1.2026624
"5-49 Units (Own), 3 BR",Second Tercile,194000 to 400000,0.36322049,0.13906679,0.06678866,0.15736505,1093.0,0.15794918,0.1033941,0.62304689,0.71534069
"5-49 Units (Own), 3 BR",Third Tercile ,Above 400000,0.1260904,0.06978588,0.02141158,0.03489294,1261.0,0.06372504,0.02126271,0.23091809,0.83136929
"5-49 Units (Rent), 0-1 BR",All Values,,0.02769054,0.0176711,0.00525398,0.00476547,200610.0,0.00319557,0.02243383,0.03294726,0.18983789
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 81000,0.02420939,0.01929138,0.00158351,0.0033345,65677.0,0.004939,0.01608474,0.03233404,0.33559928
"5-49 Units (Rent), 0-1 BR",Second Tercile,81000 to 117000,0.0311664,0.01856311,0.00817431,0.00442899,67284.0,0.00549572,0.02212594,0.04020686,0.29007083
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 117000,0.02761312,0.01521087,0.00591287,0.00648938,67649.0,0.00521003,0.01904261,0.03618363,0.31037806
"5-49 Units (Rent), 2 BR",All Values,,0.25722101,0.14037342,0.05482736,0.06202023,150983.0,0.01244382,0.23675093,0.2776911,0.0795817
"5-49 Units (Rent), 2 BR",First Tercile,Below 104000,0.24932244,0.12878681,0.05856136,0.06197426,49811.0,0.01880538,0.2183876,0.28025728,0.12407565
"5-49 Units (Rent), 2 BR",Second Tercile,104000 to 148000,0.27435149,0.1505256,0.05535793,0.06846796,50038.0,0.02316958,0.23623753,0.31246546,0.13892385
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 148000,0.24815191,0.14172566,0.05067079,0.05575547,51134.0,0.0190515,0.2168122,0.27949163,0.12629247
"5-49 Units (Rent), 3 BR",All Values,,0.75724945,0.38219919,0.16866985,0.20638041,22381.0,0.05832716,0.66130127,0.85319764,0.12670618
"5-49 Units (Rent), 3 BR",First Tercile,Below 97000,1.1071724,0.60772414,0.19944828,0.3,7250.0,0.12659373,0.89892572,1.3154191,0.18808876
"5-49 Units (Rent), 3 BR",Second Tercile,97000 to 158000,0.67500684,0.30339076,0.16475253,0.20686355,7314.0,0.11085869,0.49264428,0.85736939,0.27016401
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 158000,0.50965844,0.24676986,0.14378918,0.1190994,7817.0,0.09066598,0.3605129,0.65880398,0.29263823
"50+ Units (Own), 0-1 BR",All Values,,0.00342162,0.00342162,0.0,0.0,7891.0,0.00351018,-0.00235262,0.00919586,1.6875758
"50+ Units (Own), 0-1 BR",First Tercile,Below 157000,0.0,0.0,0.0,0.0,2456.0,.,.,.,.
"50+ Units (Own), 0-1 BR",Second Tercile,157000 to 297000,0.0,0.0,0.0,0.0,2696.0,.,.,.,.
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 297000,0.00985761,0.00985761,0.0,0.0,2739.0,0.01015064,-0.00684019,0.02655541,1.6938988
"50+ Units (Own), 2 BR",All Values,,0.02505577,0.01098335,0.00317488,0.01089755,11654.0,0.00958737,0.00928455,0.040827,0.62944453
"50+ Units (Own), 2 BR",First Tercile,Below 201000,0.02081138,0.0,0.0097471,0.01106428,3796.0,0.01384813,-0.00196879,0.04359155,1.0946014
