Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,114000 to 159000,2.4929129,0.21516922,0.39789413,0.74835985,0.31967602,0.296523,0.25183685,0.14378941,0.11966445,86425.0,0.07703572,2.3661892,2.6196367,0.05083361
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 159000,2.2844745,0.1287939,0.27398916,0.59991022,0.3010025,0.26081052,0.27743057,0.22196517,0.22057249,86883.0,0.07656026,2.1585329,2.4104161,0.05512936
"2-4 Units (Own/Rent), 3 BR",All Values,,3.1085367,0.23655094,0.66263558,0.78715137,0.37397104,0.3574109,0.28422187,0.23141826,0.17517674,82608.0,0.10798377,2.9309034,3.28617,0.05714371
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 151000,3.3130498,0.31746669,0.85891586,0.95174302,0.36634422,0.30585873,0.22982296,0.17751414,0.10538419,27395.0,0.19305965,2.9954667,3.6306329,0.09585824
"2-4 Units (Own/Rent), 3 BR",Second Tercile,151000 to 216000,3.4645577,0.26181712,0.79040781,0.95010751,0.48675243,0.44848573,0.26735668,0.15977259,0.09985787,27439.0,0.2246763,3.0949652,3.8341503,0.10667812
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 216000,2.5550875,0.13177792,0.34280262,0.46381508,0.27007273,0.31828329,0.35454022,0.35536833,0.31842731,27774.0,0.16362149,2.2859301,2.8242448,0.10534174
"5-49 Units (Own), 0-1 BR",All Values,,1.3813291,0.01220335,0.02692095,0.14139122,0.11113837,0.1460518,0.26291368,0.34482124,0.33588847,48921.0,0.06511499,1.2742149,1.4884432,0.07754428
"5-49 Units (Own), 0-1 BR",First Tercile,Below 79000,1.3508961,0.0136774,0.01381215,0.06090823,0.0889368,0.104905,0.28035305,0.39085029,0.39745317,14842.0,0.11030218,1.169449,1.5323432,0.1343161
"5-49 Units (Own), 0-1 BR",Second Tercile,79000 to 152000,1.4181442,0.01474441,0.03308353,0.15707061,0.12611954,0.131603,0.29586304,0.33339426,0.32626576,16413.0,0.10270276,1.2491981,1.5870902,0.11913178
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 152000,1.3726933,0.0086041,0.03220876,0.1944413,0.1158723,0.19404506,0.21764972,0.31676667,0.2931054,17666.0,0.10560906,1.1989664,1.5464202,0.12655916
"5-49 Units (Own), 2 BR",All Values,,1.7563987,0.0286466,0.07046411,0.17604189,0.12364239,0.16840665,0.31477584,0.42184277,0.4525784,190040.0,0.0334996,1.7012918,1.8115055,0.03137491
