Structure,VALUE_TENURE,value_range,PERSONS,0-4,17-May,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"5-49 Units (Own), 0-1 BR",    Above Median,248000,1.1738003,0.02853437,0,0.43968872,0.2542153,0.19325551,0.13488975,0.06874189,0.05447471,771,0.32266157,0.64302198,1.7045785,0.4521879
"5-49 Units (Own), 2 BR",All Values,,1.6859279,0.07104011,0.05540449,0.57647859,0.253569,0.16077498,0.32528892,0.1760707,0.06730116,2942,0.26085446,1.2568224,2.1150335,0.2545219
"5-49 Units (Own), 2 BR",    Below Median,318000,1.7470257,0.11709455,0.07388854,0.73137132,0.16343143,0.19787101,0.31433939,0.10707577,0.04195366,1597,0.40904667,1.0741439,2.4199074,0.38515849
"5-49 Units (Own), 2 BR",    Above Median,318000,1.6133829,0.01635688,0.03345725,0.39256506,0.3605948,0.11672862,0.33828996,0.25799257,0.09739777,1345,0.32497735,1.0787952,2.1479706,0.33134585
"5-49 Units (Own), 3 BR",All Values,,1.9579564,0.08621607,0.17083555,0.3959553,0.29324109,0.30388505,0.35816924,0.17775412,0.17189995,1879,0.38740312,1.3206782,2.5952345,0.32548128
"5-49 Units (Own), 3 BR",    Below Median,318000,2.0840665,0.08602151,0.2629521,0.44086022,0.40762463,0.27859238,0.31964809,0.15835777,0.13000978,1023,0.51760118,1.2326125,2.9355204,0.40855412
"5-49 Units (Own), 3 BR",    Above Median,318000,1.807243,0.0864486,0.06074766,0.34228972,0.15654206,0.33411215,0.40420561,0.20093458,0.22196262,856,0.56139409,0.88374971,2.7307363,0.51099563
"5-49 Units (Rent), 0-1 BR",All Values,,1.4297718,0.06703298,0.06210719,0.78705279,0.17934115,0.12893998,0.10129757,0.06114837,0.0428518,189817,0.03750011,1.3680842,1.4914595,0.04314512
"5-49 Units (Rent), 0-1 BR",    Below Median,126000,1.416896,0.08337503,0.07016721,0.73523893,0.14501501,0.13549746,0.11736928,0.07801685,0.05221625,95928,0.04697781,1.3396175,1.4941745,0.0545407
"5-49 Units (Rent), 0-1 BR",    Above Median,126000,1.4429273,0.05033604,0.05387213,0.83999191,0.21441276,0.12224009,0.08487682,0.04391356,0.03328398,93889,0.05240447,1.3567219,1.5291326,0.05974338
"5-49 Units (Rent), 2 BR",All Values,,2.467509,0.26513297,0.43093696,0.96834635,0.34575434,0.2094434,0.13092408,0.07093087,0.04604007,170786,0.067532,2.3564189,2.5785992,0.04502117
"5-49 Units (Rent), 2 BR",    Below Median,152000,2.5310846,0.3192757,0.51753609,0.93575543,0.3147984,0.17483618,0.13656927,0.07562437,0.05668913,85766,0.10006236,2.366482,2.6956872,0.06503243
"5-49 Units (Rent), 2 BR",    Above Median,152000,2.4033757,0.21051517,0.34357798,1.0012232,0.37698189,0.24435427,0.12522936,0.06619619,0.03529758,85020,0.08937413,2.2563552,2.5503961,0.06117248
"5-49 Units (Rent), 3 BR",All Values,,3.7265789,0.36004579,1.187287,1.2206504,0.47057541,0.3248017,0.10622291,0.03598005,0.02101562,36687,0.20385494,3.3912375,4.0619203,0.08998639
"5-49 Units (Rent), 3 BR",    Below Median,161000,3.9086528,0.42435564,1.3810916,1.2435564,0.44222439,0.27978124,0.0936214,0.03340914,0.01061295,18468,0.28478094,3.4401882,4.3771175,0.11985323
"5-49 Units (Rent), 3 BR",    Above Median,161000,3.5420166,0.29485702,0.99083374,1.1974313,0.4993139,0.37043746,0.11899665,0.03858609,0.03156046,18219,0.3247617,3.0077836,4.0762496,0.15082735
"50+ Units (Own), 0-1 BR",All Values,,1.27808,0.02464,0.01024,0.39392,0.1952,0.3072,0.13856,0.08736,0.12096,3125,0.29148194,0.79859221,1.7575678,0.37516258
"50+ Units (Own), 0-1 BR",    Below Median,314000,1.1276596,0.01610121,0,0.50776308,0.17768833,0.10523289,0.13341001,0.04082806,0.146636,1739,0.27446668,0.67616189,1.5791573,0.40038474
"50+ Units (Own), 0-1 BR",    Above Median,314000,1.466811,0.03535354,0.02308802,0.25108225,0.21717172,0.56060606,0.14502165,0.14574315,0.08874459,1386,0.55887218,0.54746624,2.3861557,0.62676429
"50+ Units (Own), 2 BR",All Values,,1.6018934,0.03811659,0.04683607,0.22122571,0.18858994,0.24489287,0.32336821,0.2673144,0.27154958,4014,0.23680329,1.212352,1.9914348,0.24317562
"50+ Units (Own), 2 BR",    Below Median,452000,1.6764986,0.04804948,0.05899144,0.30542341,0.09134158,0.23263559,0.22216936,0.33301618,0.38487155,2102,0.26497048,1.2406221,2.112375,0.25999213
"50+ Units (Own), 2 BR",    Above Median,452000,1.5198745,0.02719665,0.0334728,0.12866109,0.29550209,0.2583682,0.43462343,0.19508368,0.14696653,1912,0.36593802,0.91790644,2.1218425,0.39606431
"50+ Units (Own), 3 BR",All Values,,2.302521,0.19687875,0.1392557,0.32412965,0.30492197,0.27971188,0.51140456,0.38895558,0.15726291,833,0.65939831,1.2178108,3.3872312,0.47109678
"50+ Units (Own), 3 BR",    Below Median,600000,2.4311594,0.29710145,0.21014493,0.36231884,0.46014493,0.38768116,0.54166667,0.12137681,0.05072464,552,0.91620221,0.92400678,3.9383121,0.61993164
