Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 182000,0.38948841,0.16566747,0.08073541,0.14308553,5004.0,0.06971827,0.27480186,0.50417496,0.29445433
"5-49 Units (Own), 0-1 BR",All Values,,0.00502513,0.00502513,0.0,0.0,4577.0,0.00515755,-0.00345904,0.01350929,1.6883484
"5-49 Units (Own), 0-1 BR",First Tercile,Below 97000,0.01655868,0.01655868,0.0,0.0,1389.0,0.01718297,-0.01170731,0.04482466,1.7070199
"5-49 Units (Own), 0-1 BR",Second Tercile,97000 to 160000,0.0,0.0,0.0,0.0,1484.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 160000,0.0,0.0,0.0,0.0,1704.0,.,.,.,.
"5-49 Units (Own), 2 BR",All Values,,0.04803408,0.02214941,0.00471822,0.02116645,15260.0,0.01549695,0.02254159,0.07352656,0.53071671
"5-49 Units (Own), 2 BR",First Tercile,Below 159000,0.06480722,0.00902379,0.0,0.05578343,4876.0,0.03445639,0.00812646,0.12148798,0.87460564
"5-49 Units (Own), 2 BR",Second Tercile,159000 to 254000,0.03851417,0.0230694,0.00899316,0.00645161,5115.0,0.01979775,0.00594687,0.07108147,0.84559261
"5-49 Units (Own), 2 BR",Third Tercile ,Above 254000,0.04175365,0.03340292,0.00493452,0.00341621,5269.0,0.02282685,0.00420349,0.07930382,0.89932648
"5-49 Units (Own), 3 BR",All Values,,0.20623426,0.07462217,0.07588161,0.05573048,3176.0,0.06842537,0.09367452,0.31879399,0.54578584
"5-49 Units (Own), 3 BR",First Tercile,Below 186000,0.24537488,0.06231743,0.04576436,0.13729309,1027.0,0.12137897,0.04570647,0.44504328,0.81372798
"5-49 Units (Own), 3 BR",Second Tercile,186000 to 314000,0.14202335,0.10116732,0.00583658,0.03501946,1028.0,0.07868662,0.01258386,0.27146283,0.91139583
"5-49 Units (Own), 3 BR",Third Tercile ,Above 314000,0.22925959,0.06155219,0.1677074,0.0,1121.0,0.14662305,-0.01193533,0.47045451,1.0520603
"5-49 Units (Rent), 0-1 BR",All Values,,0.05463143,0.03423072,0.00991413,0.01048658,120535.0,0.00509337,0.04625284,0.06301003,0.15336579
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 89000,0.06032195,0.03401481,0.01331783,0.01298931,39571.0,0.01029523,0.04338629,0.07725761,0.2807545
