Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 389000,0.36324503,0.14602649,0.06556291,0.15165563,3020.0,0.07812686,0.23472635,0.49176371,0.35380713
"5-49 Units (Own), 0-1 BR",All Values,,0.08281211,0.01976482,0.03902927,0.02401801,3997.0,0.03205945,0.03007431,0.13554991,0.6368368
"5-49 Units (Own), 0-1 BR",First Tercile,Below 276000,0.01310044,0.0,0.0,0.01310044,1145.0,0.01282772,-0.00800116,0.03420203,1.6107551
"5-49 Units (Own), 0-1 BR",Second Tercile,276000 to 413000,0.1032967,0.02051282,0.03663004,0.04615385,1365.0,0.0584332,0.00717409,0.19941932,0.93054871
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 413000,0.11768662,0.03429724,0.07128447,0.01210491,1487.0,0.07085434,0.00113123,0.234242,0.99038774
"5-49 Units (Own), 2 BR",All Values,,0.17206019,0.09195632,0.03642296,0.04368092,15018.0,0.03357433,0.11683042,0.22728997,0.32099101
"5-49 Units (Own), 2 BR",First Tercile,Below 365000,0.19743482,0.07842725,0.04184188,0.07716569,4756.0,0.04896441,0.11688836,0.27798128,0.4079648
"5-49 Units (Own), 2 BR",Second Tercile,365000 to 471000,0.26584297,0.16420885,0.04842567,0.05320845,5018.0,0.08352441,0.1284453,0.40324063,0.51683768
"5-49 Units (Own), 2 BR",Third Tercile ,Above 471000,0.05930587,0.03508772,0.02002288,0.00419527,5244.0,0.01797003,0.02974517,0.08886658,0.49844479
"5-49 Units (Own), 3 BR",All Values,,0.36518047,0.12715263,0.15616891,0.08185893,4239.0,0.07641358,0.23948013,0.49088081,0.34421431
"5-49 Units (Own), 3 BR",First Tercile,Below 442000,0.35910781,0.10334572,0.18364312,0.07211896,1345.0,0.13703294,0.13368862,0.584527,0.6277201
"5-49 Units (Own), 3 BR",Second Tercile,442000 to 625000,0.43493389,0.15100905,0.21016006,0.07376479,1437.0,0.13810842,0.20774554,0.66212224,0.52235146
"5-49 Units (Own), 3 BR",Third Tercile ,Above 625000,0.30199039,0.12560055,0.07755662,0.09883322,1457.0,0.11946183,0.10547568,0.4985051,0.65073167
"5-49 Units (Rent), 0-1 BR",All Values,,0.10124908,0.04261572,0.03032084,0.02831252,20415.0,0.01564078,0.07552,0.12697816,0.25411664
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 115000,0.05662361,0.03094022,0.00705918,0.01862421,6658.0,0.02624627,0.0134485,0.09979872,0.76249299
"5-49 Units (Rent), 0-1 BR",Second Tercile,115000 to 154000,0.0977354,0.04052443,0.02309297,0.034118,6712.0,0.02714302,0.05308513,0.14238567,0.45684851
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 154000,0.14677076,0.0556423,0.05919092,0.03193754,7045.0,0.03503784,0.08913351,0.204408,0.39270251
"5-49 Units (Rent), 2 BR",All Values,,0.42405002,0.22203373,0.09373788,0.1082784,20632.0,0.04198497,0.35498474,0.4931153,0.1628706
"5-49 Units (Rent), 2 BR",First Tercile,Below 158000,0.45439811,0.25298365,0.09223516,0.10917931,6787.0,0.082045,0.3194341,0.58936213,0.29701712
"5-49 Units (Rent), 2 BR",Second Tercile,158000 to 210000,0.55849057,0.27256894,0.13497823,0.1509434,6890.0,0.10723715,0.38208546,0.73489567,0.31586049
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 210000,0.2612509,0.14176851,0.05434939,0.065133,6955.0,0.04707231,0.18381695,0.33868484,0.29639685
"5-49 Units (Rent), 3 BR",All Values,,1.1700071,0.55199245,0.27611412,0.3419005,4241.0,0.20928026,0.82574105,1.5142731,0.29424269
