Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12)
"50+ Units (Rent), 0-1 BR",    Above Median,172000,0.02558208,0.01178898,0.00775125,0.00604185
"50+ Units (Rent), 2 BR",All Values,,0.16516333,0.07543359,0.03412969,0.05560006
"50+ Units (Rent), 2 BR",    Below Median,204000,0.20731201,0.08724553,0.0513433,0.06872317
"50+ Units (Rent), 2 BR",    Above Median,204000,0.12251261,0.06348094,0.01671104,0.04232063
"50+ Units (Rent), 3 BR",All Values,,0.57470521,0.25035951,0.13280127,0.19154443
"50+ Units (Rent), 3 BR",    Below Median,217000,0.84988229,0.38845035,0.20038776,0.26104418
"50+ Units (Rent), 3 BR",    Above Median,217000,0.27755346,0.10124121,0.05981756,0.11649469
All Housing Types (Own) 0-1 BR,All Values,,0.09915363,0.03583673,0.03149775,0.03181916
All Housing Types (Own) 0-1 BR,    Below Median,230000,0.06649297,0.02563835,0.02105263,0.01980198
All Housing Types (Own) 0-1 BR,    Above Median,230000,0.13369338,0.04662185,0.04254381,0.04452772
All Housing Types (Own) 2 BR,All Values,,0.07976682,0.03447439,0.02043972,0.02485271
All Housing Types (Own) 2 BR,    Below Median,250000,0.09201001,0.04455718,0.02384987,0.02360296
All Housing Types (Own) 2 BR,    Above Median,250000,0.06738551,0.02427785,0.01699109,0.02611657
All Housing Types (Own) 3 BR,All Values,,0.26623021,0.11515438,0.06557277,0.08550306
All Housing Types (Own) 3 BR,    Below Median,270000,0.3157908,0.13692359,0.07701375,0.10185346
All Housing Types (Own) 3 BR,    Above Median,270000,0.21308611,0.09181112,0.05330455,0.06797043
All Housing Types (Own) 4-5 BR,All Values,,0.63495975,0.2533154,0.16391038,0.21773396
All Housing Types (Own) 4-5 BR,    Below Median,350000,0.65744362,0.26445492,0.16503635,0.22795235
All Housing Types (Own) 4-5 BR,    Above Median,350000,0.61031702,0.2411063,0.16267629,0.20653443
All Housing Types (Rent) 0-1 BR,All Values,,0.04704343,0.02418866,0.01134123,0.01151355
All Housing Types (Rent) 0-1 BR,    Below Median,143000,0.04235788,0.02207652,0.0095232,0.01075816
All Housing Types (Rent) 0-1 BR,    Above Median,143000,0.05175326,0.02631175,0.01316867,0.01227284
All Housing Types (Rent) 2 BR,All Values,,0.28611246,0.14678736,0.06559749,0.07372761
All Housing Types (Rent) 2 BR,    Below Median,162000,0.33164804,0.17562533,0.07952812,0.07649459
All Housing Types (Rent) 2 BR,    Above Median,162000,0.24021742,0.11772173,0.0515569,0.07093879
All Housing Types (Rent) 3 BR,All Values,,0.6938486,0.32033821,0.16731926,0.20619112
All Housing Types (Rent) 3 BR,    Below Median,176000,0.7696945,0.39325665,0.16670625,0.2097316
All Housing Types (Rent) 3 BR,    Above Median,176000,0.61747924,0.24691653,0.1679365,0.20262621
All Housing Types (Rent) 4-5 BR,All Values,,0.95859429,0.40125551,0.236865,0.32047379
All Housing Types (Rent) 4-5 BR,    Below Median,209000,0.9588269,0.40480687,0.24351931,0.31050072
All Housing Types (Rent) 4-5 BR,    Above Median,209000,0.95835538,0.39760771,0.23002998,0.33071769
