Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
All Housing Types (Own) 2 BR,    Above Median,200000,0.08223253,0.03311258,0.02903991,0.02008004
All Housing Types (Own) 3 BR,All Values,,0.44917548,0.1952775,0.11409067,0.13980732
All Housing Types (Own) 3 BR,    Below Median,226000,0.47258432,0.20463765,0.12378077,0.14416591
All Housing Types (Own) 3 BR,    Above Median,226000,0.42394695,0.18518973,0.1036473,0.13510991
All Housing Types (Own) 4-5 BR,All Values,,0.98570942,0.41265181,0.25267151,0.32038611
All Housing Types (Own) 4-5 BR,    Below Median,325000,0.98649832,0.42190089,0.25179865,0.31279879
All Housing Types (Own) 4-5 BR,    Above Median,325000,0.98487613,0.40288228,0.25359348,0.32840037
All Housing Types (Rent) 0-1 BR,All Values,,0.03251819,0.014696,0.00774243,0.01007976
All Housing Types (Rent) 0-1 BR,    Below Median,129000,0.04277337,0.01632747,0.00787628,0.01856962
All Housing Types (Rent) 0-1 BR,    Above Median,129000,0.02192123,0.01301016,0.00760411,0.00130696
All Housing Types (Rent) 2 BR,All Values,,0.18988558,0.10701808,0.03506856,0.04779893
All Housing Types (Rent) 2 BR,    Below Median,143000,0.23067638,0.13777644,0.0300901,0.06280985
All Housing Types (Rent) 2 BR,    Above Median,143000,0.1480154,0.07544582,0.04017877,0.03239081
All Housing Types (Rent) 3 BR,All Values,,0.848882,0.39297684,0.18113151,0.27477365
All Housing Types (Rent) 3 BR,    Below Median,172000,0.97613967,0.47953443,0.21115422,0.28545102
All Housing Types (Rent) 3 BR,    Above Median,172000,0.71335606,0.30079537,0.14915814,0.26340254
All Housing Types (Rent) 4-5 BR,All Values,,0.85940483,0.39842785,0.23638405,0.22459293
All Housing Types (Rent) 4-5 BR,    Below Median,209000,0.87282345,0.37249284,0.20409963,0.29623099
All Housing Types (Rent) 4-5 BR,    Above Median,209000,0.84546703,0.4253663,0.26991758,0.15018315
