Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 129000,0.52405235,0.23338433,0.14057454,0.15009349,5883.0,0.09681978,0.36478382,0.68332089,0.30391723
"5-49 Units (Own), 0-1 BR",All Values,,0.00305111,0.00305111,0.0,0.0,1311.0,0.00396172,-0.00346592,0.00956813,2.1359538
"5-49 Units (Own), 0-1 BR",First Tercile,Below 95000,0.01324503,0.01324503,0.0,0.0,302.0,0.01747733,-0.01550518,0.04199525,2.1706413
"5-49 Units (Own), 0-1 BR",Second Tercile,95000 to 188000,0.0,0.0,0.0,0.0,492.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 188000,0.0,0.0,0.0,0.0,517.0,.,.,.,.
"5-49 Units (Own), 2 BR",All Values,,0.02406325,0.01460983,0.00464077,0.00481265,5818.0,0.01298679,0.00269998,0.04542652,0.88779648
"5-49 Units (Own), 2 BR",First Tercile,Below 99000,0.0495338,0.0495338,0.0,0.0,1716.0,0.03812172,-0.01317643,0.11224403,1.2660089
"5-49 Units (Own), 2 BR",Second Tercile,99000 to 151000,0.01588065,0.0,0.00240616,0.01347449,2078.0,0.01530603,-0.00929776,0.04105907,1.5854774
"5-49 Units (Own), 2 BR",Third Tercile ,Above 151000,0.01086957,0.0,0.01086957,0.0,2024.0,0.01076928,-0.0068459,0.02858503,1.6298231
"5-49 Units (Own), 3 BR",All Values,,0.12626904,0.07550761,0.02664975,0.02411168,1576.0,0.06658305,0.01673991,0.23579816,0.86742663
"5-49 Units (Own), 3 BR",First Tercile,Below 131000,0.18835616,0.08561644,0.0,0.10273973,292.0,0.19349527,-0.12994355,0.50665588,1.6898821
"5-49 Units (Own), 3 BR",Second Tercile,131000 to 200000,0.12206573,0.11971831,0.0,0.00234742,426.0,0.11962151,-0.07471166,0.31884312,1.6120609
"5-49 Units (Own), 3 BR",Third Tercile ,Above 200000,0.10722611,0.05011655,0.04895105,0.00815851,858.0,0.10399079,-0.06383874,0.27829096,1.5953657
"5-49 Units (Rent), 0-1 BR",All Values,,0.02134563,0.01340163,0.00458477,0.00335923,113419.0,0.00373007,0.01520967,0.02748159,0.28745761
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 71000,0.01292521,0.0059218,0.00413715,0.00286626,36982.0,0.00459414,0.00536785,0.02048256,0.58469919
"5-49 Units (Rent), 0-1 BR",Second Tercile,71000 to 97000,0.02311109,0.01468046,0.00436159,0.00406904,37601.0,0.0063008,0.01274627,0.0334759,0.4484781
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 97000,0.02765475,0.01928623,0.00522711,0.00314142,38836.0,0.00942599,0.012149,0.04316051,0.56069038
"5-49 Units (Rent), 2 BR",All Values,,0.24194646,0.13755583,0.0471977,0.05719294,107251.0,0.01476883,0.21765174,0.26624119,0.10041365
"5-49 Units (Rent), 2 BR",First Tercile,Below 91000,0.26256267,0.15676276,0.04312899,0.06267092,35104.0,0.0266,0.21880567,0.30631967,0.16665355
"5-49 Units (Rent), 2 BR",Second Tercile,91000 to 116000,0.24051227,0.13336645,0.04584472,0.0613011,36231.0,0.02531566,0.198868,0.28215653,0.17314819
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 116000,0.22324312,0.12300924,0.05253926,0.04769462,35916.0,0.02464634,0.1826999,0.26378635,0.18161019
"5-49 Units (Rent), 3 BR",All Values,,0.74325496,0.29127352,0.21645331,0.23552813,19607.0,0.06887958,0.62994805,0.85656187,0.1524469
"5-49 Units (Rent), 3 BR",First Tercile,Below 102000,0.91974542,0.43418193,0.23983235,0.24573114,6442.0,0.13254082,0.70171578,1.1377751,0.23705434
"5-49 Units (Rent), 3 BR",Second Tercile,102000 to 138000,0.75348125,0.25891354,0.22616679,0.26840092,6535.0,0.12229854,0.55230016,0.95466235,0.26700212
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 138000,0.56168929,0.18431373,0.1841629,0.19321267,6630.0,0.09243688,0.40963062,0.71374796,0.27071669
"50+ Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,905.0,.,.,.,.
"50+ Units (Own), 0-1 BR",First Tercile,Below 111000,0.0,0.0,0.0,0.0,244.0,.,.,.,.
"50+ Units (Own), 0-1 BR",Second Tercile,111000 to 199000,0.0,0.0,0.0,0.0,210.0,.,.,.,.
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 199000,0.0,0.0,0.0,0.0,451.0,.,.,.,.
"50+ Units (Own), 2 BR",All Values,,0.21721311,0.21721311,0.0,0.0,488.0,0.22429076,-0.15174518,0.58617141,1.6986005
"50+ Units (Own), 2 BR",First Tercile,Below 164000,0.82170543,0.82170543,0.0,0.0,129.0,0.88322855,-0.63120554,2.2746164,1.7681652
"50+ Units (Own), 2 BR",Second Tercile,164000 to 344000,0.0,0.0,0.0,0.0,145.0,.,.,.,.
"50+ Units (Own), 2 BR",Third Tercile ,Above 344000,0.0,0.0,0.0,0.0,214.0,.,.,.,.
"50+ Units (Own), 3 BR",All Values,,0.09821429,0.0,0.09821429,0.0,112.0,0.09758712,-0.06231652,0.2587451,1.6344955
"50+ Units (Own), 3 BR",First Tercile,Below 149000,0.0,0.0,0.0,0.0,21.0,.,.,.,.
"50+ Units (Own), 3 BR",Second Tercile,149000 to 340000,0.0,0.0,0.0,0.0,20.0,.,.,.,.
"50+ Units (Own), 3 BR",Third Tercile ,Above 340000,0.15492958,0.0,0.15492958,0.0,71.0,0.15867136,-0.10608481,0.41594397,1.6847292
"50+ Units (Rent), 0-1 BR",All Values,,0.00405473,0.00128182,0.00204044,0.00073247,38227.0,0.00175304,0.00117098,0.00693847,0.71120567
"50+ Units (Rent), 0-1 BR",First Tercile,Below 55000,0.00448862,0.00392754,0.00056108,0.0,12476.0,0.00324297,-0.00084607,0.00982331,1.1884931
"50+ Units (Rent), 0-1 BR",Second Tercile,55000 to 103000,0.0045655,0.0,0.00355954,0.00100596,12923.0,0.00298787,-0.00034954,0.00948054,1.0765604
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 103000,0.00311818,0.0,0.00194886,0.00116932,12828.0,0.00292701,-0.00169675,0.00793311,1.5441478
"50+ Units (Rent), 2 BR",All Values,,0.13938199,0.05805391,0.02669297,0.05463511,15210.0,0.02431704,0.09938045,0.17938352,0.28699214
"50+ Units (Rent), 2 BR",First Tercile,Below 104000,0.24511581,0.11097684,0.04874119,0.08539778,4965.0,0.05955526,0.1471474,0.34308422,0.39968213
"50+ Units (Rent), 2 BR",Second Tercile,104000 to 146000,0.08405683,0.0406472,0.0,0.04340963,5068.0,0.02461428,0.04356633,0.12454732,0.48170382
"50+ Units (Rent), 2 BR",Third Tercile ,Above 146000,0.0921383,0.02433842,0.03167858,0.03612131,5177.0,0.03096196,0.04120588,0.14307072,0.55278226
"50+ Units (Rent), 3 BR",All Values,,0.50449974,0.30386448,0.1228163,0.07781895,1889.0,0.20325418,0.17014661,0.83885286,0.66274193
"50+ Units (Rent), 3 BR",First Tercile,Below 118000,0.19333333,0.125,0.04,0.02833333,600.0,0.11996255,-0.00400506,0.39067172,1.0207158
