Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"5-49 Units (Rent), 2 BR",All Values,,0.09751222,0.09040426,0.00710795,0.0,4502.0,0.03385153,0.04182645,0.15319798,0.57106447
"5-49 Units (Rent), 2 BR",    Below Median,99000,0.11017662,0.09671993,0.01345669,0.0,2378.0,0.04516533,0.03587965,0.18447359,0.67434427
"5-49 Units (Rent), 2 BR",    Above Median,99000,0.08333333,0.08333333,0.0,0.0,2124.0,0.05433685,-0.00605078,0.17271745,1.0726094
"5-49 Units (Rent), 3 BR",All Values,,0.33171324,0.2162819,0.08748481,0.02794654,823.0,0.19213428,0.01565236,0.64777413,0.95281359
"5-49 Units (Rent), 3 BR",    Below Median,87000,0.24023438,0.24023438,0.0,0.0,512.0,0.18910136,-0.07083736,0.55130611,1.2948677
"5-49 Units (Rent), 3 BR",    Above Median,87000,0.48231511,0.17684887,0.23151125,0.07395498,311.0,0.34355966,-0.08284053,1.0474708,1.171756
"50+ Units (Own), 2 BR",All Values,,0.0,0.0,0.0,0.0,38.0,.,.,.,.
"50+ Units (Own), 2 BR",    Below Median,174000,0.0,0.0,0.0,0.0,38.0,.,.,.,.
"50+ Units (Rent), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,438.0,.,.,.,.
"50+ Units (Rent), 0-1 BR",    Below Median,89000,0.0,0.0,0.0,0.0,337.0,.,.,.,.
"50+ Units (Rent), 0-1 BR",    Above Median,89000,0.0,0.0,0.0,0.0,101.0,.,.,.,.
"50+ Units (Rent), 2 BR",All Values,,0.07810321,0.0390516,0.0390516,0.0,717.0,0.07291885,-0.04184831,0.19805472,1.5358078
"50+ Units (Rent), 2 BR",    Below Median,83000,0.11133201,0.055666,0.055666,0.0,503.0,0.10645993,-0.06379458,0.2864586,1.573012
"50+ Units (Rent), 2 BR",    Above Median,83000,0.0,0.0,0.0,0.0,214.0,.,.,.,.
"50+ Units (Rent), 3 BR",All Values,,0.0,0.0,0.0,0.0,106.0,.,.,.,.
"50+ Units (Rent), 3 BR",    Below Median,95000,0.0,0.0,0.0,0.0,106.0,.,.,.,.
All Housing Types (Own) 0-1 BR,All Values,,0.23376623,0.18334607,0.04201681,0.00840336,1309.0,0.14760292,-0.00904056,0.47657303,1.0386735
All Housing Types (Own) 0-1 BR,    Below Median,96000,0.25032258,0.19612903,0.05419355,0.0,775.0,0.23563536,-0.13729758,0.63794274,1.5484826
All Housing Types (Own) 0-1 BR,    Above Median,96000,0.20973783,0.16479401,0.02434457,0.02059925,534.0,0.13628834,-0.0144565,0.43393215,1.0689265
All Housing Types (Own) 2 BR,All Values,,0.1047943,0.06511176,0.01068999,0.02899255,6174.0,0.02642908,0.06131847,0.14827013,0.4148683
All Housing Types (Own) 2 BR,    Below Median,160000,0.10653453,0.0795912,0.00743264,0.01951068,3229.0,0.03312166,0.0520494,0.16101966,0.51143165
All Housing Types (Own) 2 BR,    Above Median,160000,0.10288625,0.04923599,0.01426146,0.03938879,2945.0,0.03500761,0.04529873,0.16047377,0.55972027
All Housing Types (Own) 3 BR,All Values,,0.3584476,0.16895201,0.08508815,0.10440744,40840.0,0.02275989,0.32100759,0.39588761,0.10445045
All Housing Types (Own) 3 BR,    Below Median,200000,0.34172878,0.17352655,0.06583638,0.10236585,21599.0,0.03280537,0.28776394,0.39569362,0.15791716
All Housing Types (Own) 3 BR,    Above Median,200000,0.37721532,0.16381685,0.10669924,0.10669924,19241.0,0.03351385,0.32208504,0.4323456,0.14615068
All Housing Types (Own) 4-5 BR,All Values,,0.79012937,0.30638077,0.21586009,0.26788852,25044.0,0.0516079,0.70523438,0.87502437,0.10744443
All Housing Types (Own) 4-5 BR,    Below Median,285000,0.85078575,0.34658472,0.22148747,0.28271355,12854.0,0.08113692,0.71731551,0.98425599,0.15687879
All Housing Types (Own) 4-5 BR,    Above Median,285000,0.72616899,0.26398687,0.20992617,0.25225595,12190.0,0.06131867,0.62529978,0.82703821,0.13890598
All Housing Types (Rent) 0-1 BR,All Values,,0.03552251,0.01755473,0.0,0.01796778,4842.0,0.01792457,0.00603659,0.06500843,0.83006291
All Housing Types (Rent) 0-1 BR,    Below Median,79000,0.0,0.0,0.0,0.0,2540.0,.,.,.,.
All Housing Types (Rent) 0-1 BR,    Above Median,79000,0.07471764,0.03692441,0.0,0.03779322,2302.0,0.03847107,0.01143273,0.13800255,0.84698755
All Housing Types (Rent) 2 BR,All Values,,0.17488452,0.10484477,0.02513696,0.04490278,9309.0,0.02750837,0.12963325,0.22013579,0.25874942
All Housing Types (Rent) 2 BR,    Below Median,95000,0.17997893,0.09947313,0.0280295,0.05247629,4745.0,0.03737834,0.11849156,0.24146629,0.34163649
All Housing Types (Rent) 2 BR,    Above Median,95000,0.16958808,0.11042945,0.02212971,0.03702892,4564.0,0.04603952,0.09385307,0.2453231,0.44658218
All Housing Types (Rent) 3 BR,All Values,,0.45682566,0.16714638,0.13342928,0.15625,4864.0,0.08208139,0.32180176,0.59184955,0.29556985
All Housing Types (Rent) 3 BR,    Below Median,118000,0.4515873,0.20714286,0.1547619,0.08968254,2520.0,0.09861901,0.28935903,0.61381557,0.35924011
All Housing Types (Rent) 3 BR,    Above Median,118000,0.46245734,0.12414676,0.11049488,0.2278157,2344.0,0.13922066,0.23343935,0.69147532,0.4952197
All Housing Types (Rent) 4-5 BR,All Values,,0.90473301,0.44356796,0.11893204,0.34223301,1648.0,0.2614291,0.47468214,1.3347839,0.47533456
All Housing Types (Rent) 4-5 BR,    Below Median,165000,0.66699219,0.46289063,0.09960938,0.10449219,1024.0,0.3003521,0.17291298,1.1610714,0.74075712
All Housing Types (Rent) 4-5 BR,    Above Median,165000,1.2948718,0.41185897,0.15064103,0.73237179,624.0,0.5867881,0.32960537,2.2601382,0.74545328
