Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"2-4 Units (Own/Rent), 3 BR",Second Tercile,128000 to 209000,3.2772549,0.32823529,0.7172549,0.83019608,0.61803922,0.30352941,0.27843137,0.12196078,0.07960784
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 209000,3.1243104,0.17175432,0.60757631,0.76020596,0.34939316,0.42920191,0.31518941,0.35454211,0.13644722
"5-49 Units (Own), 0-1 BR",All Values,,1.3098714,0.01503107,0.02471455,0.19453678,0.15132245,0.22141928,0.2845787,0.20667727,0.21159127
"5-49 Units (Own), 0-1 BR",First Tercile,Below 120000,1.2217899,0.0,0.00194553,0.22568093,0.12597276,0.1692607,0.31955253,0.21449416,0.16488327
"5-49 Units (Own), 0-1 BR",Second Tercile,120000 to 201000,1.3025316,0.01097046,0.03248945,0.17637131,0.16075949,0.26160338,0.26371308,0.19535865,0.20126582
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 201000,1.3894906,0.03128761,0.03610108,0.18612114,0.16325712,0.22623345,0.2755716,0.21099077,0.2599278
"5-49 Units (Own), 2 BR",All Values,,1.5513484,0.04525667,0.05815195,0.22830938,0.19244353,0.16342231,0.2333744,0.3244627,0.30592745
"5-49 Units (Own), 2 BR",First Tercile,Below 177000,1.4886693,0.04165957,0.06457659,0.26887034,0.16834214,0.19424093,0.21204635,0.2681036,0.27082978
"5-49 Units (Own), 2 BR",Second Tercile,177000 to 260000,1.5178277,0.04448663,0.05439089,0.21797623,0.23506108,0.17778145,0.24009574,0.29168042,0.25635523
"5-49 Units (Own), 2 BR",Third Tercile ,Above 260000,1.6414648,0.04932523,0.0557967,0.20061558,0.17401941,0.12114277,0.24670507,0.40801831,0.38584169
"5-49 Units (Own), 3 BR",All Values,,2.1965071,0.13393642,0.19499937,0.47543661,0.29287599,0.20404573,0.31511496,0.33710265,0.24299535
"5-49 Units (Own), 3 BR",First Tercile,Below 199000,2.6132859,0.25108739,0.26809015,0.62317121,0.42309213,0.28904705,0.30802689,0.30723606,0.14353499
"5-49 Units (Own), 3 BR",Second Tercile,199000 to 318000,2.0927637,0.06928406,0.20323326,0.52463433,0.29946112,0.19168591,0.29561201,0.26212471,0.24672825
"5-49 Units (Own), 3 BR",Third Tercile ,Above 318000,1.9194915,0.08862994,0.12217514,0.29837571,0.17055085,0.1394774,0.33933616,0.4325565,0.32838983
"5-49 Units (Rent), 0-1 BR",All Values,,1.4473946,0.05625964,0.08707196,0.54676594,0.19936313,0.16259272,0.18899807,0.12118724,0.08515589
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 120000,1.2300716,0.02820769,0.05103456,0.29774782,0.15493427,0.14780607,0.22593887,0.17387807,0.15052421
"5-49 Units (Rent), 0-1 BR",Second Tercile,120000 to 155000,1.5205202,0.08125941,0.09223819,0.60892539,0.22436687,0.17418207,0.1845859,0.11334702,0.04161533
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 155000,1.586899,0.0589141,0.11707185,0.72795786,0.21796326,0.16555916,0.15737439,0.0776067,0.06445165
"5-49 Units (Rent), 2 BR",All Values,,2.5532551,0.24481354,0.46960793,0.82627015,0.38441651,0.26052839,0.20606793,0.10525948,0.05629118
"5-49 Units (Rent), 2 BR",First Tercile,Below 151000,2.3382041,0.24609773,0.41302596,0.75443247,0.29366729,0.22183577,0.22686206,0.11539277,0.06689006
"5-49 Units (Rent), 2 BR",Second Tercile,151000 to 186000,2.6557948,0.26841534,0.49204958,0.88689955,0.4106256,0.28141563,0.18834773,0.09371479,0.03432661
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 186000,2.6620454,0.22000874,0.50275818,0.83629967,0.44734487,0.27767023,0.20333479,0.10682987,0.06779908
"5-49 Units (Rent), 3 BR",All Values,,3.6504212,0.31659024,0.98450108,1.0793786,0.56187125,0.35348903,0.21438982,0.08762575,0.05257545
"5-49 Units (Rent), 3 BR",First Tercile,Below 170000,3.3611292,0.36297503,1.0374593,0.92399566,0.46275787,0.25722041,0.19739414,0.06851249,0.05081433
"5-49 Units (Rent), 3 BR",Second Tercile,170000 to 214000,3.6787115,0.28928685,0.9018756,1.0947335,0.60803221,0.3810533,0.25378828,0.09028293,0.05965879
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 214000,3.9032054,0.29871362,1.0152889,1.2149937,0.61218895,0.41954871,0.19169127,0.10354281,0.04723745
"50+ Units (Own), 0-1 BR",All Values,,1.2046367,0.02577386,0.01346976,0.16824246,0.14013729,0.12977594,0.18896516,0.19272115,0.34555109
"50+ Units (Own), 0-1 BR",First Tercile,Below 185000,1.3345944,0.08364859,0.01933586,0.1899958,0.18116856,0.15889029,0.14123581,0.24632198,0.31399748
"50+ Units (Own), 0-1 BR",Second Tercile,185000 to 300000,1.0854801,0.0,0.01834504,0.19437939,0.1069477,0.04644809,0.19242779,0.16432475,0.36260734
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 300000,1.2032374,0.0,0.00395683,0.12553957,0.13561151,0.18165468,0.22661871,0.17302158,0.35683453
"50+ Units (Own), 2 BR",All Values,,1.5839026,0.02795446,0.04962701,0.15563408,0.13349038,0.13490381,0.16348645,0.32257558,0.59623086
"50+ Units (Own), 2 BR",First Tercile,Below 254000,1.562819,0.05467801,0.05540705,0.20607533,0.12053463,0.12393682,0.17010936,0.27703524,0.55504253
"50+ Units (Own), 2 BR",Second Tercile,254000 to 385000,1.5471372,0.01850938,0.04442251,0.13153998,0.11031589,0.17003949,0.13252715,0.31934847,0.62043435
"50+ Units (Own), 2 BR",Third Tercile ,Above 385000,1.6355079,0.01225919,0.04903678,0.13156743,0.16571804,0.11361646,0.18498249,0.36646235,0.61186515
"50+ Units (Own), 3 BR",All Values,,2.0609756,0.01219512,0.22487805,0.19414634,0.13317073,0.21073171,0.19170732,0.31804878,0.77609756
"50+ Units (Own), 3 BR",First Tercile,Below 359000,2.0189394,0.04734848,0.30113636,0.21022727,0.2405303,0.20075758,0.11363636,0.18560606,0.71969697
"50+ Units (Own), 3 BR",Second Tercile,359000 to 583000,2.2445355,0.0,0.2704918,0.28005464,0.08469945,0.15027322,0.1352459,0.17486339,1.1489071
"50+ Units (Own), 3 BR",Third Tercile ,Above 583000,1.9189873,0.0,0.13164557,0.10379747,0.10632911,0.27341772,0.29620253,0.53924051,0.46835443
"50+ Units (Rent), 0-1 BR",All Values,,1.2561316,0.02134525,0.03391067,0.41984698,0.12297465,0.10609913,0.13018096,0.17827619,0.24349779
"50+ Units (Rent), 0-1 BR",First Tercile,Below 113000,1.1248922,0.00282827,0.01010589,0.06601593,0.03149036,0.08695202,0.21049909,0.3292174,0.38778326
"50+ Units (Rent), 0-1 BR",Second Tercile,113000 to 184000,1.3211369,0.0357408,0.06833528,0.55675752,0.1365645,0.11489377,0.11669672,0.13953406,0.15261428
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 184000,1.3207653,0.02560731,0.02458828,0.62976234,0.19752802,0.11616975,0.06617139,0.07044476,0.19049341
"50+ Units (Rent), 2 BR",All Values,,2.1126724,0.13446122,0.2386978,0.70071309,0.28945283,0.22492543,0.17258576,0.12805276,0.22378356
"50+ Units (Rent), 2 BR",First Tercile,Below 187000,2.0762496,0.1527817,0.29454956,0.53996046,0.2451991,0.22889014,0.20629766,0.1621717,0.24639932
"50+ Units (Rent), 2 BR",Second Tercile,187000 to 253000,2.196396,0.13588557,0.25915019,0.82828495,0.31622493,0.21946431,0.15706072,0.128313,0.15201234
"50+ Units (Rent), 2 BR",Third Tercile ,Above 253000,2.0658567,0.11514566,0.1639514,0.73229325,0.30636477,0.22642551,0.15490819,0.09443601,0.27233191
