Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"2-4 Units (Own/Rent), 3 BR",Second Tercile,99000 to 142000,3.5604626,0.32559067,1.0984947,1.1671817,0.40305054,0.28033097,0.17216628,0.07177749,0.0418702
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 142000,3.0021316,0.26538126,0.62949327,0.94738882,0.42960953,0.25753318,0.2478442,0.10803217,0.11684914
"5-49 Units (Own), 0-1 BR",All Values,,1.2167832,0.03209611,0.0,0.36811906,0.23883808,0.2027972,0.19436973,0.09897795,0.08158508
"5-49 Units (Own), 0-1 BR",First Tercile,Below 135000,1.1225547,0.0,0.0,0.35212888,0.21346375,0.11449942,0.22669735,0.1283084,0.08745685
"5-49 Units (Own), 0-1 BR",Second Tercile,135000 to 210000,1.1776103,0.05005382,0.0,0.29063509,0.28632939,0.30139935,0.11141012,0.04682454,0.09095802
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 210000,1.3361938,0.04341242,0.0,0.4548208,0.21655729,0.18778395,0.24381625,0.12216052,0.0676426
"5-49 Units (Own), 2 BR",All Values,,1.5978539,0.05187607,0.08321489,0.37642126,0.2885162,0.21844798,0.26343093,0.18440875,0.13153781
"5-49 Units (Own), 2 BR",First Tercile,Below 159000,1.7410792,0.09247171,0.14795474,0.41579634,0.27349869,0.28024369,0.28524804,0.16057441,0.08529156
"5-49 Units (Own), 2 BR",Second Tercile,159000 to 260000,1.4564091,0.03379139,0.04145078,0.28204551,0.28519937,0.21829241,0.28970489,0.18607795,0.11984681
"5-49 Units (Own), 2 BR",Third Tercile ,Above 260000,1.5918205,0.03077229,0.06094898,0.42366488,0.30514195,0.16219972,0.22036927,0.20468533,0.18403812
"5-49 Units (Own), 3 BR",All Values,,1.8837477,0.11691092,0.17915363,0.36538778,0.27696361,0.3178001,0.19841923,0.20895768,0.22015478
"5-49 Units (Own), 3 BR",First Tercile,Below 136000,2.1309192,0.254039,0.37381616,0.40668524,0.2729805,0.39387187,0.17325905,0.11476323,0.14150418
"5-49 Units (Own), 3 BR",Second Tercile,136000 to 250000,1.6683119,0.04392892,0.1189536,0.38005923,0.35143139,0.29615005,0.21174729,0.16584403,0.10019743
