Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 136000,0.77764128,0.30589681,0.2002457,0.27149877,1628.0,0.28638942,0.30653068,1.2487519,0.60581995
"5-49 Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,755.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",First Tercile,Below 98000,0.0,0.0,0.0,0.0,119.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",Second Tercile,98000 to 166000,0.0,0.0,0.0,0.0,228.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 166000,0.0,0.0,0.0,0.0,408.0,.,.,.,.
"5-49 Units (Own), 2 BR",All Values,,0.00481928,0.0,0.00481928,0.0,1245.0,0.0046879,-0.00289232,0.01253087,1.6001564
"5-49 Units (Own), 2 BR",First Tercile,Below 106000,0.0,0.0,0.0,0.0,279.0,.,.,.,.
"5-49 Units (Own), 2 BR",Second Tercile,106000 to 166000,0.0,0.0,0.0,0.0,434.0,.,.,.,.
"5-49 Units (Own), 2 BR",Third Tercile ,Above 166000,0.0112782,0.0,0.0112782,0.0,532.0,0.01111686,-0.00700904,0.02956543,1.6214683
"5-49 Units (Own), 3 BR",All Values,,0.0,0.0,0.0,0.0,230.0,.,.,.,.
"5-49 Units (Own), 3 BR",First Tercile,Below 185000,0.0,0.0,0.0,0.0,17.0,.,.,.,.
"5-49 Units (Own), 3 BR",Second Tercile,185000 to 249000,0.0,0.0,0.0,0.0,60.0,.,.,.,.
"5-49 Units (Own), 3 BR",Third Tercile ,Above 249000,0.0,0.0,0.0,0.0,153.0,.,.,.,.
"5-49 Units (Rent), 0-1 BR",All Values,,0.04923658,0.0230182,0.00863664,0.01758174,25936.0,0.0109529,0.03121905,0.06725411,0.36593783
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 68000,0.07479655,0.03015797,0.01998564,0.02465294,8356.0,0.02669059,0.03089053,0.11870258,0.58700602
"5-49 Units (Rent), 0-1 BR",Second Tercile,68000 to 91000,0.02475361,0.02440981,0.0002292,0.0001146,8726.0,0.01880977,-0.00618846,0.05569568,1.2500025
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 91000,0.04924328,0.01490852,0.00621188,0.02812288,8854.0,0.01680315,0.0216021,0.07688446,0.56131875
"5-49 Units (Rent), 2 BR",All Values,,0.37513338,0.22287172,0.06532127,0.08694039,21555.0,0.0429952,0.30440628,0.44586048,0.18853853
"5-49 Units (Rent), 2 BR",First Tercile,Below 88000,0.37356403,0.18862573,0.08551978,0.09941852,7051.0,0.07323891,0.25308603,0.49404204,0.32250965
"5-49 Units (Rent), 2 BR",Second Tercile,88000 to 117000,0.43356251,0.30166971,0.05808896,0.07380384,7127.0,0.09074685,0.28428394,0.58284108,0.34430692
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 117000,0.32018436,0.17947675,0.05300258,0.08770503,7377.0,0.05784755,0.22502513,0.41534358,0.29720136
"5-49 Units (Rent), 3 BR",All Values,,0.90193705,0.34120258,0.2732042,0.28753027,4956.0,0.15514252,0.6467276,1.1571465,0.28295705
"5-49 Units (Rent), 3 BR",First Tercile,Below 98000,1.2197802,0.56948933,0.36845507,0.28183581,1547.0,0.40084379,0.56039219,1.8791683,0.54057938
"5-49 Units (Rent), 3 BR",Second Tercile,98000 to 130000,0.71096142,0.27127985,0.19779547,0.2418861,1633.0,0.22904812,0.33417726,1.0877456,0.52996429
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 130000,0.80067568,0.20664414,0.25957207,0.33445946,1776.0,0.20681873,0.46045887,1.1408925,0.42491213
"50+ Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,381.0,.,.,.,.
"50+ Units (Own), 0-1 BR",First Tercile,Below 129000,0.0,0.0,0.0,0.0,41.0,.,.,.,.
"50+ Units (Own), 0-1 BR",Second Tercile,129000 to 1047000,0.0,0.0,0.0,0.0,117.0,.,.,.,.
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 1047000,0.0,0.0,0.0,0.0,223.0,.,.,.,.
"50+ Units (Own), 2 BR",All Values,,0.14606742,0.14606742,0.0,0.0,267.0,0.17293482,-0.13841036,0.43054519,1.9475786
"50+ Units (Own), 2 BR",First Tercile,Below 115000,1.0540541,1.0540541,0.0,0.0,37.0,1.3556,-1.1759079,3.284016,2.115605
"50+ Units (Own), 2 BR",Second Tercile,115000 to 270000,0.0,0.0,0.0,0.0,66.0,.,.,.,.
"50+ Units (Own), 2 BR",Third Tercile ,Above 270000,0.0,0.0,0.0,0.0,164.0,.,.,.,.
"50+ Units (Rent), 0-1 BR",All Values,,0.03043868,0.01464963,0.0,0.01578905,12287.0,0.01149121,0.01153564,0.04934171,0.62102038
"50+ Units (Rent), 0-1 BR",First Tercile,Below 74000,0.02091503,0.0,0.0,0.02091503,3825.0,0.01697869,-0.00701491,0.04884498,1.3354005
"50+ Units (Rent), 0-1 BR",Second Tercile,74000 to 102000,0.00505537,0.00505537,0.0,0.0,4154.0,0.00478946,-0.00282329,0.01293403,1.5584738
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 102000,0.06337047,0.03690808,0.0,0.0264624,4308.0,0.02974397,0.01444164,0.11229931,0.77210773
"50+ Units (Rent), 2 BR",All Values,,0.30721328,0.12800554,0.08164677,0.09756098,5781.0,0.06741405,0.19631718,0.41810939,0.36097431
"50+ Units (Rent), 2 BR",First Tercile,Below 95000,0.3056346,0.2037564,0.09163347,0.01024474,1757.0,0.17101322,0.02431786,0.58695134,0.92043485
"50+ Units (Rent), 2 BR",Second Tercile,95000 to 130000,0.4197349,0.14482081,0.09278351,0.18213058,2037.0,0.12070619,0.22117323,0.61829658,0.47306449
"50+ Units (Rent), 2 BR",Third Tercile ,Above 130000,0.19325617,0.0437846,0.06139909,0.08807247,1987.0,0.06341538,0.08893786,0.29757447,0.53979288
"50+ Units (Rent), 3 BR",All Values,,1.1646127,0.63292254,0.30017606,0.23151408,1136.0,0.35885881,0.57428994,1.7549354,0.50688332
"50+ Units (Rent), 3 BR",First Tercile,Below 102000,1.8195489,0.46616541,0.96240602,0.39097744,133.0,1.2595204,-0.25236221,3.89146,1.1386949
"50+ Units (Rent), 3 BR",Second Tercile,102000 to 142000,1.0120724,0.72837022,0.28370221,0.0,497.0,0.53756299,0.12778132,1.8963636,0.87374291
"50+ Units (Rent), 3 BR",Third Tercile ,Above 142000,1.1422925,0.58300395,0.14229249,0.41699605,506.0,0.50054,0.31890419,1.9656808,0.7208209
All Housing Types (Own) 0-1 BR,All Values,,0.15557128,0.073081,0.02752034,0.05496993,14135.0,0.02581441,0.11310657,0.19803599,0.27295985
All Housing Types (Own) 0-1 BR,First Tercile,Below 79000,0.17157405,0.09364623,0.03077264,0.04715519,4517.0,0.04139481,0.10347959,0.23966852,0.39688089
All Housing Types (Own) 0-1 BR,Second Tercile,79000 to 182000,0.13374706,0.05157287,0.03038733,0.05178686,4673.0,0.05012057,0.05129872,0.21619539,0.61644972
All Housing Types (Own) 0-1 BR,Third Tercile ,Above 182000,0.16157735,0.07462083,0.02184024,0.06511628,4945.0,0.05079793,0.07801475,0.24513995,0.51716777
All Housing Types (Own) 2 BR,All Values,,0.16613863,0.08520039,0.03333002,0.04760822,70387.0,0.01287756,0.14495505,0.18732222,0.12750549
All Housing Types (Own) 2 BR,First Tercile,Below 126000,0.1813089,0.09002475,0.0361315,0.05515265,23027.0,0.01906851,0.14994121,0.21267659,0.17300691
All Housing Types (Own) 2 BR,Second Tercile,126000 to 221000,0.19419091,0.09950092,0.03471067,0.05997932,22241.0,0.03236179,0.14095577,0.24742605,0.27413817
All Housing Types (Own) 2 BR,Third Tercile ,Above 221000,0.12739361,0.06811577,0.02953939,0.02973845,25119.0,0.01991988,0.09462541,0.16016181,0.25722014
All Housing Types (Own) 3 BR,All Values,,0.36146816,0.15940477,0.08437682,0.11768657,253079.0,0.01037111,0.34440768,0.37852864,0.04719775
All Housing Types (Own) 3 BR,First Tercile,Below 166000,0.44221055,0.19457214,0.09380683,0.15383158,79184.0,0.02100509,0.40765718,0.47676391,0.07813781
All Housing Types (Own) 3 BR,Second Tercile,166000 to 265000,0.37379487,0.1642686,0.09092034,0.11860593,88891.0,0.01757307,0.34488717,0.40270257,0.07733573
All Housing Types (Own) 3 BR,Third Tercile ,Above 265000,0.27336361,0.12155899,0.06874971,0.08305492,85004.0,0.01415676,0.25007574,0.29665147,0.08519008
All Housing Types (Own) 4-5 BR,All Values,,0.76493307,0.3145092,0.19160754,0.25881634,112887.0,0.02295597,0.7271705,0.80269565,0.04936717
All Housing Types (Own) 4-5 BR,First Tercile,Below 212000,0.85682587,0.36547956,0.2077162,0.28363011,36054.0,0.04861147,0.77686001,0.93679173,0.09332802
All Housing Types (Own) 4-5 BR,Second Tercile,212000 to 348000,0.78800302,0.30882512,0.1954364,0.2837415,37076.0,0.04714116,0.71045582,0.86555023,0.09840978
All Housing Types (Own) 4-5 BR,Third Tercile ,Above 348000,0.66008502,0.27358704,0.17342858,0.2130694,39757.0,0.03673612,0.5996541,0.72051594,0.09155021
All Housing Types (Rent) 0-1 BR,All Values,,0.05534317,0.0274377,0.0062747,0.02163078,61995.0,0.00764385,0.04276904,0.06791731,0.22720304
All Housing Types (Rent) 0-1 BR,First Tercile,Below 67000,0.06742965,0.02729885,0.00797662,0.03215418,20184.0,0.01579682,0.04144389,0.09341541,0.38537591
All Housing Types (Rent) 0-1 BR,Second Tercile,67000 to 92000,0.04168865,0.02825618,0.00556488,0.00786759,20845.0,0.01098885,0.02361199,0.05976532,0.4336111
All Housing Types (Rent) 0-1 BR,Third Tercile ,Above 92000,0.05728322,0.02675761,0.00534198,0.02518363,20966.0,0.01250656,0.03670994,0.0778565,0.35915028
All Housing Types (Rent) 2 BR,All Values,,0.33615501,0.18500758,0.06822067,0.08292676,71943.0,0.01936225,0.30430411,0.36800591,0.09475064
All Housing Types (Rent) 2 BR,First Tercile,Below 86000,0.3642044,0.18903535,0.07780536,0.09736369,23366.0,0.03865295,0.30062029,0.42778851,0.17458358
All Housing Types (Rent) 2 BR,Second Tercile,86000 to 114000,0.37887462,0.23092337,0.06743273,0.08051852,24454.0,0.04086346,0.31165422,0.44609502,0.17742122
All Housing Types (Rent) 2 BR,Third Tercile ,Above 114000,0.26568006,0.13456038,0.05973552,0.07138416,24123.0,0.02769269,0.22012559,0.31123453,0.17146364
All Housing Types (Rent) 3 BR,All Values,,0.7736594,0.35715866,0.18993891,0.22656184,58761.0,0.03715166,0.71254492,0.83477388,0.07899404
All Housing Types (Rent) 3 BR,First Tercile,Below 110000,0.9109582,0.44895758,0.21238575,0.24961487,19474.0,0.07454716,0.78832812,1.0335883,0.13461658
All Housing Types (Rent) 3 BR,Second Tercile,110000 to 150000,0.70073179,0.29148969,0.18172049,0.22752162,19541.0,0.07507445,0.57723432,0.82422927,0.17624071
All Housing Types (Rent) 3 BR,Third Tercile ,Above 150000,0.71042236,0.33161147,0.17593437,0.20287653,19746.0,0.04841022,0.63078755,0.79005718,0.11209503
All Housing Types (Rent) 4-5 BR,All Values,,1.3116998,0.58972841,0.3735662,0.34840524,13513.0,0.12872008,1.0999553,1.5234444,0.16142758
All Housing Types (Rent) 4-5 BR,First Tercile,Below 117000,1.4082054,0.57758423,0.47765299,0.35296814,4363.0,0.27959374,0.94827365,1.8681371,0.32660841
All Housing Types (Rent) 4-5 BR,Second Tercile,117000 to 171000,1.1261724,0.49553372,0.3673515,0.26328718,4478.0,0.15383297,0.87311717,1.3792276,0.22470381
All Housing Types (Rent) 4-5 BR,Third Tercile ,Above 171000,1.3994007,0.69135274,0.28232021,0.42572774,4672.0,0.19399469,1.0802794,1.718522,0.22804138
