Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"5-49 Units (Rent), 0-1 BR",    Above Median,107000,1.9316239,0.18803419,0.16025641,0.85683761,0.29273504,0.07051282,0.18589744,0.16666667,0.01068376
"5-49 Units (Rent), 2 BR",All Values,,1.9657795,0.32319392,0.22813688,0.60076046,0.1634981,0.0418251,0.45627376,0.04562738,0.10646388
"5-49 Units (Rent), 2 BR",    Below Median,149000,2.4871795,0.49084249,0.30769231,1.5677656,0.01098901,0.09157509,0.01831502,0.0,0.0
"5-49 Units (Rent), 2 BR",    Above Median,149000,2.5117188,0.5234375,0.29296875,1.65625,0.0,0.0390625,0.0,0.0,0.0
"5-49 Units (Rent), 3 BR",All Values,,2.1176471,0.0,0.52941176,0.23529412,0.17647059,0.88235294,0.29411765,0.0,0.0
"5-49 Units (Rent), 3 BR",    Below Median,281000,1.2029703,0.0,0.0,0.12376238,0.17326733,0.46534653,0.0,0.21287129,0.22772277
"5-49 Units (Rent), 3 BR",    Above Median,281000,1.2029703,0.0,0.0,0.12376238,0.17326733,0.46534653,0.0,0.21287129,0.22772277
"50+ Units (Own), 0-1 BR",All Values,,1.0258621,0.0,0.0,0.11206897,0.0,0.0,0.0,0.05172414,0.86206897
"50+ Units (Own), 0-1 BR",    Below Median,0,1.0192308,0.0,0.0,0.0,0.0,0.0,0.0,0.05769231,0.96153846
"50+ Units (Own), 2 BR",All Values,,1.8536862,0.08090737,0.18601134,0.22759924,0.22495274,0.23478261,0.44461248,0.34706994,0.10775047
"50+ Units (Own), 2 BR",    Below Median,0,1.7370861,0.0602649,0.11192053,0.21589404,0.15165563,0.20662252,0.52582781,0.31589404,0.14900662
"50+ Units (Own), 2 BR",    Above Median,0,2.0088106,0.10837004,0.2845815,0.24317181,0.32246696,0.2722467,0.33656388,0.38854626,0.05286344
"50+ Units (Own), 3 BR",All Values,,2.1936839,0.1295893,0.26306783,0.41179216,0.30118233,0.33478531,0.38394524,0.26742377,0.10189795
