Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
"5-49 Units (Rent), 2 BR",All Values,,0.58415219,0.31434242,0.13442083,0.13538893
"5-49 Units (Rent), 2 BR",First Tercile,Below 121000,0.74407865,0.46179056,0.12810964,0.15417846
"5-49 Units (Rent), 2 BR",Second Tercile,121000 to 180000,0.61339465,0.27119862,0.16197183,0.1802242
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 180000,0.4014024,0.21565541,0.11305094,0.07269605
"5-49 Units (Rent), 3 BR",All Values,,1.1485069,0.60505784,0.21603444,0.32741458
"5-49 Units (Rent), 3 BR",First Tercile,Below 97000,1.3492366,0.64312977,0.22328244,0.48282443
"5-49 Units (Rent), 3 BR",Second Tercile,97000 to 181000,1.2787402,0.88818898,0.14330709,0.24724409
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 181000,0.87991422,0.31951394,0.27662616,0.28377412
"50+ Units (Own), 0-1 BR",All Values,,0.0090173,0.00616489,0.00285241,0.0
"50+ Units (Own), 0-1 BR",First Tercile,Below 353000,0.0,0.0,0.0,0.0
"50+ Units (Own), 0-1 BR",Second Tercile,353000 to 497000,0.02232635,0.0137817,0.00854465,0.0
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 497000,0.00459335,0.00459335,0.0,0.0
"50+ Units (Own), 2 BR",All Values,,0.0447812,0.01038651,0.00970543,0.02468926
"50+ Units (Own), 2 BR",First Tercile,Below 550000,0.02325581,0.0,0.0,0.02325581
"50+ Units (Own), 2 BR",Second Tercile,550000 to 800000,0.03496503,0.00430339,0.03066165,0.0
"50+ Units (Own), 2 BR",Third Tercile ,Above 800000,0.07065217,0.02400362,0.0,0.04664855
"50+ Units (Own), 3 BR",All Values,,0.26267748,0.11156187,0.11561866,0.03549696
"50+ Units (Own), 3 BR",First Tercile,Below 636000,0.13793103,0.13793103,0.0,0.0
"50+ Units (Own), 3 BR",Second Tercile,636000 to 1007000,0.37772397,0.15738499,0.16949153,0.05084746
"50+ Units (Own), 3 BR",Third Tercile ,Above 1007000,0.2027027,0.04594595,0.11891892,0.03783784
"50+ Units (Rent), 0-1 BR",All Values,,0.03850729,0.01607586,0.01407063,0.00836081
"50+ Units (Rent), 0-1 BR",First Tercile,Below 175000,0.06479814,0.02182897,0.03173678,0.01123238
"50+ Units (Rent), 0-1 BR",Second Tercile,175000 to 242000,0.04643139,0.02321569,0.00941443,0.01380126
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 242000,0.00513107,0.00320057,0.0019305,0.0
"50+ Units (Rent), 2 BR",All Values,,0.19888762,0.12524291,0.03558266,0.03806205
"50+ Units (Rent), 2 BR",First Tercile,Below 231000,0.34622393,0.20550719,0.04717554,0.0935412
"50+ Units (Rent), 2 BR",Second Tercile,231000 to 342000,0.1566934,0.08287066,0.0520255,0.02179724
"50+ Units (Rent), 2 BR",Third Tercile ,Above 342000,0.09685608,0.08806874,0.00878735,0.0
"50+ Units (Rent), 3 BR",All Values,,0.29348659,0.14712644,0.06666667,0.07969349
"50+ Units (Rent), 3 BR",First Tercile,Below 177000,0.0733945,0.06422018,0.0,0.00917431
"50+ Units (Rent), 3 BR",Second Tercile,177000 to 356000,0.4247191,0.23820225,0.03595506,0.1505618
"50+ Units (Rent), 3 BR",Third Tercile ,Above 356000,0.31894934,0.12195122,0.13320826,0.06378987
All Housing Types (Own) 0-1 BR,All Values,,0.01923751,0.01097139,0.00340664,0.00485948
All Housing Types (Own) 0-1 BR,First Tercile,Below 353000,0.01293661,0.00695343,0.00598318,0.0
All Housing Types (Own) 0-1 BR,Second Tercile,353000 to 497000,0.0371179,0.0231441,0.00451237,0.00946143
All Housing Types (Own) 0-1 BR,Third Tercile ,Above 497000,0.00709425,0.00246127,0.0,0.00463298
All Housing Types (Own) 2 BR,All Values,,0.10792603,0.06444628,0.01436722,0.02911253
All Housing Types (Own) 2 BR,First Tercile,Below 471000,0.10811678,0.04705379,0.0145439,0.04651909
All Housing Types (Own) 2 BR,Second Tercile,471000 to 774000,0.11995398,0.08732483,0.01432755,0.01830161
All Housing Types (Own) 2 BR,Third Tercile ,Above 774000,0.09645418,0.05893331,0.01424222,0.02327866
All Housing Types (Own) 3 BR,All Values,,0.32695164,0.17865984,0.06465588,0.08363591
All Housing Types (Own) 3 BR,First Tercile,Below 523000,0.35623881,0.19189466,0.05465354,0.10969062
All Housing Types (Own) 3 BR,Second Tercile,523000 to 850000,0.29737609,0.16357546,0.06457416,0.06922647
All Housing Types (Own) 3 BR,Third Tercile ,Above 850000,0.32806608,0.18082241,0.07410068,0.07314299
All Housing Types (Own) 4-5 BR,All Values,,0.53105823,0.25869358,0.14980226,0.12256239
All Housing Types (Own) 4-5 BR,First Tercile,Below 733000,0.47024952,0.24440179,0.09255705,0.13329068
All Housing Types (Own) 4-5 BR,Second Tercile,733000 to 1085000,0.52167725,0.25957959,0.16498796,0.0971097
All Housing Types (Own) 4-5 BR,Third Tercile ,Above 1085000,0.59168207,0.27033272,0.18659889,0.13475046
All Housing Types (Rent) 0-1 BR,All Values,,0.05756427,0.03228796,0.01246621,0.0128101
