Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"5-49 Units (Own), 2 BR",All Values,,0.03956723,0.02555384,0.00618238,0.00783101,9705.0,0.01108316,0.02133544,0.05779903,0.46078005
"5-49 Units (Own), 2 BR",First Tercile,Below 120000,0.07209527,0.04151915,0.01094303,0.01963309,3107.0,0.02878247,0.0247481,0.11944244,0.6567306
"5-49 Units (Own), 2 BR",Second Tercile,120000 to 185000,0.01636126,0.00850785,0.00458115,0.00327225,3056.0,0.01124565,-0.00213783,0.03486035,1.1306644
"5-49 Units (Own), 2 BR",Third Tercile ,Above 185000,0.0310559,0.02625635,0.00338792,0.00141163,3542.0,0.01640306,0.00407286,0.05803894,0.86885392
"5-49 Units (Own), 3 BR",All Values,,0.15966387,0.07437869,0.04130163,0.04398355,5593.0,0.04599024,0.08400992,0.23531781,0.47383261
"5-49 Units (Own), 3 BR",First Tercile,Below 143000,0.10067873,0.01470588,0.03959276,0.04638009,1768.0,0.07376589,-0.02066615,0.22202362,1.2052683
"5-49 Units (Own), 3 BR",Second Tercile,143000 to 262000,0.25572082,0.10125858,0.08924485,0.06521739,1748.0,0.10071963,0.09003704,0.42140461,0.64790885
"5-49 Units (Own), 3 BR",Third Tercile ,Above 262000,0.12903226,0.10255176,0.00240732,0.02407318,2077.0,0.08415036,-0.00939508,0.2674596,1.0728119
"5-49 Units (Rent), 0-1 BR",All Values,,0.05343809,0.02611538,0.01307627,0.01424644,53838.0,0.01003063,0.03693771,0.06993847,0.30877566
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 87000,0.03392918,0.01047478,0.00876694,0.01468746,17566.0,0.009823,0.01777035,0.05008802,0.4762518
"5-49 Units (Rent), 0-1 BR",Second Tercile,87000 to 121000,0.08181971,0.04102163,0.01698988,0.02380819,17893.0,0.02250181,0.04480423,0.11883518,0.45240292
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 121000,0.04445291,0.02655204,0.01338484,0.00451602,18379.0,0.01716909,0.01620976,0.07269606,0.63534992
"5-49 Units (Rent), 2 BR",All Values,,0.32187944,0.1761885,0.06312225,0.08256869,79449.0,0.01743508,0.29319874,0.35056015,0.08910389
"5-49 Units (Rent), 2 BR",First Tercile,Below 100000,0.40612004,0.24896028,0.06875501,0.08840475,26209.0,0.03695467,0.3453296,0.46691047,0.14968587
"5-49 Units (Rent), 2 BR",Second Tercile,100000 to 133000,0.34488088,0.1723839,0.08074487,0.09175211,26528.0,0.03498333,0.28733331,0.40242845,0.16686218
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 133000,0.21638215,0.10856544,0.04009434,0.06772237,26712.0,0.02423081,0.17652247,0.25624184,0.18420967
"5-49 Units (Rent), 3 BR",All Values,,0.94560708,0.48305756,0.21058028,0.25196924,21455.0,0.08368897,0.80793873,1.0832754,0.14558727
"5-49 Units (Rent), 3 BR",First Tercile,Below 112000,1.1034929,0.53801926,0.31220354,0.25327009,6957.0,0.15083319,0.85537229,1.3516135,0.2248502
"5-49 Units (Rent), 3 BR",Second Tercile,112000 to 157000,0.85259913,0.39274205,0.17164075,0.28821634,7137.0,0.14071948,0.62111558,1.0840827,0.27150339
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 157000,0.88656433,0.51867953,0.15228909,0.21559571,7361.0,0.1393911,0.65726596,1.1158627,0.25863703
