Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"5-49 Units (Rent), 0-1 BR",All Values,,1.3388311,0.02982717,0.02968779,0.76356625,0.11498792,0.09905222,0.13092362,0.10058539,0.07020071
"5-49 Units (Rent), 0-1 BR",    Below Median,119000,1.2776976,0.02544208,0.04068928,0.68422952,0.07984482,0.07984482,0.13018766,0.13884879,0.09861061
"5-49 Units (Rent), 0-1 BR",    Above Median,119000,1.4037356,0.03448276,0.01800766,0.84779693,0.15229885,0.11944444,0.13170498,0.05996169,0.04003831
"5-49 Units (Rent), 2 BR",All Values,,2.1389784,0.16518358,0.3237458,0.89710622,0.27536435,0.18476738,0.13652607,0.10986547,0.04641956
"5-49 Units (Rent), 2 BR",    Below Median,128000,2.1012327,0.18703946,0.40920047,0.8524895,0.26286068,0.13910888,0.11473039,0.10254115,0.03326217
"5-49 Units (Rent), 2 BR",    Above Median,128000,2.1780646,0.14255152,0.23525636,0.94330742,0.28831206,0.23204735,0.15909577,0.1174499,0.06004421
"5-49 Units (Rent), 3 BR",All Values,,3.3596259,0.27729213,0.98942875,1.1707664,0.40557024,0.30239886,0.10571254,0.0642407,0.0442163
"5-49 Units (Rent), 3 BR",    Below Median,139000,3.244902,0.34606158,0.97061176,1.1309476,0.3572571,0.30207917,0.06077569,0.02738904,0.04978009
"5-49 Units (Rent), 3 BR",    Above Median,139000,3.4782878,0.20616212,1.0088916,1.211952,0.45554177,0.30272953,0.15219189,0.10235732,0.03846154
"50+ Units (Own), 0-1 BR",All Values,,1.1655329,0.0,0.0,0.2585034,0.07936508,0.03401361,0.41269841,0.29024943,0.09070295
"50+ Units (Own), 0-1 BR",    Below Median,180000,1.0886525,0.0,0.0,0.19503546,0.12411348,0.03900709,0.4787234,0.19858156,0.05319149
"50+ Units (Own), 0-1 BR",    Above Median,180000,1.3018868,0.0,0.0,0.37106918,0.0,0.02515723,0.29559748,0.45283019,0.1572327
"50+ Units (Own), 2 BR",All Values,,1.8190128,0.03473492,0.11517367,0.3071298,0.18464351,0.21755027,0.2797075,0.34917733,0.3308958
"50+ Units (Own), 2 BR",    Below Median,280000,1.6749226,0.01857585,0.0,0.44891641,0.17337461,0.15479876,0.29102167,0.43343653,0.15479876
"50+ Units (Own), 2 BR",    Above Median,280000,2.0267857,0.05803571,0.28125,0.10267857,0.20089286,0.30803571,0.26339286,0.22767857,0.58482143
"50+ Units (Own), 3 BR",All Values,,1.4879725,0.0,0.0,0.12027491,0.12714777,0.0,0.48453608,0.62542955,0.13058419
"50+ Units (Own), 3 BR",    Below Median,350000,1.539267,0.0,0.0,0.18324607,0.19371728,0.0,0.36649215,0.63350785,0.16230366
"50+ Units (Own), 3 BR",    Above Median,350000,1.39,0.0,0.0,0.0,0.0,0.0,0.71,0.61,0.07
"50+ Units (Rent), 0-1 BR",All Values,,1.2869674,0.02472089,0.00797448,0.77204375,0.08885851,0.05604921,0.07108681,0.0726817,0.19355206
"50+ Units (Rent), 0-1 BR",    Below Median,132000,1.2709821,0.00111607,0.00424107,0.79107143,0.05379464,0.0703125,0.07232143,0.09486607,0.18325893
"50+ Units (Rent), 0-1 BR",    Above Median,132000,1.3036296,0.04932527,0.01186598,0.75221033,0.12540717,0.04118195,0.06979991,0.04955793,0.20428106
"50+ Units (Rent), 2 BR",All Values,,1.8470481,0.09064487,0.14405086,0.83505904,0.21380563,0.19763851,0.14187103,0.10644868,0.11752952
"50+ Units (Rent), 2 BR",    Below Median,158000,1.8332173,0.11594708,0.19916435,0.77785515,0.28098886,0.10724234,0.1347493,0.09749304,0.11977716
"50+ Units (Rent), 2 BR",    Above Median,158000,1.8621344,0.06304596,0.08393468,0.89745537,0.14052412,0.29624003,0.14963919,0.11621724,0.11507786
"50+ Units (Rent), 3 BR",All Values,,3.2942837,0.21736062,0.55116443,1.5561044,0.40508116,0.27805222,0.0733945,0.13549753,0.07762879
"50+ Units (Rent), 3 BR",    Below Median,184000,3.4761376,0.1809101,0.76470588,1.6681465,0.5127636,0.10876804,0.03884573,0.13540511,0.06659267
"50+ Units (Rent), 3 BR",    Above Median,184000,2.9767442,0.28100775,0.17829457,1.3604651,0.21705426,0.57364341,0.13372093,0.13565891,0.09689922
All Housing Types (Own) 0-1 BR,All Values,,1.6816633,0.04430811,0.0927062,0.27402863,0.3265167,0.21915474,0.26380368,0.34458078,0.11656442
All Housing Types (Own) 0-1 BR,    Below Median,175000,1.6012987,0.01168831,0.08376623,0.22662338,0.31623377,0.31558442,0.25324675,0.26233766,0.13181818
All Housing Types (Own) 0-1 BR,    Above Median,175000,1.7704448,0.08034433,0.1025825,0.32639885,0.33787661,0.11262554,0.27546628,0.43543759,0.09971306
All Housing Types (Own) 2 BR,All Values,,1.8170015,0.0444635,0.10243141,0.22969745,0.14508819,0.20823126,0.3027315,0.45835375,0.32600441
