Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12)
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,0.10972636,0.06556489,0.0,0.04416147
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 318000,0.17391304,0.12952899,0.0,0.04438406
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,318000 to 600000,0.09803922,0.02762923,0.0,0.07040998
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 600000,0.07030717,0.04641638,0.0,0.02389078
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,0.27879242,0.13697697,0.07380401,0.06801145
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 497000,0.3331903,0.14696417,0.09568762,0.09053851
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,497000 to 890000,0.24000846,0.12983717,0.04927046,0.06090082
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 890000,0.26551855,0.13455715,0.07645723,0.05450416
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,0.43933132,0.21368207,0.11862316,0.10702609
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 689000,0.52578342,0.24871083,0.10234034,0.17473225
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,689000 to 1079000,0.43537015,0.23462593,0.11927145,0.08147278
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 1079000,0.37077354,0.16691407,0.13161801,0.07224146
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,0.17674826,0.07606717,0.04558635,0.05509475
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 315000,0.2541723,0.08434822,0.07397384,0.09585025
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,315000 to 610000,0.16221964,0.06477185,0.05007734,0.04737046
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 610000,0.12540685,0.08022209,0.01704002,0.02814474
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,0.32120749,0.17430129,0.05813555,0.08877065
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 419000,0.46393937,0.23127699,0.08214489,0.15051748
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,419000 to 750000,0.27137372,0.15813808,0.05062299,0.06261265
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 750000,0.23493929,0.13618436,0.04276545,0.05598948
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,0.05063872,0.03220378,0.00673143,0.01170351
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 120000,0.02897174,0.02897174,0.0,0.0
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,120000 to 188000,0.10265049,0.06716083,0.0197664,0.01572327
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 188000,0.01882086,0.0,0.0,0.01882086
"2-4 Units  (Own/Rent), 2 BR",All Values,,0.27872552,0.16084484,0.0511779,0.06670277
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 165000,0.53259925,0.26687917,0.1112721,0.15444799
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,165000 to 341000,0.25759162,0.17827225,0.04790576,0.03141361
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 341000,0.06985294,0.04726891,0.0,0.02258403
"2-4 Units (Own/Rent), 3 BR",All Values,,0.49887892,0.27286996,0.1529148,0.07309417
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 171000,1.0221904,0.5583393,0.27630637,0.18754474
"2-4 Units (Own/Rent), 3 BR",Second Tercile,171000 to 509000,0.37629938,0.21136521,0.14553015,0.01940402
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 509000,0.15679012,0.08148148,0.05308642,0.02222222
"5-49 Units (Own), 0-1 BR",All Values,,0.02574314,0.02161855,0.00412459,0.0
"5-49 Units (Own), 0-1 BR",First Tercile,Below 340000,0.03304268,0.01973382,0.01330886,0.0
"5-49 Units (Own), 0-1 BR",Second Tercile,340000 to 470000,0.04757748,0.04757748,0.0,0.0
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 470000,0.0,0.0,0.0,0.0
"5-49 Units (Own), 2 BR",All Values,,0.05839814,0.04925638,0.00150089,0.00764088
"5-49 Units (Own), 2 BR",First Tercile,Below 419000,0.02693603,0.00865801,0.0,0.01827802
"5-49 Units (Own), 2 BR",Second Tercile,419000 to 650000,0.07513812,0.06445672,0.00405157,0.00662983
"5-49 Units (Own), 2 BR",Third Tercile ,Above 650000,0.06627219,0.06627219,0.0,0.0
"5-49 Units (Own), 3 BR",All Values,,0.24324324,0.13413413,0.05905906,0.05005005
"5-49 Units (Own), 3 BR",First Tercile,Below 530000,0.23762376,0.15511551,0.0,0.08250825
"5-49 Units (Own), 3 BR",Second Tercile,530000 to 1047000,0.22957198,0.22957198,0.0,0.0
"5-49 Units (Own), 3 BR",Third Tercile ,Above 1047000,0.25512528,0.06378132,0.13439636,0.05694761
"5-49 Units (Rent), 0-1 BR",All Values,,0.07111955,0.04236048,0.01033334,0.01842572
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 117000,0.04041089,0.01986627,0.00232581,0.01821882
