Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"2-4 Units (Own/Rent), 3 BR",Second Tercile,187000 to 340000,0.85981143,0.3897859,0.20722844,0.26279709,50910.0,0.04399334,0.78744239,0.93218047,0.0841685
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 340000,0.42553736,0.21189276,0.08546571,0.12817888,50804.0,0.02523557,0.38402484,0.46704988,0.09755317
"5-49 Units (Own), 0-1 BR",All Values,,0.05723856,0.03083205,0.0128854,0.01352111,40899.0,0.00971843,0.04125174,0.07322538,0.27930155
"5-49 Units (Own), 0-1 BR",First Tercile,Below 324000,0.06881384,0.04376351,0.0131216,0.01192873,13413.0,0.02115639,0.03401157,0.1036161,0.50574516
"5-49 Units (Own), 0-1 BR",Second Tercile,324000 to 553000,0.03960027,0.02125438,0.00976956,0.00857633,13409.0,0.01165447,0.02042867,0.05877187,0.48412805
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 553000,0.06301058,0.02763373,0.01562833,0.01974853,14077.0,0.01531892,0.03781095,0.08821022,0.39992695
"5-49 Units (Own), 2 BR",All Values,,0.15021701,0.07564143,0.03276857,0.041807,117277.0,0.0097002,0.13426018,0.16617384,0.1062252
"5-49 Units (Own), 2 BR",First Tercile,Below 413000,0.18977567,0.08268984,0.0444206,0.06266524,38203.0,0.01817078,0.15988474,0.21966661,0.15750667
"5-49 Units (Own), 2 BR",Second Tercile,413000 to 663000,0.12486417,0.06538163,0.02905563,0.03042691,38650.0,0.01400527,0.10182549,0.14790284,0.18450987
"5-49 Units (Own), 2 BR",Third Tercile ,Above 663000,0.13707204,0.07878983,0.02530675,0.03297546,40424.0,0.0138019,0.11436791,0.15977616,0.16563645
"5-49 Units (Own), 3 BR",All Values,,0.34403629,0.14457831,0.0910537,0.10840428,33947.0,0.02778897,0.29832344,0.38974915,0.13287218
"5-49 Units (Own), 3 BR",First Tercile,Below 490000,0.46098056,0.17609516,0.13325597,0.15162944,10341.0,0.06434593,0.3551315,0.56682962,0.22961718
"5-49 Units (Own), 3 BR",Second Tercile,490000 to 809000,0.26627269,0.12596032,0.05631068,0.08400169,11845.0,0.03912377,0.20191408,0.33063129,0.24170186
"5-49 Units (Own), 3 BR",Third Tercile ,Above 809000,0.31953065,0.13561772,0.08893802,0.09497492,11761.0,0.04261421,0.24943028,0.38963103,0.21938545
"5-49 Units (Rent), 0-1 BR",All Values,,0.19537297,0.10051843,0.04419407,0.05066047,950761.0,0.00331386,0.18992168,0.20082426,0.02790198
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 129000,0.22244083,0.11419089,0.05146903,0.05678091,311566.0,0.00639378,0.21192306,0.23295861,0.04728347
"5-49 Units (Rent), 0-1 BR",Second Tercile,129000 to 188000,0.26150817,0.13097445,0.06044854,0.07008518,319925.0,0.007526,0.2491279,0.27388843,0.04734178
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 188000,0.10268738,0.05665737,0.02080684,0.02522317,319270.0,0.00448523,0.09530918,0.11006558,0.07185112
"5-49 Units (Rent), 2 BR",All Values,,0.57870699,0.28395616,0.13560771,0.15914311,783628.0,0.00826104,0.56511758,0.5922964,0.02348236
"5-49 Units (Rent), 2 BR",First Tercile,Below 166000,0.65479668,0.32556741,0.1556171,0.17361216,257793.0,0.01502373,0.63008265,0.67951071,0.03774306
"5-49 Units (Rent), 2 BR",Second Tercile,166000 to 229000,0.68957382,0.32989891,0.16505444,0.19462047,261956.0,0.01789322,0.66013948,0.71900816,0.04268483
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 229000,0.3943133,0.19769667,0.08682767,0.10978896,263879.0,0.01042706,0.37716078,0.41146582,0.04349973
"5-49 Units (Rent), 3 BR",All Values,,0.98466606,0.4123528,0.24106893,0.33124434,121430.0,0.03340228,0.92971931,1.0396128,0.05580242
"5-49 Units (Rent), 3 BR",First Tercile,Below 161000,1.2157126,0.51942908,0.30907189,0.38721168,40146.0,0.06156338,1.1144409,1.3169844,0.08330238
"5-49 Units (Rent), 3 BR",Second Tercile,161000 to 248000,1.0103516,0.41682931,0.25211849,0.34140376,40477.0,0.05056653,0.92716962,1.0935335,0.0823297
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 248000,0.73188424,0.30257064,0.16320729,0.26610631,40807.0,0.05230354,0.6458449,0.81792357,0.11755866
"50+ Units (Own), 0-1 BR",All Values,,0.03841935,0.01570257,0.01394181,0.00877497,34644.0,0.00902893,0.02356676,0.05327195,0.38659148
