Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 182000,0.41147082,0.18165468,0.08353317,0.14628297,5004.0,0.0720197,0.29299842,0.52994323,0.28792419
"5-49 Units (Own), 0-1 BR",All Values,,0.00502513,0.00502513,0.0,0.0,4577.0,0.00515755,-0.00345904,0.01350929,1.6883484
"5-49 Units (Own), 0-1 BR",First Tercile,Below 97000,0.01655868,0.01655868,0.0,0.0,1389.0,0.01718297,-0.01170731,0.04482466,1.7070199
"5-49 Units (Own), 0-1 BR",Second Tercile,97000 to 160000,0.0,0.0,0.0,0.0,1484.0,.,.,.,.
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 160000,0.0,0.0,0.0,0.0,1704.0,.,.,.,.
"5-49 Units (Own), 2 BR",All Values,,0.0534076,0.02529489,0.00471822,0.0233945,15260.0,0.01602169,0.02705191,0.07976329,0.49348195
"5-49 Units (Own), 2 BR",First Tercile,Below 159000,0.06890894,0.00902379,0.0,0.05988515,4876.0,0.03466406,0.01188657,0.12593131,0.82750324
"5-49 Units (Own), 2 BR",Second Tercile,159000 to 254000,0.05063539,0.03245357,0.00899316,0.00918866,5115.0,0.02184126,0.01470651,0.08656427,0.70956068
"5-49 Units (Own), 2 BR",Third Tercile ,Above 254000,0.04175365,0.03340292,0.00493452,0.00341621,5269.0,0.02282685,0.00420349,0.07930382,0.89932648
"5-49 Units (Own), 3 BR",All Values,,0.23835013,0.10264484,0.07588161,0.05982368,3176.0,0.07871887,0.10885758,0.36784267,0.5432871
"5-49 Units (Own), 3 BR",First Tercile,Below 186000,0.33203505,0.1489776,0.04576436,0.13729309,1027.0,0.17226657,0.04865654,0.61541356,0.85345962
"5-49 Units (Own), 3 BR",Second Tercile,186000 to 314000,0.15466926,0.10116732,0.00583658,0.04766537,1028.0,0.07972422,0.02352291,0.28581561,0.84791474
"5-49 Units (Own), 3 BR",Third Tercile ,Above 314000,0.22925959,0.06155219,0.1677074,0.0,1121.0,0.14662305,-0.01193533,0.47045451,1.0520603
"5-49 Units (Rent), 0-1 BR",All Values,,0.06763181,0.04393745,0.0102045,0.01348986,120535.0,0.00561464,0.05839572,0.07686789,0.13656422
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 89000,0.07558566,0.04263223,0.01359582,0.01935761,39571.0,0.01192195,0.05597404,0.09519727,0.25946212
"5-49 Units (Rent), 0-1 BR",Second Tercile,89000 to 120000,0.08839421,0.06466472,0.01329648,0.01043301,40161.0,0.01154421,0.06940399,0.10738444,0.2148356
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 120000,0.03948239,0.0248021,0.00387226,0.01080803,40803.0,0.00812405,0.02611833,0.05284645,0.3384815
"5-49 Units (Rent), 2 BR",All Values,,0.39851762,0.20551537,0.09575905,0.09724321,112522.0,0.01826155,0.36847738,0.42855787,0.07537997
"5-49 Units (Rent), 2 BR",First Tercile,Below 116000,0.50454177,0.25939443,0.12965666,0.11549067,36990.0,0.0366177,0.44430565,0.56477789,0.11938778
"5-49 Units (Rent), 2 BR",Second Tercile,116000 to 152000,0.42437429,0.20407733,0.10789356,0.11240341,37917.0,0.03223518,0.37134742,0.47740116,0.12495307
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 152000,0.26819088,0.15398112,0.05019274,0.06401701,37615.0,0.02248658,0.23120046,0.3051813,0.13792571
"5-49 Units (Rent), 3 BR",All Values,,1.034672,0.48008738,0.22248362,0.33210105,17853.0,0.09684355,0.8753644,1.1939797,0.15396922
"5-49 Units (Rent), 3 BR",First Tercile,Below 127000,1.0660198,0.51758794,0.26009357,0.28833824,5771.0,0.16400046,0.79623899,1.3358005,0.25307295
"5-49 Units (Rent), 3 BR",Second Tercile,127000 to 184000,1.362996,0.57258203,0.2740079,0.51640612,5821.0,0.20310198,1.0288933,1.6970988,0.24512379
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 184000,0.70052707,0.35952723,0.13991375,0.20108609,6261.0,0.12939366,0.48767451,0.91337964,0.30384631
"50+ Units (Own), 0-1 BR",All Values,,0.00801953,0.00453278,0.00348675,0.0,2868.0,0.00575961,-0.00145503,0.01749408,1.1814358
"50+ Units (Own), 0-1 BR",First Tercile,Below 133000,0.0116144,0.0,0.0116144,0.0,861.0,0.01303843,-0.00983382,0.03306262,1.8466918
"50+ Units (Own), 0-1 BR",Second Tercile,133000 to 209000,0.0,0.0,0.0,0.0,932.0,.,.,.,.
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 209000,0.01209302,0.01209302,0.0,0.0,1075.0,0.01175643,-0.0072463,0.03143234,1.5992129
"50+ Units (Own), 2 BR",All Values,,0.06864042,0.02861396,0.01802845,0.02199802,6046.0,0.02296058,0.03087028,0.10641057,0.55026098
"50+ Units (Own), 2 BR",First Tercile,Below 190000,0.03954496,0.02708559,0.0,0.01245937,1846.0,0.0220473,0.00327716,0.07581277,0.91712832
"50+ Units (Own), 2 BR",Second Tercile,190000 to 283000,0.15075107,0.0332618,0.05847639,0.05901288,1864.0,0.06742916,0.03983011,0.26167204,0.73578889
"50+ Units (Own), 2 BR",Third Tercile ,Above 283000,0.02611301,0.02611301,0.0,0.0,2336.0,0.01980505,-0.00646629,0.05869231,1.2476269
"50+ Units (Own), 3 BR",All Values,,0.06284916,0.0,0.04120112,0.02164804,1432.0,0.05055711,-0.02031728,0.1460156,1.3232705
"50+ Units (Own), 3 BR",First Tercile,Below 325000,0.19354839,0.0,0.11021505,0.08333333,372.0,0.19338286,-0.12456642,0.5116632,1.6435932
"50+ Units (Own), 3 BR",Second Tercile,325000 to 707000,0.0,0.0,0.0,0.0,527.0,.,.,.,.
"50+ Units (Own), 3 BR",Third Tercile ,Above 707000,0.03377111,0.0,0.03377111,0.0,533.0,0.0367256,-0.02664251,0.09418472,1.7889144
"50+ Units (Rent), 0-1 BR",All Values,,0.03956456,0.01859122,0.00827755,0.01269579,75143.0,0.00570707,0.03017643,0.0489527,0.23728645
"50+ Units (Rent), 0-1 BR",First Tercile,Below 99000,0.04447796,0.01822333,0.00864283,0.01761181,24529.0,0.00999577,0.02803492,0.06092101,0.36968976
"50+ Units (Rent), 0-1 BR",Second Tercile,99000 to 142000,0.04932682,0.02402796,0.01310616,0.0121927,25179.0,0.01034571,0.03230812,0.06634552,0.34501911
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 142000,0.02516218,0.01356399,0.00314527,0.00845292,25435.0,0.00995789,0.00878144,0.04154291,0.65100625
"50+ Units (Rent), 2 BR",All Values,,0.31693926,0.16556471,0.06660094,0.08477361,51726.0,0.02421559,0.27710461,0.3567739,0.12568543
"50+ Units (Rent), 2 BR",First Tercile,Below 128000,0.40561103,0.19977413,0.08410604,0.12173086,16824.0,0.04390276,0.33339099,0.47783108,0.17805247
"50+ Units (Rent), 2 BR",Second Tercile,128000 to 170000,0.36237193,0.18808311,0.08173545,0.09255337,17471.0,0.04226654,0.29284348,0.43190039,0.19187042
"50+ Units (Rent), 2 BR",Third Tercile ,Above 170000,0.18581837,0.10997648,0.03453617,0.04130572,17431.0,0.02839236,0.13911294,0.2325238,0.25134991
"50+ Units (Rent), 3 BR",All Values,,0.74411914,0.30512777,0.15738704,0.28160433,5909.0,0.11390462,0.55674603,0.93149225,0.25180525
"50+ Units (Rent), 3 BR",First Tercile,Below 138000,0.93835616,0.34984194,0.25763962,0.3308746,1898.0,0.23793629,0.54695096,1.3297614,0.41711795
"50+ Units (Rent), 3 BR",Second Tercile,138000 to 196000,0.89703666,0.33952788,0.15770969,0.3997991,1991.0,0.24592109,0.49249647,1.3015769,0.45097398
"50+ Units (Rent), 3 BR",Third Tercile ,Above 196000,0.41089109,0.22920792,0.06287129,0.11881188,2020.0,0.10695654,0.23494757,0.5868346,0.42819988
All Housing Types (Own) 0-1 BR,All Values,,0.19063868,0.07036086,0.05541295,0.06486486,33115.0,0.01875546,0.15978595,0.22149142,0.16183879
All Housing Types (Own) 0-1 BR,First Tercile,Below 94000,0.20111008,0.09010176,0.04523589,0.06577243,10810.0,0.02324204,0.16287692,0.23934325,0.19011062
