Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"5-49 Units (Own), 2 BR",All Values,,0.1439245,0.0747149,0.01258356,0.05662603,2543.0,0.05633176,0.05125875,0.23659025,0.64384974
"5-49 Units (Own), 2 BR",First Tercile,Below 129000,0.05128205,0.05128205,0.0,0.0,702.0,0.03999819,-0.01451497,0.11707907,1.2830419
"5-49 Units (Own), 2 BR",Second Tercile,129000 to 195000,0.20488941,0.0,0.03725262,0.16763679,859.0,0.12239934,0.00354249,0.40623632,0.98271023
"5-49 Units (Own), 2 BR",Third Tercile ,Above 195000,0.15682281,0.15682281,0.0,0.0,982.0,0.10955039,-0.02338758,0.33703321,1.1491338
"5-49 Units (Own), 3 BR",All Values,,0.10184372,0.10184372,0.0,0.0,1139.0,0.07911922,-0.02830739,0.23199484,1.2779493
"5-49 Units (Own), 3 BR",First Tercile,Below 250000,0.33850932,0.33850932,0.0,0.0,322.0,0.29597297,-0.14836621,0.82538485,1.4382929
"5-49 Units (Own), 3 BR",Second Tercile,250000 to 360000,0.01949861,0.01949861,0.0,0.0,359.0,0.02035582,-0.01398672,0.05298393,1.7173189
"5-49 Units (Own), 3 BR",Third Tercile ,Above 360000,0.0,0.0,0.0,0.0,458.0,.,.,.,.
"5-49 Units (Rent), 0-1 BR",All Values,,0.07137639,0.03996201,0.01621859,0.01519579,13688.0,0.02602278,0.02856891,0.11418386,0.59974283
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 99000,0.02446075,0.01890149,0.00355793,0.00200133,4497.0,0.01470031,0.00027874,0.04864276,0.9886044
"5-49 Units (Rent), 0-1 BR",Second Tercile,99000 to 125000,0.14596756,0.08087092,0.02310598,0.04199067,4501.0,0.07402617,0.02419452,0.26774061,0.83424731
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 125000,0.04477612,0.02089552,0.0217484,0.0021322,4690.0,0.02763626,-0.00068554,0.09023778,1.0153103
"5-49 Units (Rent), 2 BR",All Values,,0.3248904,0.21207988,0.05966878,0.05314174,20530.0,0.04027775,0.25863351,0.3911473,0.20393615
"5-49 Units (Rent), 2 BR",First Tercile,Below 119000,0.43094917,0.25910931,0.08322087,0.08861898,6669.0,0.08132486,0.29716977,0.56472856,0.31042964
"5-49 Units (Rent), 2 BR",Second Tercile,119000 to 148000,0.32756024,0.22771084,0.04051205,0.05933735,6640.0,0.07165654,0.20968523,0.44543526,0.35985752
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 148000,0.22448414,0.15427226,0.05553247,0.01467941,7221.0,0.05123404,0.14020415,0.30876414,0.37543852
"5-49 Units (Rent), 3 BR",All Values,,0.93106765,0.37159346,0.22763706,0.33183713,3119.0,0.24304665,0.53125591,1.3308794,0.42941213
