Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,57000 to 77000,1.3474304,0.01498929,0.04282655,0.49143469,0.21440043,0.2232334,0.20556745,0.13302998,0.02194861,3736.0,0.19266024,1.0305043,1.6643565,0.23520776
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 77000,1.4907511,0.06446188,0.11014574,0.60454036,0.17881166,0.14069507,0.20823991,0.12528027,0.05857623,3568.0,0.2307608,1.1111496,1.8703526,0.25463776
"2-4 Units  (Own/Rent), 2 BR",All Values,,1.9080681,0.15763302,0.22923918,0.74073844,0.2247638,0.21581303,0.1701268,0.11990303,0.04985082,16088.0,0.14979206,1.6616602,2.1544761,0.12914001
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 77000,1.7578292,0.16222525,0.19937755,0.54930947,0.1894573,0.23108345,0.21007586,0.15249951,0.06380082,5141.0,0.20747295,1.4165362,2.0991222,0.19415595
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,77000 to 98000,1.8928112,0.14984372,0.24544953,0.77863578,0.23441809,0.21143593,0.15774959,0.09303181,0.02224674,5439.0,0.27037309,1.4480474,2.3375749,0.23497523
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 98000,2.0633624,0.16103849,0.24110385,0.88198983,0.24818446,0.20588235,0.14506173,0.11601307,0.0640886,5508.0,0.23391844,1.6785665,2.4481582,0.1864897
"2-4 Units (Own/Rent), 3 BR",All Values,,2.7866396,0.38404877,0.53898908,0.81254763,0.36271273,0.26847854,0.18364237,0.18516637,0.0510541,3937.0,0.35610114,2.2008532,3.372426,0.21021247
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 84000,2.9983974,0.62339744,0.58733974,0.85016026,0.23397436,0.19711538,0.25560897,0.22676282,0.02403846,1248.0,0.66693912,1.9012826,4.0955123,0.36590041
"2-4 Units (Own/Rent), 3 BR",Second Tercile,84000 to 111000,2.5532234,0.2113943,0.57271364,0.82083958,0.23088456,0.34032984,0.19490255,0.12968516,0.05247376,1334.0,0.51932897,1.6989272,3.4075195,0.33459515
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 111000,2.8214022,0.33357934,0.46125461,0.7697417,0.61107011,0.26346863,0.10627306,0.20147601,0.07453875,1355.0,0.68733971,1.6907284,3.952076,0.4007489
"5-49 Units (Own), 0-1 BR",All Values,,1.237037,0.0,0.0,0.14444444,0.25925926,0.21481481,0.12592593,0.34444444,0.14814815,270.0,0.54170419,0.34593364,2.1281404,0.72035304
"5-49 Units (Own), 0-1 BR",First Tercile,Below 55000,1.1904762,0.0,0.0,0.0,0.17460317,0.14285714,0.42857143,0.0952381,0.34920635,63.0,0.84453165,-0.19877838,2.5797308,1.1669738
"5-49 Units (Own), 0-1 BR",Second Tercile,55000 to 155000,1.0,0.0,0.0,0.59183673,0.0,0.0,0.0,0.40816327,0.0,49.0,1.0845744,-0.78412482,2.7841248,1.7841248
