Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12)
"5-49 Units (Rent), 2 BR",All Values,,0.24379303,0.13021593,0.05395133,0.05962577
"5-49 Units (Rent), 2 BR",First Tercile,Below 88000,0.24506519,0.13268478,0.05379513,0.05858529
"5-49 Units (Rent), 2 BR",Second Tercile,88000 to 117000,0.28640137,0.1510871,0.06290684,0.07240743
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 117000,0.20004207,0.10698182,0.04516952,0.04789073
"5-49 Units (Rent), 3 BR",All Values,,0.78617482,0.37353345,0.18109432,0.23154705
"5-49 Units (Rent), 3 BR",First Tercile,Below 87000,0.92109536,0.45730057,0.18822383,0.27557095
"5-49 Units (Rent), 3 BR",Second Tercile,87000 to 123000,0.74124473,0.34483122,0.21118143,0.18523207
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 123000,0.70126242,0.32160596,0.14476407,0.23489238
"50+ Units (Own), 0-1 BR",All Values,,0.00789733,0.00789733,0.0,0.0
"50+ Units (Own), 0-1 BR",First Tercile,Below 86000,0.0,0.0,0.0,0.0
"50+ Units (Own), 0-1 BR",Second Tercile,86000 to 147000,0.0,0.0,0.0,0.0
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 147000,0.02216066,0.02216066,0.0,0.0
"50+ Units (Own), 2 BR",All Values,,0.03010709,0.02242877,0.00262679,0.00505153
"50+ Units (Own), 2 BR",First Tercile,Below 89000,0.07349081,0.06496063,0.00853018,0.0
"50+ Units (Own), 2 BR",Second Tercile,89000 to 209000,0.02220888,0.00720288,0.0,0.015006
"50+ Units (Own), 2 BR",Third Tercile ,Above 209000,0.0,0.0,0.0,0.0
"50+ Units (Own), 3 BR",All Values,,0.03384279,0.01746725,0.0,0.01637555
"50+ Units (Own), 3 BR",First Tercile,Below 126000,0.0,0.0,0.0,0.0
"50+ Units (Own), 3 BR",Second Tercile,126000 to 210000,0.0,0.0,0.0,0.0
"50+ Units (Own), 3 BR",Third Tercile ,Above 210000,0.07928389,0.04092072,0.0,0.03836317
"50+ Units (Rent), 0-1 BR",All Values,,0.00538772,0.00285879,0.00058642,0.00194251
"50+ Units (Rent), 0-1 BR",First Tercile,Below 47000,0.00225231,0.00144593,0.0,0.00080638
"50+ Units (Rent), 0-1 BR",Second Tercile,47000 to 94000,0.01129448,0.00578431,0.00049345,0.00501672
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 94000,0.00258884,0.0013353,0.00125354,0.0
"50+ Units (Rent), 2 BR",All Values,,0.13237458,0.07435191,0.02952939,0.02849328
"50+ Units (Rent), 2 BR",First Tercile,Below 97000,0.16289593,0.10051713,0.03031674,0.03206206
"50+ Units (Rent), 2 BR",Second Tercile,97000 to 135000,0.16178842,0.09115714,0.02833933,0.04229195
"50+ Units (Rent), 2 BR",Third Tercile ,Above 135000,0.07556569,0.03379149,0.02995018,0.01182402
"50+ Units (Rent), 3 BR",All Values,,0.40547153,0.23398577,0.1127669,0.05871886
"50+ Units (Rent), 3 BR",First Tercile,Below 112000,0.35729691,0.19410496,0.12221423,0.04097771
"50+ Units (Rent), 3 BR",Second Tercile,112000 to 168000,0.40611028,0.27645306,0.09090909,0.03874814
"50+ Units (Rent), 3 BR",Third Tercile ,Above 168000,0.4429949,0.23312535,0.12195122,0.08791832
All Housing Types (Own) 0-1 BR,All Values,,0.06393696,0.03299674,0.01388728,0.01705294
All Housing Types (Own) 0-1 BR,First Tercile,Below 70000,0.05862807,0.01964114,0.01203574,0.02695119
All Housing Types (Own) 0-1 BR,Second Tercile,70000 to 140000,0.04825756,0.02912215,0.0106851,0.00845031
All Housing Types (Own) 0-1 BR,Third Tercile ,Above 140000,0.08316575,0.04832955,0.01848849,0.01634771
All Housing Types (Own) 2 BR,All Values,,0.09229439,0.03956633,0.02010223,0.03262584
All Housing Types (Own) 2 BR,First Tercile,Below 87000,0.10526067,0.04970849,0.0229232,0.03262899
All Housing Types (Own) 2 BR,Second Tercile,87000 to 152000,0.0976726,0.03721192,0.02406939,0.0363913
All Housing Types (Own) 2 BR,Third Tercile ,Above 152000,0.07513615,0.03257033,0.01363021,0.02893561
All Housing Types (Own) 3 BR,All Values,,0.27861176,0.11617353,0.06900874,0.09342949
All Housing Types (Own) 3 BR,First Tercile,Below 124000,0.2722311,0.10942719,0.06946466,0.09333925
All Housing Types (Own) 3 BR,Second Tercile,124000 to 195000,0.27204268,0.11758782,0.06405958,0.09039527
All Housing Types (Own) 3 BR,Third Tercile ,Above 195000,0.29138343,0.12113136,0.07363521,0.09661686
All Housing Types (Own) 4-5 BR,All Values,,0.54915427,0.21423392,0.13624988,0.19867048
All Housing Types (Own) 4-5 BR,First Tercile,Below 188000,0.50572978,0.19017685,0.12354739,0.19200554
All Housing Types (Own) 4-5 BR,Second Tercile,188000 to 314000,0.53437209,0.20766797,0.13004433,0.19665979
All Housing Types (Own) 4-5 BR,Third Tercile ,Above 314000,0.60505773,0.2436074,0.15445353,0.2069968
All Housing Types (Rent) 0-1 BR,All Values,,0.02478977,0.01266122,0.00549253,0.00663602
All Housing Types (Rent) 0-1 BR,First Tercile,Below 64000,0.01565653,0.00763591,0.0030413,0.00497931
