Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"2-4 Units  (Own/Rent), 2 BR",    Above Median,175000,1.7451235,0.0,0.10923277,0.28218466,0.17295189,0.13263979,0.2756827,0.47724317,0.29518856,769.0,0.43637025,1.0272945,2.4629526,0.41133424
"2-4 Units (Own/Rent), 3 BR","2-4 Units (Own/Rent), 3 BR",,2.5838041,0.12900188,0.57815443,0.61016949,0.44067797,0.2259887,0.26836158,0.2354049,0.0960452,,,,,
"2-4 Units (Own/Rent), 3 BR",    Below Median,234000,2.6721088,0.11836735,0.72517007,0.5537415,0.54421769,0.23537415,0.21088435,0.22176871,0.06258503,735.0,1.2021534,0.69456643,4.6496513,0.74006806
"2-4 Units (Own/Rent), 3 BR",    Above Median,234000,2.3853211,0.1529052,0.24770642,0.73700306,0.20795107,0.20489297,0.39755352,0.26605505,0.17125382,327.0,1.0486271,0.6603296,4.1103126,0.72316951
"5-49 Units (Own), 0-1 BR","5-49 Units (Own), 0-1 BR",,1.2982456,0.0,0.0,0.79532164,0.0497076,0.25438596,0.01461988,0.01754386,0.16666667,,,,,
"5-49 Units (Own), 0-1 BR",    Below Median,140000,1.4553571,0.0,0.0,1.1160714,0.07589286,0.13839286,0.0,0.02678571,0.09821429,224.0,1.0430572,-0.26047189,3.1711862,1.1789745
"5-49 Units (Own), 0-1 BR",    Above Median,140000,1.0,0.0,0.0,0.18644068,0.0,0.47457627,0.04237288,0.0,0.29661017,118.0,0.75084937,-0.23514721,2.2351472,1.2351472
"5-49 Units (Own), 2 BR","5-49 Units (Own), 2 BR",,1.5456476,0.0,0.04812456,0.12809625,0.06369427,0.1656051,0.19037509,0.37579618,0.57395612,,,,,
"5-49 Units (Own), 2 BR",    Below Median,200000,1.5238663,0.0,0.08114558,0.09427208,0.09069212,0.17064439,0.23389021,0.28281623,0.57040573,838.0,0.49478942,0.70993776,2.3377949,0.53412072
"5-49 Units (Own), 2 BR",    Above Median,200000,1.5773913,0.0,0.0,0.1773913,0.02434783,0.15826087,0.12695652,0.51130435,0.57913043,575.0,0.53826962,0.69193779,2.4628448,0.56134043
"5-49 Units (Own), 3 BR","5-49 Units (Own), 3 BR",,2.3052632,0.0,0.0,0.74736842,0.38947368,0.0,0.6,0.56842105,0.0,,,,,
"5-49 Units (Own), 3 BR",    Below Median,295000,2.3052632,0.0,0.0,0.74736842,0.38947368,0.0,0.6,0.56842105,0.0,95.0,1.5210514,-0.19686632,4.8073926,1.0853986
"5-49 Units (Rent), 0-1 BR","5-49 Units (Rent), 0-1 BR",,1.3355633,0.00990099,0.0189992,0.39710998,0.12710731,0.08884132,0.16564089,0.15707787,0.37088574,,,,,
"5-49 Units (Rent), 0-1 BR",    Below Median,102000,1.2621891,0.00945274,0.0,0.07860697,0.07661692,0.13383085,0.2,0.23880597,0.52487562,2010.0,0.26047573,0.83370648,1.6906716,0.33947575
"5-49 Units (Rent), 0-1 BR",    Above Median,102000,1.4209612,0.0104227,0.04111175,0.76780544,0.18587145,0.03647944,0.12565142,0.06195715,0.19166184,1727.0,0.29983967,0.92772495,1.9141975,0.34711451
"5-49 Units (Rent), 2 BR","5-49 Units (Rent), 2 BR",,2.2692758,0.15772205,0.32270916,0.82751348,0.4464495,0.17787673,0.14225451,0.12795875,0.06679166,,,,,
"5-49 Units (Rent), 2 BR",    Below Median,165000,2.3458445,0.16666667,0.45576408,0.82841823,0.51831993,0.14477212,0.09472744,0.11215371,0.02502234,2238.0,0.40161501,1.6851878,3.0065012,0.28162851
"5-49 Units (Rent), 2 BR",    Above Median,165000,2.1848201,0.14785609,0.17594874,0.82651552,0.36717595,0.21439133,0.19467718,0.14539182,0.11286348,2029.0,0.38818725,1.5462521,2.8233881,0.29227488
"5-49 Units (Rent), 3 BR","5-49 Units (Rent), 3 BR",,2.9138277,0.12024048,0.6252505,1.4589178,0.2745491,0.43486974,0.0,0.0,0.0,,,,,
"5-49 Units (Rent), 3 BR",    Below Median,194000,3.0992556,0.12903226,0.68486352,1.6054591,0.2382134,0.44168734,0.0,0.0,0.0,403.0,1.3488913,0.88032941,5.3181818,0.71595456
"5-49 Units (Rent), 3 BR",    Above Median,194000,2.1354167,0.08333333,0.375,0.84375,0.42708333,0.40625,0.0,0.0,0.0,96.0,1.8645951,-0.93184229,5.2026756,1.4363749
"50+ Units (Own), 0-1 BR","50+ Units (Own), 0-1 BR",,1.2873563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2873563,,,,,
"50+ Units (Own), 0-1 BR",    Below Median,340000,1.3692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3692308,65.0,1.2390858,-0.66906543,3.407527,1.4886433
"50+ Units (Own), 0-1 BR",    Above Median,340000,1.0454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0454545,22.0,1.4949493,-1.413737,3.5046461,2.3522702
"50+ Units (Own), 2 BR","50+ Units (Own), 2 BR",,1.3290043,0.0,0.0,0.0,0.0,0.13419913,0.06493506,0.47619048,0.65367965,,,,,
"50+ Units (Own), 2 BR",    Below Median,275000,1.3428571,0.0,0.0,0.0,0.0,0.17714286,0.0,0.4,0.76571429,175.0,0.67921731,0.22554466,2.4601696,0.83204121
"50+ Units (Own), 2 BR",    Above Median,275000,1.2857143,0.0,0.0,0.0,0.0,0.0,0.26785714,0.71428571,0.30357143,56.0,1.1094561,-0.53934092,3.1107695,1.4194874
"50+ Units (Own), 3 BR","50+ Units (Own), 3 BR",,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
"50+ Units (Own), 3 BR",    Below Median,375000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,1.5249624,-1.5085631,3.5085631,2.5085631
"50+ Units (Rent), 0-1 BR","50+ Units (Rent), 0-1 BR",,1.2333545,0.04438808,0.0412175,0.3208624,0.08053266,0.04755866,0.11414077,0.09511731,0.4895371,,,,,
"50+ Units (Rent), 0-1 BR",    Below Median,157000,1.111349,0.01391863,0.01070664,0.21092077,0.08029979,0.08029979,0.1627409,0.13490364,0.41755889,934.0,0.33310951,0.56338389,1.6593142,0.49306305
"50+ Units (Rent), 0-1 BR",    Above Median,157000,1.4105754,0.08864697,0.08553655,0.48055988,0.08087092,0.0,0.04354588,0.03732504,0.5940902,643.0,0.62176122,0.38777821,2.4333726,0.72509218
"50+ Units (Rent), 2 BR","50+ Units (Rent), 2 BR",,1.8108284,0.16960209,0.10176125,0.98238748,0.01565558,0.12981083,0.07175473,0.14611872,0.19373777,,,,,
"50+ Units (Rent), 2 BR",    Below Median,200000,2.1004619,0.30023095,0.18013857,1.0484988,0.02771363,0.08775982,0.09815242,0.12702079,0.23094688,866.0,0.71620925,0.92229767,3.2786261,0.56090721
"50+ Units (Rent), 2 BR",    Above Median,200000,1.4347826,0.0,0.0,0.89655172,0.0,0.1844078,0.03748126,0.17091454,0.14542729,667.0,0.56549217,0.50454799,2.3650172,0.64834534
"50+ Units (Rent), 3 BR","50+ Units (Rent), 3 BR",,1.0714286,0.0,0.0,0.0,0.0,0.0,1.0714286,0.0,0.0,,,,,
"50+ Units (Rent), 3 BR",    Below Median,299000,1.0714286,0.0,0.0,0.0,0.0,0.0,1.0714286,0.0,0.0,14.0,1.5806144,-1.5286821,3.6715392,2.42677
All Housing Types (Own) 0-1 BR,All Housing Types (Own) 0-1 BR,,1.6808511,0.00861196,0.0845998,0.29179331,0.08358663,0.23809524,0.34042553,0.29128673,0.34245187,,,,,
All Housing Types (Own) 0-1 BR,    Below Median,220000,1.6212724,0.00695825,0.04373757,0.47813121,0.13817097,0.32007952,0.18687873,0.22962227,0.21769384,1006.0,0.35838873,1.0317229,2.2108218,0.36363382
All Housing Types (Own) 0-1 BR,    Above Median,220000,1.7427686,0.01033058,0.12706612,0.0981405,0.0268595,0.15289256,0.5,0.3553719,0.47210744,968.0,0.4540219,0.99590256,2.4896346,0.42855146
All Housing Types (Own) 2 BR,All Housing Types (Own) 2 BR,,1.872405,0.04441463,0.09144189,0.19389917,0.12597091,0.17963564,0.36499082,0.53368168,0.33837029,,,,,
All Housing Types (Own) 2 BR,    Below Median,295000,1.8866604,0.06245794,0.11508951,0.2491587,0.18737381,0.16543276,0.33948041,0.42872527,0.33894198,7429.0,0.16358586,1.6175616,2.1557591,0.14263231
All Housing Types (Own) 2 BR,    Above Median,295000,1.8566761,0.02450616,0.06534977,0.13292737,0.0582207,0.1953067,0.39313827,0.6494876,0.33773949,6733.0,0.19308628,1.5390491,2.174303,0.17107289
All Housing Types (Own) 3 BR,All Housing Types (Own) 3 BR,,2.8344503,0.16958989,0.53256164,0.45634399,0.42142559,0.42290057,0.40055151,0.31817745,0.11289961,,,,,
All Housing Types (Own) 3 BR,    Below Median,350000,2.9163966,0.18131077,0.58042252,0.4906974,0.45318689,0.40115232,0.40799424,0.29246189,0.10917057,16662.0,0.17371934,2.6306283,3.2021649,0.09798678
All Housing Types (Own) 3 BR,    Above Median,350000,2.7404475,0.15614458,0.47765921,0.41693632,0.38499139,0.44784854,0.39201377,0.34767642,0.11717728,14525.0,0.18241584,2.4403734,3.0405216,0.1094982
All Housing Types (Own) 4-5 BR,All Housing Types (Own) 4-5 BR,,3.5106828,0.23566911,0.91598187,0.47935654,0.54788585,0.63618706,0.41152448,0.17585537,0.10822252,,,,,
All Housing Types (Own) 4-5 BR,    Below Median,480000,3.5704143,0.25792647,0.88912663,0.53053881,0.58111262,0.6105816,0.39924139,0.19393114,0.10795565,10282.0,0.30063808,3.0758647,4.064964,0.13851323
All Housing Types (Own) 4-5 BR,    Above Median,480000,3.4479943,0.21230989,0.94416658,0.4256405,0.51301419,0.66306012,0.42441564,0.15688476,0.1085026,9797.0,0.28067826,2.9862785,3.90971,0.1339085
All Housing Types (Rent) 0-1 BR,All Housing Types (Rent) 0-1 BR,,1.3224553,0.02672883,0.02812743,0.38539239,0.14358974,0.09479409,0.17435897,0.12494172,0.34452214,,,,,
All Housing Types (Rent) 0-1 BR,    Below Median,112000,1.2606224,0.0095751,0.01645721,0.20915619,0.07540395,0.16367445,0.19120287,0.18521843,0.40993417,3342.0,0.19123617,0.94603888,1.5752059,0.24954618
All Housing Types (Rent) 0-1 BR,    Above Median,112000,1.3892661,0.0452635,0.04073715,0.57581636,0.21726479,0.02036857,0.15615907,0.05981248,0.27384416,3093.0,0.23545243,1.0019468,1.7765853,0.27879414
All Housing Types (Rent) 2 BR,All Housing Types (Rent) 2 BR,,2.1526221,0.1509343,0.26859554,0.81880651,0.33875829,0.17890295,0.1350211,0.13321278,0.1283906,,,,,
All Housing Types (Rent) 2 BR,    Below Median,173000,2.1582785,0.16839135,0.40428034,0.69308561,0.38381938,0.18955786,0.11594544,0.11476952,0.08842897,4252.0,0.28020255,1.6973453,2.6192117,0.21356521
All Housing Types (Rent) 2 BR,    Above Median,173000,2.1466733,0.13257482,0.12589661,0.95102647,0.2913678,0.16769725,0.15508286,0.15260945,0.17041801,4043.0,0.2779023,1.689524,2.6038226,0.21295709
All Housing Types (Rent) 3 BR,All Housing Types (Rent) 3 BR,,3.0291835,0.24091897,0.64917727,1.0797889,0.4265756,0.33126358,0.12014902,0.12853151,0.05277864,,,,,
All Housing Types (Rent) 3 BR,    Below Median,204000,2.8624277,0.31849711,0.60346821,1.000578,0.4300578,0.20809249,0.07976879,0.17572254,0.04624277,1730.0,0.51320186,2.0182107,3.7066448,0.29493043
All Housing Types (Rent) 3 BR,    Above Median,204000,3.2226693,0.15090543,0.70221328,1.1716968,0.42253521,0.4741784,0.16700201,0.07377599,0.06036217,1491.0,0.77073778,1.9548057,4.490533,0.39342033
All Housing Types (Rent) 4-5 BR,All Housing Types (Rent) 4-5 BR,,3.7754934,0.00411184,0.82154605,1.9909539,0.28618421,0.50082237,0.16447368,0.00740132,0.0,,,,,
All Housing Types (Rent) 4-5 BR,    Below Median,152000,3.6042984,0.0,0.76485461,2.0202276,0.09481669,0.5840708,0.1403287,0.0,0.0,791.0,1.3078125,1.4529468,5.7556499,0.59688497
All Housing Types (Rent) 4-5 BR,    Above Median,152000,4.0941176,0.01176471,0.92705882,1.9364706,0.64235294,0.34588235,0.20941176,0.02117647,0.0,425.0,1.5247392,1.5859217,6.6023136,0.61263408
