Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"5-49 Units (Own), 2 BR",Second Tercile,111000 to 421000,0.0,0.0,0.0,0.0,14.0,.,.,.,.
"5-49 Units (Own), 2 BR",Third Tercile ,Above 421000,0.0,0.0,0.0,0.0,126.0,.,.,.,.
"5-49 Units (Own), 3 BR",All Values,,0.69565217,0.69565217,0.0,0.0,92.0,0.83282082,-0.67433808,2.0656424,1.969361
"5-49 Units (Own), 3 BR",Third Tercile ,Above 159000,0.69565217,0.69565217,0.0,0.0,92.0,0.83282082,-0.67433808,2.0656424,1.969361
"5-49 Units (Rent), 0-1 BR",All Values,,0.00357675,0.0,0.0,0.00357675,6710.0,0.00364564,-0.00242033,0.00957384,1.6766848
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 57000,0.0,0.0,0.0,0.0,2039.0,.,.,.,.
"5-49 Units (Rent), 0-1 BR",Second Tercile,57000 to 81000,0.0,0.0,0.0,0.0,2335.0,.,.,.,.
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 81000,0.01027397,0.0,0.0,0.01027397,2336.0,0.01055283,-0.00708543,0.02763338,1.689649
"5-49 Units (Rent), 2 BR",All Values,,0.20595238,0.10238095,0.04002976,0.06354167,6720.0,0.0479131,0.12713533,0.28476943,0.38269552
"5-49 Units (Rent), 2 BR",First Tercile,Below 80000,0.18237512,0.10226202,0.01178134,0.06833176,2122.0,0.06885878,0.06910242,0.29564782,0.62109734
"5-49 Units (Rent), 2 BR",Second Tercile,80000 to 102000,0.19626998,0.0839254,0.03197158,0.080373,2252.0,0.08729485,0.05266995,0.33987001,0.7316454
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 102000,0.23657289,0.1202046,0.07331628,0.043052,2346.0,0.08829101,0.09133418,0.3818116,0.61392795
"5-49 Units (Rent), 3 BR",All Values,,0.62832447,0.35638298,0.1462766,0.12566489,1504.0,0.20702818,0.28776312,0.96888582,0.5420151
"5-49 Units (Rent), 3 BR",First Tercile,Below 97000,1.1014151,0.50471698,0.30660377,0.29009434,424.0,0.54927573,0.19785651,2.0049737,0.82036154
"5-49 Units (Rent), 3 BR",Second Tercile,97000 to 116000,0.48627451,0.45686275,0.0,0.02941176,510.0,0.2882458,0.01211018,0.96043884,0.97509601
