Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
"5-49 Units (Rent), 2 BR",All Values,,0.43199593,0.22250629,0.09948731,0.11000234
"5-49 Units (Rent), 2 BR",First Tercile,Below 116000,0.54707069,0.28994705,0.12788938,0.12923426
"5-49 Units (Rent), 2 BR",Second Tercile,116000 to 147000,0.42240989,0.20148301,0.10438723,0.11653965
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 147000,0.33049749,0.1781721,0.06729055,0.08503484
"5-49 Units (Rent), 3 BR",All Values,,1.0396329,0.53528212,0.23766145,0.26668933
"5-49 Units (Rent), 3 BR",First Tercile,Below 134000,1.1302714,0.56033403,0.19248434,0.37745303
"5-49 Units (Rent), 3 BR",Second Tercile,134000 to 170000,1.211134,0.64371134,0.35072165,0.21670103
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 170000,0.78994083,0.40788955,0.17218935,0.20986193
"50+ Units (Own), 0-1 BR",All Values,,0.02308917,0.0,0.0,0.02308917
"50+ Units (Own), 0-1 BR",First Tercile,Below 136000,0.07571802,0.0,0.0,0.07571802
"50+ Units (Own), 0-1 BR",Second Tercile,136000 to 240000,0.0,0.0,0.0,0.0
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 240000,0.0,0.0,0.0,0.0
"50+ Units (Own), 2 BR",All Values,,0.03052326,0.00981105,0.0065407,0.01417151
"50+ Units (Own), 2 BR",First Tercile,Below 244000,0.09610984,0.03089245,0.02059497,0.04462243
"50+ Units (Own), 2 BR",Second Tercile,244000 to 366000,0.0,0.0,0.0,0.0
"50+ Units (Own), 2 BR",Third Tercile ,Above 366000,0.0,0.0,0.0,0.0
"50+ Units (Own), 3 BR",All Values,,0.12757974,0.06003752,0.01876173,0.04878049
"50+ Units (Own), 3 BR",First Tercile,Below 350000,0.23376623,0.06493506,0.0,0.16883117
"50+ Units (Own), 3 BR",Second Tercile,350000 to 700000,0.22222222,0.15277778,0.06944444,0.0
"50+ Units (Own), 3 BR",Third Tercile ,Above 700000,0.0,0.0,0.0,0.0
"50+ Units (Rent), 0-1 BR",All Values,,0.05832148,0.02921036,0.01240531,0.01670581
"50+ Units (Rent), 0-1 BR",First Tercile,Below 89000,0.04200487,0.03348214,0.00294237,0.00558036
"50+ Units (Rent), 0-1 BR",Second Tercile,89000 to 127000,0.08017378,0.02932464,0.01658768,0.03426145
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 127000,0.05241581,0.0249878,0.01737433,0.01005368
"50+ Units (Rent), 2 BR",All Values,,0.30557701,0.14989275,0.06138996,0.09429429
"50+ Units (Rent), 2 BR",First Tercile,Below 121000,0.31822387,0.12990617,0.07440201,0.11391569
