Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12)
"5-49 Units (Rent), 2 BR",First Tercile,Below 79000,0.29053846,0.18684615,0.05638462,0.04730769
"5-49 Units (Rent), 2 BR",Second Tercile,79000 to 110000,0.3152066,0.21247995,0.05919193,0.04353471
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 110000,0.22506128,0.11379336,0.0498403,0.06142762
"5-49 Units (Rent), 3 BR",All Values,,1.032575,0.48207489,0.28591662,0.26458352
"5-49 Units (Rent), 3 BR",First Tercile,Below 88000,1.0661479,0.58643691,0.25708727,0.22262368
"5-49 Units (Rent), 3 BR",Second Tercile,88000 to 126000,1.1814985,0.53313497,0.34622667,0.30213687
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 126000,0.86481759,0.34107946,0.25612194,0.26761619
"50+ Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0
"50+ Units (Own), 0-1 BR",Second Tercile,73000 to 221000,0.0,0.0,0.0,0.0
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 221000,0.0,0.0,0.0,0.0
"50+ Units (Own), 2 BR",All Values,,0.02040816,0.0,0.02040816,0.0
"50+ Units (Own), 2 BR",First Tercile,Below 314000,0.0,0.0,0.0,0.0
"50+ Units (Own), 2 BR",Second Tercile,314000 to 340000,0.0,0.0,0.0,0.0
"50+ Units (Own), 2 BR",Third Tercile ,Above 340000,0.02880658,0.0,0.02880658,0.0
"50+ Units (Own), 3 BR",All Values,,0.0,0.0,0.0,0.0
"50+ Units (Own), 3 BR",First Tercile,Below 325000,0.0,0.0,0.0,0.0
"50+ Units (Own), 3 BR",Second Tercile,325000 to 350000,0.0,0.0,0.0,0.0
"50+ Units (Own), 3 BR",Third Tercile ,Above 350000,0.0,0.0,0.0,0.0
"50+ Units (Rent), 0-1 BR",All Values,,0.0565608,0.03264583,0.00050614,0.02340883
"50+ Units (Rent), 0-1 BR",First Tercile,Below 61000,0.01607213,0.00901607,0.0,0.00705606
"50+ Units (Rent), 0-1 BR",Second Tercile,61000 to 102000,0.02849228,0.02690938,0.0015829,0.0
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 102000,0.11823009,0.05911504,0.0,0.05911504
"50+ Units (Rent), 2 BR",All Values,,0.1550519,0.09616607,0.03283203,0.0260538
"50+ Units (Rent), 2 BR",First Tercile,Below 81000,0.2637987,0.15827922,0.08766234,0.01785714
"50+ Units (Rent), 2 BR",Second Tercile,81000 to 120000,0.07827567,0.04027226,0.01418037,0.02382303
"50+ Units (Rent), 2 BR",Third Tercile ,Above 120000,0.15585168,0.10892236,0.01274623,0.03418308
"50+ Units (Rent), 3 BR",All Values,,1.0802733,0.54568745,0.1118702,0.42271563
"50+ Units (Rent), 3 BR",First Tercile,Below 91000,1.5023256,0.81395349,0.36744186,0.32093023
"50+ Units (Rent), 3 BR",Second Tercile,91000 to 119000,0.96718147,0.34749035,0.04633205,0.57335907
"50+ Units (Rent), 3 BR",Third Tercile ,Above 119000,1.0068493,0.64840183,0.06392694,0.29452055
All Housing Types (Own) 0-1 BR,All Values,,0.10813905,0.03757286,0.02362614,0.04694005
All Housing Types (Own) 0-1 BR,First Tercile,Below 54000,0.07918179,0.03167272,0.00890795,0.03860112
All Housing Types (Own) 0-1 BR,Second Tercile,54000 to 113000,0.05867347,0.02806122,0.02104592,0.00956633
All Housing Types (Own) 0-1 BR,Third Tercile ,Above 113000,0.17872711,0.05143854,0.03894217,0.08834641
All Housing Types (Own) 2 BR,All Values,,0.10192679,0.03976829,0.02682716,0.03533133
All Housing Types (Own) 2 BR,First Tercile,Below 74000,0.13249533,0.04344318,0.04255138,0.04650076
All Housing Types (Own) 2 BR,Second Tercile,74000 to 135000,0.08487145,0.03463309,0.02387646,0.0263619
All Housing Types (Own) 2 BR,Third Tercile ,Above 135000,0.08984438,0.04135248,0.01488047,0.03361142
All Housing Types (Own) 3 BR,All Values,,0.29801213,0.11624679,0.08081227,0.10095307
All Housing Types (Own) 3 BR,First Tercile,Below 105000,0.32557742,0.12084184,0.09467739,0.11005819
All Housing Types (Own) 3 BR,Second Tercile,105000 to 183000,0.29767435,0.11568165,0.08202787,0.09996483
All Housing Types (Own) 3 BR,Third Tercile ,Above 183000,0.27390052,0.11275402,0.06725053,0.09389597
All Housing Types (Own) 4-5 BR,All Values,,0.52918825,0.19906553,0.13978834,0.19033438
All Housing Types (Own) 4-5 BR,First Tercile,Below 162000,0.54041204,0.20330541,0.15053581,0.18657082
All Housing Types (Own) 4-5 BR,Second Tercile,162000 to 280000,0.5522229,0.21718916,0.13955703,0.19547671
All Housing Types (Own) 4-5 BR,Third Tercile ,Above 280000,0.49693731,0.17757218,0.13092997,0.18843516
All Housing Types (Rent) 0-1 BR,All Values,,0.08276513,0.04503654,0.01346201,0.02426658
All Housing Types (Rent) 0-1 BR,First Tercile,Below 57000,0.05681758,0.02830338,0.01517947,0.01333474
All Housing Types (Rent) 0-1 BR,Second Tercile,57000 to 88000,0.06961014,0.04596293,0.01224968,0.01139753
All Housing Types (Rent) 0-1 BR,Third Tercile ,Above 88000,0.12077742,0.06046583,0.01295696,0.04735462
All Housing Types (Rent) 2 BR,All Values,,0.29032353,0.1660901,0.05725686,0.06697657
All Housing Types (Rent) 2 BR,First Tercile,Below 75000,0.30973451,0.18939237,0.06176932,0.05857282
All Housing Types (Rent) 2 BR,Second Tercile,75000 to 103000,0.31439123,0.17390398,0.06561234,0.07487491
All Housing Types (Rent) 2 BR,Third Tercile ,Above 103000,0.24775364,0.13556661,0.04466545,0.06752159
All Housing Types (Rent) 3 BR,All Values,,0.80685853,0.38464254,0.19702444,0.22519155
All Housing Types (Rent) 3 BR,First Tercile,Below 90000,0.85706697,0.4368926,0.1951814,0.22499297
All Housing Types (Rent) 3 BR,Second Tercile,90000 to 122000,0.75897885,0.36972844,0.18154799,0.20770242
All Housing Types (Rent) 3 BR,Third Tercile ,Above 122000,0.80450036,0.34769573,0.21413779,0.24266683
All Housing Types (Rent) 4-5 BR,All Values,,1.086172,0.4695069,0.26855158,0.34811348
All Housing Types (Rent) 4-5 BR,First Tercile,Below 97000,1.0080233,0.45966448,0.25382932,0.29452954
All Housing Types (Rent) 4-5 BR,Second Tercile,97000 to 135000,1.039901,0.51783894,0.18377749,0.33828455
All Housing Types (Rent) 4-5 BR,Third Tercile ,Above 135000,1.208024,0.43175328,0.36607653,0.41019417
