Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 216000,0.34280262,0.14812414,0.09656513,0.09811334,27774.0,0.03551787,0.28437572,0.40122952,0.1704389
"5-49 Units (Own), 0-1 BR",All Values,,0.02692095,0.01659819,0.00568263,0.00464013,48921.0,0.00540651,0.01802725,0.03581466,0.33036371
"5-49 Units (Own), 0-1 BR",First Tercile,Below 79000,0.01381215,0.00774828,0.00053901,0.00552486,14842.0,0.00622463,0.00357263,0.02405168,0.74134139
"5-49 Units (Own), 0-1 BR",Second Tercile,79000 to 152000,0.03308353,0.02400536,0.0046914,0.00438677,16413.0,0.01005821,0.01653778,0.04962929,0.50012055
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 152000,0.03220876,0.01715159,0.01092494,0.00413223,17666.0,0.00935473,0.01682023,0.04759729,0.47777463
"5-49 Units (Own), 2 BR",All Values,,0.07046411,0.03159861,0.01477584,0.02408967,190040.0,0.00385048,0.06413007,0.07679815,0.0898903
"5-49 Units (Own), 2 BR",First Tercile,Below 131000,0.05750642,0.02237394,0.01306273,0.02206976,59176.0,0.00747593,0.04520851,0.06980433,0.21385281
"5-49 Units (Own), 2 BR",Second Tercile,131000 to 216000,0.08492747,0.04618169,0.01450686,0.02423892,65762.0,0.00893759,0.07022512,0.09962981,0.17311645
"5-49 Units (Own), 2 BR",Third Tercile ,Above 216000,0.06763233,0.02525268,0.01660471,0.02577494,65102.0,0.00702753,0.05607205,0.07919262,0.17092837
"5-49 Units (Own), 3 BR",All Values,,0.17349471,0.07781288,0.03748728,0.05819454,56019.0,0.01831438,0.14336756,0.20362185,0.1736488
"5-49 Units (Own), 3 BR",First Tercile,Below 209000,0.25721441,0.1253344,0.04143662,0.09044339,17569.0,0.03979596,0.19175006,0.32267877,0.25451277
"5-49 Units (Own), 3 BR",Second Tercile,209000 to 351000,0.1492506,0.06120952,0.04470181,0.04333927,19082.0,0.02000288,0.11634587,0.18215534,0.22046635
"5-49 Units (Own), 3 BR",Third Tercile ,Above 351000,0.12143742,0.05106361,0.02679678,0.04357703,19368.0,0.03046032,0.0713302,0.17154464,0.41261763
"5-49 Units (Rent), 0-1 BR",All Values,,0.08025755,0.04240211,0.01667302,0.02118242,348827.0,0.00422629,0.0733053,0.0872098,0.08662428
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 107000,0.06363993,0.03267314,0.01444304,0.01652375,114865.0,0.00669484,0.05262692,0.07465293,0.17305189
"5-49 Units (Rent), 0-1 BR",Second Tercile,107000 to 139000,0.08720965,0.04600435,0.01681797,0.02438733,117315.0,0.00635439,0.07675668,0.09766262,0.11986023
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 139000,0.08962939,0.04835958,0.01872316,0.02254666,116647.0,0.00722907,0.07773758,0.10152121,0.13267762
"5-49 Units (Rent), 2 BR",All Values,,0.39738162,0.20640372,0.08460569,0.10637221,419038.0,0.00925843,0.3821515,0.41261174,0.03832619
"5-49 Units (Rent), 2 BR",First Tercile,Below 132000,0.38083335,0.21329261,0.07309781,0.09444292,138814.0,0.01605901,0.35441627,0.40725042,0.06936651
"5-49 Units (Rent), 2 BR",Second Tercile,132000 to 169000,0.41475586,0.21163165,0.09743838,0.10568583,138467.0,0.01641411,0.38775466,0.44175707,0.06510144
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 169000,0.39661533,0.19455124,0.0833398,0.1187243,141757.0,0.01734907,0.36807612,0.42515455,0.07195692
"5-49 Units (Rent), 3 BR",All Values,,0.93903696,0.43817826,0.21091523,0.28994347,107721.0,0.03585384,0.8800574,0.99801652,0.06280856
"5-49 Units (Rent), 3 BR",First Tercile,Below 148000,1.1605817,0.61360824,0.24465572,0.30231773,35552.0,0.07428438,1.0383839,1.2827795,0.10529014
"5-49 Units (Rent), 3 BR",Second Tercile,148000 to 195000,0.90405996,0.39449085,0.21309254,0.29647658,36158.0,0.05934064,0.80644461,1.0016753,0.10797442
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 195000,0.75543584,0.30885007,0.17541862,0.27116714,36011.0,0.04906677,0.674721,0.83615068,0.1068454
"50+ Units (Own), 0-1 BR",All Values,,0.02994227,0.01516277,0.00361703,0.01116248,41747.0,0.00721256,0.0180776,0.04180694,0.39625145
"50+ Units (Own), 0-1 BR",First Tercile,Below 133000,0.01791796,0.00555309,0.00644158,0.00592329,13506.0,0.00636564,0.00744648,0.02838944,0.58441231
"50+ Units (Own), 0-1 BR",Second Tercile,133000 to 253000,0.04030478,0.02734458,0.0021363,0.0108239,14043.0,0.01739649,0.01168756,0.068922,0.71002061
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 253000,0.03113115,0.01225525,0.0023947,0.01648119,14198.0,0.01038328,0.01405064,0.04821165,0.54866287
"50+ Units (Own), 2 BR",All Values,,0.07222311,0.03628991,0.01747848,0.01845472,106531.0,0.00696871,0.06075958,0.08368664,0.15872386
"50+ Units (Own), 2 BR",First Tercile,Below 188000,0.08481945,0.04030994,0.02371869,0.02079082,33813.0,0.01433463,0.06123897,0.10839992,0.27800787
"50+ Units (Own), 2 BR",Second Tercile,188000 to 387000,0.07407087,0.03506194,0.01881302,0.02019591,34710.0,0.01077931,0.05633891,0.09180283,0.23939178
"50+ Units (Own), 2 BR",Third Tercile ,Above 387000,0.05932961,0.03383498,0.01070827,0.01478636,38008.0,0.00898386,0.04455117,0.07410806,0.24909057
"50+ Units (Own), 3 BR",All Values,,0.16174526,0.06302336,0.03404584,0.06467607,27228.0,0.01763374,0.13273777,0.19075276,0.17934062
"50+ Units (Own), 3 BR",First Tercile,Below 389000,0.17779012,0.07951138,0.03020544,0.06807329,9005.0,0.03607249,0.11845087,0.23712937,0.33376012
"50+ Units (Own), 3 BR",Second Tercile,389000 to 837000,0.17785698,0.06541734,0.04552771,0.06691193,8698.0,0.04115676,0.1101541,0.24555985,0.38065908
"50+ Units (Own), 3 BR",Third Tercile ,Above 837000,0.13186352,0.04524934,0.0271916,0.05942257,9525.0,0.02292232,0.09415631,0.16957073,0.28595636
"50+ Units (Rent), 0-1 BR",All Values,,0.04566544,0.02458105,0.01026559,0.01081879,191611.0,0.00419681,0.03876169,0.05256919,0.15118108
"50+ Units (Rent), 0-1 BR",First Tercile,Below 107000,0.01660162,0.0078366,0.0024391,0.00632593,63548.0,0.00363823,0.01061674,0.02258651,0.36049993
"50+ Units (Rent), 0-1 BR",Second Tercile,107000 to 175000,0.09122494,0.05194297,0.01934363,0.01993834,63897.0,0.01122192,0.07276488,0.109685,0.20235755
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 175000,0.02908082,0.01391703,0.00897672,0.00618708,64166.0,0.00481729,0.02115638,0.03700527,0.27249727
"50+ Units (Rent), 2 BR",All Values,,0.28918084,0.13631053,0.06902116,0.08384916,143782.0,0.01369662,0.26664991,0.31171178,0.07791295
"50+ Units (Rent), 2 BR",First Tercile,Below 152000,0.34574267,0.17372364,0.08154804,0.09047098,47518.0,0.02596083,0.30303711,0.38844823,0.12351834
"50+ Units (Rent), 2 BR",Second Tercile,152000 to 211000,0.32388833,0.14460047,0.08728268,0.09200518,47856.0,0.02602432,0.28107832,0.36669834,0.13217521
"50+ Units (Rent), 2 BR",Third Tercile ,Above 211000,0.19934722,0.09138985,0.03867129,0.06928607,48408.0,0.01659013,0.17205645,0.22663798,0.13690066
"50+ Units (Rent), 3 BR",All Values,,0.70658376,0.31647712,0.15780567,0.23230097,25411.0,0.0616572,0.60515767,0.80800986,0.14354433
"50+ Units (Rent), 3 BR",First Tercile,Below 167000,0.79598902,0.36564403,0.17452549,0.25581951,8377.0,0.12855832,0.58451059,1.0074674,0.26568009
"50+ Units (Rent), 3 BR",Second Tercile,167000 to 240000,0.83094385,0.36786141,0.16786141,0.29522103,8370.0,0.13896792,0.60234162,1.0595461,0.27511152
"50+ Units (Rent), 3 BR",Third Tercile ,Above 240000,0.5,0.21929825,0.13192521,0.14877655,8664.0,0.07612468,0.3747749,0.6252251,0.25045019
All Housing Types (Own) 0-1 BR,All Values,,0.073346,0.03300325,0.01793321,0.02240953,143198.0,0.00547364,0.06434186,0.08235013,0.12276246
All Housing Types (Own) 0-1 BR,First Tercile,Below 100000,0.04159357,0.01866216,0.01139174,0.01153968,47315.0,0.005856,0.03196046,0.05122669,0.23160097
All Housing Types (Own) 0-1 BR,Second Tercile,100000 to 212000,0.07068821,0.03497929,0.01474281,0.02096612,46599.0,0.00856127,0.05660493,0.0847715,0.19923105
All Housing Types (Own) 0-1 BR,Third Tercile ,Above 212000,0.10634283,0.04490301,0.02722993,0.03420989,49284.0,0.01241475,0.08592057,0.12676509,0.1920417
All Housing Types (Own) 2 BR,All Values,,0.10650216,0.04909177,0.02526485,0.03214554,1084194.0,0.0027405,0.10199403,0.11101029,0.04232899
