Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"5-49 Units (Rent), 0-1 BR",    Above Median,107000,1.5218538,0.02599849,0.0,1.1036172,0.04860588,0.04709872,0.09306707,0.07874906,0.12471741
"5-49 Units (Rent), 2 BR",All Values,,2.3413957,0.13692836,0.26539783,1.3591065,0.20552472,0.12767645,0.11538462,0.06106265,0.07031457
"5-49 Units (Rent), 2 BR",    Below Median,108000,2.2114415,0.16633065,0.26285282,1.1648185,0.16204637,0.08492944,0.17615927,0.10181452,0.09248992
"5-49 Units (Rent), 2 BR",    Above Median,108000,2.4847137,0.1045025,0.26820456,1.5733741,0.25347415,0.17481934,0.0483602,0.01612007,0.04585881
"5-49 Units (Rent), 3 BR",All Values,,3.6913452,0.25078206,0.81751825,1.9165798,0.35922836,0.14807091,0.11418144,0.07194995,0.01303441
"5-49 Units (Rent), 3 BR",    Below Median,137000,4.7145576,0.33396765,1.2159848,2.4072312,0.44243578,0.03901047,0.19029496,0.07516651,0.01046622
"5-49 Units (Rent), 3 BR",    Above Median,137000,2.4509804,0.14994233,0.33448674,1.3217993,0.25836217,0.28027682,0.02191465,0.06805075,0.01614764
"50+ Units (Own), 0-1 BR",All Values,,1.1282051,0.0,0.0,0.0,0.0,0.1025641,0.43589744,0.35897436,0.23076923
"50+ Units (Own), 0-1 BR",    Below Median,60000,1.1282051,0.0,0.0,0.0,0.0,0.1025641,0.43589744,0.35897436,0.23076923
"50+ Units (Own), 2 BR",All Values,,2.1545455,0.0,0.0,0.46363636,1.1454545,0.0,0.19090909,0.0,0.35454545
"50+ Units (Own), 2 BR",    Below Median,250000,2.75,0.0,0.0,0.70833333,1.75,0.0,0.0,0.0,0.29166667
"50+ Units (Own), 2 BR",    Above Median,250000,1.0263158,0.0,0.0,0.0,0.0,0.0,0.55263158,0.0,0.47368421
"50+ Units (Own), 3 BR",All Values,,1.5846154,0.0,0.0,0.0,0.0,0.0,0.0,1.5846154,0.0
"50+ Units (Own), 3 BR",    Below Median,425000,1.5846154,0.0,0.0,0.0,0.0,0.0,0.0,1.5846154,0.0
"50+ Units (Rent), 0-1 BR",All Values,,1.5382809,0.02113668,0.02160639,0.67684359,0.06247064,0.00939408,0.12494129,0.09910756,0.52278065
"50+ Units (Rent), 0-1 BR",    Below Median,99000,1.2734114,0.03762542,0.03846154,0.4632107,0.06688963,0.01672241,0.20735786,0.06772575,0.37541806
"50+ Units (Rent), 0-1 BR",    Above Median,99000,1.8778135,0.0,0.0,0.95069668,0.056806,0.0,0.0192926,0.13933548,0.71168274
"50+ Units (Rent), 2 BR",All Values,,1.9679634,0.01983219,0.11823036,1.1426392,0.13043478,0.0358505,0.2303585,0.05110603,0.23951182
"50+ Units (Rent), 2 BR",    Below Median,110000,1.84,0.01111111,0.09111111,1.3111111,0.02,0.01888889,0.19333333,0.01,0.18444444
"50+ Units (Rent), 2 BR",    Above Median,110000,2.2481752,0.03892944,0.17761557,0.77372263,0.37226277,0.0729927,0.31143552,0.14111922,0.36009732
"50+ Units (Rent), 3 BR",All Values,,5.40301,0.08026756,0.20234114,4.3779264,0.0,0.53010033,0.21237458,0.0,0.0
"50+ Units (Rent), 3 BR",    Below Median,110000,5.9014374,0.0,0.0,5.1663244,0.0,0.55030801,0.18480493,0.0,0.0
"50+ Units (Rent), 3 BR",    Above Median,110000,3.2162162,0.43243243,1.0900901,0.91891892,0.0,0.44144144,0.33333333,0.0,0.0
All Housing Types (Own) 0-1 BR,All Values,,2.2743114,0.11916807,0.36200112,0.27487352,0.27543564,0.2613828,0.32321529,0.53232153,0.12591343
