Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"50+ Units (Own), 0-1 BR",Second Tercile,88000 to 173000,1.1146245,0.0,0.0,0.0,0.0,0.0,0.0,0.0513834,1.0632411,253.0,0.54334402,0.2208236,2.0084254,0.80188521
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 173000,1.0,0.0,0.0,0.13279133,0.18428184,0.0,0.2601626,0.0,0.42276423,369.0,0.43494162,0.28452103,1.715479,0.71547897
"50+ Units (Own), 2 BR",All Values,,1.6274921,0.0,0.0996852,0.11857293,0.0,0.04512067,0.10493179,0.49737671,0.76180483,953.0,0.41264128,0.94869722,2.306287,0.4170803
"50+ Units (Own), 2 BR",First Tercile,Below 113000,1.4972678,0.0,0.0,0.15300546,0.0,0.0,0.0,0.21857923,1.1256831,183.0,0.84430023,0.10839388,2.8861416,0.92760555
"50+ Units (Own), 2 BR",Second Tercile,113000 to 209000,1.9460227,0.0,0.26988636,0.0,0.0,0.08806818,0.0,0.94318182,0.64488636,352.0,0.92436336,0.425445,3.4666005,0.78137717
"50+ Units (Own), 2 BR",Third Tercile ,Above 209000,1.4162679,0.0,0.0,0.20334928,0.0,0.02870813,0.23923445,0.24401914,0.70095694,418.0,0.57323749,0.47329227,2.3592436,0.66581728
"50+ Units (Own), 3 BR",All Values,,1.5582192,0.0,0.0,0.55479452,0.0,0.03082192,0.14726027,0.69178082,0.13356164,292.0,1.1737971,-0.37267708,3.4891154,1.2391686
"50+ Units (Own), 3 BR",Second Tercile,100000 to 100000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,158.0,1.2794316,-1.104665,3.104665,2.104665
"50+ Units (Own), 3 BR",Third Tercile ,Above 100000,2.2164179,0.0,0.0,1.2089552,0.0,0.06716418,0.32089552,0.32835821,0.29104478,134.0,1.904377,-0.9162823,5.3491181,1.4134068
"50+ Units (Rent), 0-1 BR",All Values,,1.1236358,0.00733195,0.00374993,0.36878043,0.04359993,0.0581519,0.15296356,0.16426932,0.32478872,17867.0,0.07546797,0.99949094,1.2477806,0.11048493
"50+ Units (Rent), 0-1 BR",First Tercile,Below 56000,1.0798023,0.0,0.00829802,0.0434322,0.05349576,0.10151836,0.25582627,0.35028249,0.26694915,5664.0,0.12944992,0.86685714,1.2927474,0.19720752
"50+ Units (Rent), 0-1 BR",Second Tercile,56000 to 102000,1.090561,0.0144831,0.00332945,0.40918928,0.05343766,0.04544698,0.15598468,0.10787415,0.30081571,6007.0,0.13326947,0.87133273,1.3097893,0.2010234
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 102000,1.1957715,0.00710136,0.0,0.62701743,0.02501614,0.03082634,0.05600387,0.04890252,0.40090381,6196.0,0.13196554,0.97868816,1.4128548,0.18154247
"50+ Units (Rent), 2 BR",All Values,,1.7515013,0.10666285,0.0866457,0.78681727,0.0549042,0.09207892,0.08950529,0.12096082,0.41392622,6994.0,0.23698222,1.3616655,2.141337,0.22257234
"50+ Units (Rent), 2 BR",First Tercile,Below 101000,1.7313167,0.15791815,0.19172598,0.60186833,0.03514235,0.08362989,0.18104982,0.14368327,0.33629893,2248.0,0.44511483,0.99910283,2.4635306,0.42292313
"50+ Units (Rent), 2 BR",Second Tercile,101000 to 141000,1.8771115,0.11106419,0.06883446,1.0515203,0.05701014,0.12626689,0.03885135,0.12246622,0.30109797,2368.0,0.33446698,1.3269133,2.4273097,0.29310895
"50+ Units (Rent), 2 BR",Third Tercile ,Above 141000,1.6455004,0.05382675,0.00504626,0.6980656,0.07148865,0.06602187,0.05340622,0.0979815,0.59966358,2378.0,0.33198784,1.0993804,2.1916204,0.33188688
"50+ Units (Rent), 3 BR",All Values,,2.9901345,0.12197309,0.44394619,1.7757848,0.30941704,0.03856502,0.12735426,0.00089686,0.17219731,1115.0,1.013111,1.3235669,4.6567022,0.55735542
"50+ Units (Rent), 3 BR",First Tercile,Below 96000,3.2272727,0.0,1.474026,0.62337662,0.56493506,0.0,0.56493506,0.0,0.0,154.0,2.5610742,-0.98569431,7.4402398,1.3054264
"50+ Units (Rent), 3 BR",Second Tercile,96000 to 176000,2.4580777,0.2597137,0.2597137,1.7382413,0.17586912,0.0,0.0,0.0,0.02453988,489.0,1.3182957,0.28948127,4.6266741,0.88223266
"50+ Units (Rent), 3 BR",Third Tercile ,Above 176000,3.4639831,0.0190678,0.29872881,2.190678,0.36440678,0.09110169,0.11652542,0.00211864,0.38135593,472.0,1.590417,0.84774706,6.080219,0.75526813
All Housing Types (Own) 0-1 BR,All Values,,1.5488448,0.02269351,0.08134829,0.18892475,0.11741202,0.18897597,0.36811639,0.28497515,0.29639875,19521.0,0.08999127,1.4008092,1.6968805,0.09557809
All Housing Types (Own) 0-1 BR,First Tercile,Below 66000,1.4295698,0.01071595,0.0341668,0.10762541,0.08790185,0.20484547,0.4033235,0.32349744,0.2574934,6439.0,0.12993114,1.2158331,1.6433065,0.14951122
All Housing Types (Own) 0-1 BR,Second Tercile,66000 to 124000,1.4717473,0.01384139,0.05357434,0.18205504,0.11691907,0.2222765,0.33121641,0.24800521,0.30385931,6141.0,0.14663103,1.2305392,1.7129553,0.1638923
All Housing Types (Own) 0-1 BR,Third Tercile ,Above 124000,1.7277049,0.04163665,0.14969025,0.27042213,0.14522403,0.14479182,0.36810258,0.28194785,0.32588964,6941.0,0.16121526,1.4625058,1.992904,0.15349791
All Housing Types (Own) 2 BR,All Values,,1.8582957,0.06827339,0.15146662,0.31046156,0.18122653,0.20936793,0.35710744,0.32743872,0.25295348,175471.0,0.03468698,1.8012356,1.9153558,0.0307056
All Housing Types (Own) 2 BR,First Tercile,Below 90000,1.8244199,0.06266843,0.16348049,0.29127706,0.18775208,0.21998155,0.38385994,0.30086271,0.21453763,55291.0,0.06054508,1.7248232,1.9240165,0.05459086
All Housing Types (Own) 2 BR,Second Tercile,90000 to 154000,1.8732955,0.07689207,0.17756862,0.36866828,0.20566481,0.23519823,0.32164265,0.27102394,0.21663687,57054.0,0.06312381,1.7694568,1.9771341,0.05543101
All Housing Types (Own) 2 BR,Third Tercile ,Above 154000,1.8744099,0.06539302,0.1173526,0.27465704,0.15342331,0.17672591,0.36572886,0.40170453,0.31942464,63126.0,0.06503573,1.7674261,1.9813937,0.05707598
