Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"5-49 Units (Rent), 3 BR",All Values,,0.9550602,0.47598045,0.16688521,0.31219454,8389.0,0.13932309,0.72587372,1.1842467,0.23997072
"5-49 Units (Rent), 3 BR",    Below Median,165000,1.1083429,0.5696,0.19771429,0.34102857,4375.0,0.22572839,0.73701966,1.4796661,0.33502557
"5-49 Units (Rent), 3 BR",    Above Median,165000,0.78799203,0.37394121,0.13328351,0.28076731,4014.0,0.165101,0.51640089,1.0595832,0.34466229
"50+ Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,4073.0,.,.,.,.
"50+ Units (Own), 0-1 BR",    Below Median,500000,0.0,0.0,0.0,0.0,2154.0,.,.,.,.
"50+ Units (Own), 0-1 BR",    Above Median,500000,0.0,0.0,0.0,0.0,1919.0,.,.,.,.
"50+ Units (Own), 2 BR",All Values,,0.04613402,0.02164948,0.0056701,0.01881443,3880.0,0.02582647,0.00364947,0.08861857,0.92089413
"50+ Units (Own), 2 BR",    Below Median,600000,0.04938272,0.03988604,0.0,0.00949668,2106.0,0.03838178,-0.01375531,0.11252074,1.2785451
"50+ Units (Own), 2 BR",    Above Median,600000,0.04227734,0.0,0.01240135,0.02987599,1774.0,0.0327513,-0.01159856,0.09615323,1.2743445
"50+ Units (Own), 3 BR",All Values,,0.06233766,0.0,0.0,0.06233766,385.0,0.07432414,-0.05992554,0.18460087,1.9613056
"50+ Units (Own), 3 BR",    Below Median,600000,0.0,0.0,0.0,0.0,355.0,.,.,.,.
"50+ Units (Own), 3 BR",    Above Median,600000,0.8,0.0,0.0,0.8,30.0,1.08518,-0.98512104,2.585121,2.2314013
"50+ Units (Rent), 0-1 BR",All Values,,0.00713944,0.00410171,0.00018504,0.00285269,64851.0,0.00211451,0.00366107,0.01061781,0.48720439
"50+ Units (Rent), 0-1 BR",    Below Median,195000,0.01006197,0.00542978,0.00036812,0.00426407,32598.0,0.00399084,0.00349703,0.0166269,0.65245067
"50+ Units (Rent), 0-1 BR",    Above Median,195000,0.00418566,0.00275943,0.0,0.00142622,32253.0,0.00207963,0.00076467,0.00760665,0.81731273
"50+ Units (Rent), 2 BR",All Values,,0.15498416,0.0742207,0.04079847,0.03996499,23996.0,0.02131047,0.11992844,0.19003989,0.22618906
"50+ Units (Rent), 2 BR",    Below Median,219000,0.19500249,0.08940727,0.06267641,0.04291881,12046.0,0.03205166,0.1422775,0.24772748,0.2703811
"50+ Units (Rent), 2 BR",    Above Median,219000,0.11464435,0.05891213,0.01874477,0.03698745,11950.0,0.02851346,0.06773971,0.161549,0.40913177
"50+ Units (Rent), 3 BR",All Values,,0.68343195,0.31286982,0.15162722,0.21893491,2704.0,0.17063518,0.40273708,0.96412683,0.41071371
"50+ Units (Rent), 3 BR",    Below Median,189000,0.61795544,0.32830931,0.13302752,0.15661861,1526.0,0.22081315,0.25471781,0.98119307,0.58780554
"50+ Units (Rent), 3 BR",    Above Median,189000,0.76825127,0.29286927,0.17572156,0.29966044,1178.0,0.2586653,0.34274685,1.1937557,0.553861
All Housing Types (Own) 0-1 BR,All Values,,0.04459083,0.01739718,0.01300566,0.01418799,11841.0,0.01305609,0.02311356,0.0660681,0.48165218
