Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,43000 to 60000,1.2908438,0.01301616,0.04578097,0.42953321,0.15170557,0.20152603,0.25089767,0.11624776,0.08213645,2228.0,0.22149657,0.92648195,1.6552057,0.28226642
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 60000,1.5535478,0.03437638,0.01410313,0.56500661,0.14720141,0.16967827,0.17055972,0.22917585,0.22344645,2269.0,0.26089153,1.1243812,1.9827144,0.27624935
"2-4 Units  (Own/Rent), 2 BR",All Values,,2.0946412,0.14396741,0.21190849,0.60645566,0.19981197,0.26211219,0.28436227,0.22293952,0.16308367,15955.0,0.13628672,1.8704495,2.3188328,0.10703105
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 50000,1.9121282,0.15585168,0.2035535,0.50907686,0.18848976,0.24430282,0.28621089,0.18076477,0.14387795,5178.0,0.22916765,1.5351474,2.289109,0.19715246
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,50000 to 73000,2.2044096,0.14835575,0.2877429,0.76476084,0.25541854,0.25074738,0.25149477,0.16068759,0.08520179,5352.0,0.25678131,1.7820043,2.6268148,0.19161832
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 73000,2.160553,0.12829493,0.14506912,0.54322581,0.15576037,0.29032258,0.31502304,0.32460829,0.25824885,5425.0,0.2394377,1.766678,2.554428,0.18230287
"2-4 Units (Own/Rent), 3 BR",All Values,,2.9146156,0.16009029,0.58045752,0.64843513,0.37318227,0.32313235,0.29409211,0.27777054,0.2574554,23037.0,0.15965217,2.6519878,3.1772434,0.09010719
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 66000,3.1491788,0.20754717,0.8141713,0.80236188,0.3978553,0.29089181,0.26007873,0.21786345,0.15840912,7367.0,0.32654684,2.6120092,3.6863483,0.17057449
"2-4 Units (Own/Rent), 3 BR",Second Tercile,66000 to 125000,2.9952552,0.18350859,0.57360862,0.72775071,0.40087202,0.29302385,0.30276994,0.24878174,0.26493973,7798.0,0.26269456,2.5631226,3.4273878,0.14427237
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 125000,2.6152185,0.09247967,0.36852134,0.42581301,0.3226626,0.38313008,0.31732724,0.36255081,0.34273374,7872.0,0.26187653,2.1844316,3.0460054,0.1647231
"5-49 Units (Own), 0-1 BR",All Values,,1.6105487,0.03942461,0.03303143,0.20937666,0.27810336,0.28023442,0.30900373,0.23228556,0.22908897,1877.0,0.31832193,1.0869092,2.1341883,0.32513116
"5-49 Units (Own), 0-1 BR",First Tercile,Below 106000,1.6023857,0.0,0.05168986,0.20675944,0.23856859,0.41153082,0.42345924,0.14115308,0.12922465,503.0,0.46528844,0.8369862,2.3677852,0.47766246
"5-49 Units (Own), 0-1 BR",Second Tercile,106000 to 166000,1.3338301,0.09985097,0.0,0.13561848,0.33681073,0.26825633,0.23845007,0.14754098,0.10730253,671.0,0.40265654,0.6714601,1.9962001,0.49659248
