Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"5-49 Units (Rent), 0-1 BR",    Above Median,124000,0.0390525,0.01941955,0.01728553,0.00234742,4686.0,0.0365141,-0.02101321,0.0991182,1.5380758
"5-49 Units (Rent), 2 BR",All Values,,0.26468217,0.18727322,0.05174036,0.02566859,14882.0,0.04687259,0.18757676,0.34178758,0.2913132
"5-49 Units (Rent), 2 BR",    Below Median,143000,0.27072042,0.17660278,0.07177792,0.02233972,7565.0,0.06543458,0.16308054,0.37836031,0.39760534
"5-49 Units (Rent), 2 BR",    Above Median,143000,0.25843925,0.19830532,0.03102364,0.02911029,7317.0,0.06922218,0.14456876,0.37230974,0.44060834
"5-49 Units (Rent), 3 BR",All Values,,0.81184283,0.44950194,0.16505257,0.19728832,7228.0,0.13631721,0.58760102,1.0360846,0.27621333
"5-49 Units (Rent), 3 BR",    Below Median,146000,0.81840259,0.498381,0.14678899,0.1732326,3706.0,0.1696092,0.53939546,1.0974097,0.34091672
"5-49 Units (Rent), 3 BR",    Above Median,146000,0.80494037,0.39806928,0.1842703,0.2226008,3522.0,0.2103506,0.45891364,1.1509671,0.42987871
"50+ Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,346.0,.,.,.,.
"50+ Units (Own), 0-1 BR",    Below Median,270000,0.0,0.0,0.0,0.0,282.0,.,.,.,.
"50+ Units (Own), 0-1 BR",    Above Median,270000,0.0,0.0,0.0,0.0,64.0,.,.,.,.
"50+ Units (Own), 2 BR",All Values,,0.0,0.0,0.0,0.0,326.0,.,.,.,.
"50+ Units (Own), 2 BR",    Below Median,460000,0.0,0.0,0.0,0.0,236.0,.,.,.,.
"50+ Units (Own), 2 BR",    Above Median,460000,0.0,0.0,0.0,0.0,90.0,.,.,.,.
"50+ Units (Own), 3 BR",All Values,,0.0,0.0,0.0,0.0,133.0,.,.,.,.
"50+ Units (Own), 3 BR",    Below Median,350000,0.0,0.0,0.0,0.0,133.0,.,.,.,.
"50+ Units (Rent), 0-1 BR",All Values,,0.00677456,0.00677456,0.0,0.0,10628.0,0.00701137,-0.00475915,0.01830826,1.7025031
"50+ Units (Rent), 0-1 BR",    Below Median,131000,0.0,0.0,0.0,0.0,5563.0,.,.,.,.
"50+ Units (Rent), 0-1 BR",    Above Median,131000,0.0142152,0.0142152,0.0,0.0,5065.0,0.01473855,-0.01002971,0.03846012,1.7055624
"50+ Units (Rent), 2 BR",All Values,,0.12827068,0.05218045,0.02165414,0.05443609,6650.0,0.04122003,0.06046373,0.19607763,0.52862394
"50+ Units (Rent), 2 BR",    Below Median,167000,0.11798728,0.0503181,0.02920763,0.03846154,3458.0,0.05880202,0.02125795,0.2147166,0.81982842
"50+ Units (Rent), 2 BR",    Above Median,167000,0.13941103,0.05419799,0.01347118,0.07174185,3192.0,0.05899611,0.04236243,0.23645963,0.69613289
"50+ Units (Rent), 3 BR",All Values,,0.63521289,0.21979287,0.12082854,0.29459148,869.0,0.23499577,0.24864485,1.0217809,0.60856455
"50+ Units (Rent), 3 BR",    Below Median,172000,0.5730897,0.25747508,0.12956811,0.18604651,602.0,0.28651762,0.10176822,1.0444112,0.82242183
"50+ Units (Rent), 3 BR",    Above Median,172000,0.7752809,0.13483146,0.1011236,0.53932584,267.0,0.44843515,0.03760507,1.5129567,0.95149491
All Housing Types (Own) 0-1 BR,All Values,,0.0987055,0.03937433,0.01132686,0.04800431,1854.0,0.07168324,-0.01921344,0.21662444,1.1946541
All Housing Types (Own) 0-1 BR,    Below Median,260000,0.00887574,0.0,0.00887574,0.0,1014.0,0.00945053,-0.00667039,0.02442187,1.7515303
All Housing Types (Own) 0-1 BR,    Above Median,260000,0.20714286,0.08690476,0.01428571,0.10595238,840.0,0.16600864,-0.06594136,0.48022708,1.3183376
All Housing Types (Own) 2 BR,All Values,,0.16762224,0.09495587,0.03085744,0.04180893,15523.0,0.02772296,0.12201797,0.21322651,0.27206576
All Housing Types (Own) 2 BR,    Below Median,300000,0.2001992,0.1311006,0.03398904,0.03510956,8032.0,0.03887336,0.13625252,0.26414589,0.31941527
All Housing Types (Own) 2 BR,    Above Median,300000,0.13269256,0.05620077,0.02749967,0.04899212,7491.0,0.03488668,0.07530398,0.19008115,0.43249287
All Housing Types (Own) 3 BR,All Values,,0.4958111,0.26408446,0.11453884,0.1171878,78899.0,0.02242776,0.45891743,0.53270477,0.07441074
All Housing Types (Own) 3 BR,    Below Median,320000,0.45921793,0.2382855,0.11303135,0.10790108,42298.0,0.02964059,0.41045917,0.50797669,0.10617783
All Housing Types (Own) 3 BR,    Above Median,320000,0.53810005,0.29389907,0.11628098,0.12792,36601.0,0.0414024,0.4699931,0.606207,0.1265693
All Housing Types (Own) 4-5 BR,All Values,,1.0903362,0.48817814,0.25812054,0.34403749,116310.0,0.03077091,1.039718,1.1409543,0.04642435
All Housing Types (Own) 4-5 BR,    Below Median,415000,1.0850335,0.48581362,0.25201391,0.34720597,58965.0,0.04743406,1.0070045,1.1630625,0.07191393
All Housing Types (Own) 4-5 BR,    Above Median,415000,1.0957886,0.49060947,0.26439969,0.34077949,57345.0,0.04037274,1.0293755,1.1622018,0.06060764
All Housing Types (Rent) 0-1 BR,All Values,,0.01908361,0.01273796,0.0048059,0.00153975,21432.0,0.00901159,0.00425955,0.03390768,0.77679556
