Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,119000,1.9993252,0.16869096,0.16261808,0.90688259,0.09649123,0.19635628,0.08299595,0.14844804,0.23684211,1482.0,0.40016069,1.3410609,2.6575896,0.32924325
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,119000,1.6669207,0.03277439,0.08384146,0.46875,0.14405488,0.15625,0.22637195,0.21112805,0.34375,1312.0,0.40438568,1.0017063,2.3321352,0.39906783
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.6944639,0.23989722,0.5360897,0.96285915,0.32772717,0.13010979,0.16911936,0.24316748,0.08549404,4281.0,0.51376067,1.8493276,3.5396002,0.31365657
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,143000,3.1182373,0.28795812,0.69371728,1.3900524,0.40881326,0.14223386,0.11692845,0.02181501,0.05671902,2292.0,0.73423615,1.9104189,4.3260558,0.38734013
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,143000,2.2061337,0.18451483,0.35444947,0.47058824,0.23428859,0.11613876,0.22926094,0.49824032,0.11865259,1989.0,0.68031274,1.0870193,3.3252482,0.50727408
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.2890882,0.0245142,0.10134529,0.46547085,0.0857997,0.14648729,0.13751868,0.17757848,0.15037369,3345.0,0.21897536,0.92887373,1.6493027,0.27943353
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,76000,1.0441604,0.0,0.0191749,0.33875654,0.0,0.18942475,0.17257408,0.17431726,0.14991284,1721.0,0.20507733,0.70680816,1.3815126,0.32308467
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,76000,1.5486453,0.05049261,0.18842365,0.59975369,0.17672414,0.10098522,0.10036946,0.18103448,0.15086207,1624.0,0.4230241,0.85277068,2.24452,0.4493441
"2-4 Units  (Own/Rent), 2 BR",All Values,,2.0881937,0.18557794,0.34075645,0.70060092,0.22923294,0.17621068,0.18398727,0.11470484,0.15712266,5658.0,0.26209613,1.6570456,2.5193418,0.20646941
"2-4 Units  (Own/Rent), 2 BR",    Below Median,94000,1.9415263,0.17740337,0.27518996,0.59729105,0.21968946,0.18169805,0.24347539,0.06838454,0.17839445,3027.0,0.38308688,1.3113483,2.5717042,0.32457862
"2-4 Units  (Own/Rent), 2 BR",    Above Median,94000,2.2569365,0.1949829,0.41619156,0.81946028,0.24021285,0.16989738,0.11554542,0.16799696,0.13264918,2631.0,0.37031387,1.6477702,2.8661028,0.26990848
"2-4 Units (Own/Rent), 3 BR",All Values,,3.657112,0.37047052,0.85505679,1.3996755,0.51757707,0.3190914,0.18983234,0.0048675,0.00054083,1849.0,0.81513308,2.316218,4.9980059,0.36665378
"2-4 Units (Own/Rent), 3 BR",    Below Median,109000,3.8294372,0.37316017,0.83722944,1.5064935,0.48484848,0.37316017,0.24588745,0.00779221,0.0008658,1155.0,1.1022946,2.0161627,5.6427118,0.47350941
"2-4 Units (Own/Rent), 3 BR",    Above Median,109000,3.370317,0.36599424,0.88472622,1.221902,0.57204611,0.22910663,0.09654179,0.0,0.0,694.0,1.0290617,1.6775105,5.0631236,0.50226924
"5-49 Units (Own), 0-1 BR",All Values,,1.2409639,0.0,0.0,0.77108434,0.0,0.0,0.22891566,0.24096386,0.0,166.0,0.94732036,-0.31737814,2.7993059,1.2557513
"5-49 Units (Own), 0-1 BR",    Below Median,220000,1.2992701,0.0,0.0,0.72992701,0.0,0.0,0.27737226,0.2919708,0.0,137.0,1.1195454,-0.54238205,3.1409222,1.4174514
"5-49 Units (Own), 0-1 BR",    Above Median,220000,0.96551724,0.0,0.0,0.96551724,0.0,0.0,0.0,0.0,0.0,29.0,1.3929183,-1.3258334,3.2568679,2.3731846
"5-49 Units (Own), 2 BR",All Values,,2.0460829,0.0,0.0,0.48387097,0.0,0.0,1.1705069,0.36866359,0.02304147,217.0,1.7904894,-0.89927208,4.991438,1.4395091
"5-49 Units (Own), 2 BR",    Below Median,290000,2.1407035,0.0,0.0,0.52763819,0.0,0.0,1.1859296,0.40201005,0.02512563,199.0,1.9898405,-1.1325841,5.4139912,1.529071
"5-49 Units (Own), 2 BR",    Above Median,290000,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,1.4527008,-1.3896928,3.3896928,2.3896928
"5-49 Units (Own), 3 BR",All Values,,2.9102564,0.08974359,0.65384615,0.64102564,0.15384615,1.1410256,0.21794872,0.01282051,0.0,78.0,2.7404984,-1.5978635,7.4183763,1.5490456
"5-49 Units (Own), 3 BR",    Below Median,80000,2.9102564,0.08974359,0.65384615,0.64102564,0.15384615,1.1410256,0.21794872,0.01282051,0.0,78.0,2.7404984,-1.5978635,7.4183763,1.5490456
"5-49 Units (Rent), 0-1 BR",All Values,,1.2522042,0.02436195,0.02057231,0.73101315,0.116628,0.08221191,0.07942769,0.09187935,0.10610982,12930.0,0.10261663,1.0833998,1.4210085,0.13480577
"5-49 Units (Rent), 0-1 BR",    Below Median,94000,1.2530321,0.04169193,0.03486962,0.64842329,0.13432383,0.0453305,0.10506367,0.13402062,0.10930867,6596.0,0.1567705,0.99514467,1.5109196,0.20581073
"5-49 Units (Rent), 0-1 BR",    Above Median,94000,1.251342,0.00631512,0.00568361,0.81701926,0.09820019,0.12061888,0.05273129,0.04799495,0.10277865,6334.0,0.15615441,0.99446796,1.508216,0.20527882
"5-49 Units (Rent), 2 BR",All Values,,2.2289753,0.19536187,0.26467331,1.1335418,0.23223243,0.20376523,0.12103446,0.05680412,0.02156211,15351.0,0.18292261,1.9280676,2.529883,0.13499822
"5-49 Units (Rent), 2 BR",    Below Median,108000,2.1415313,0.21397267,0.22866718,1.0186904,0.24993555,0.19541119,0.12296984,0.08520237,0.02668213,7758.0,0.26114466,1.7119484,2.5711143,0.20059616
"5-49 Units (Rent), 2 BR",    Above Median,108000,2.3183195,0.17634664,0.30146187,1.250889,0.21414461,0.2123008,0.11905703,0.02778875,0.01633083,7593.0,0.22697849,1.9449399,2.6916991,0.16105615
"5-49 Units (Rent), 3 BR",All Values,,3.5267137,0.34324597,1.0115927,1.5584677,0.30443548,0.13961694,0.05493952,0.06754032,0.046875,1984.0,0.76571175,2.2671179,4.7863095,0.35715851
"5-49 Units (Rent), 3 BR",    Below Median,102000,3.2404274,0.38913624,0.66073019,1.7025824,0.18254675,0.1300089,0.0730187,0.08815672,0.01424755,1123.0,0.79591203,1.9311521,4.5497027,0.40404401
"5-49 Units (Rent), 3 BR",    Above Median,102000,3.9001161,0.28339141,1.4692218,1.3704994,0.46341463,0.15214866,0.03135889,0.04065041,0.08943089,861.0,1.5224442,1.3956955,6.4045368,0.64214001
"50+ Units (Own), 0-1 BR",All Values,,1.4827586,0.0,0.0,0.84482759,0.0,0.0,0.10344828,0.22413793,0.31034483,58.0,1.0984597,-0.32420757,3.2897248,1.2186516
"50+ Units (Own), 0-1 BR",    Below Median,215000,1.4827586,0.0,0.0,0.84482759,0.0,0.0,0.10344828,0.22413793,0.31034483,58.0,1.0984597,-0.32420757,3.2897248,1.2186516
"50+ Units (Own), 2 BR",All Values,,1.3432836,0.0,0.0,0.56716418,0.50746269,0.0,0.0,0.0,0.26865672,67.0,1.1603218,-0.56544581,3.252013,1.420943
"50+ Units (Own), 2 BR",    Below Median,120000,1.3432836,0.0,0.0,0.56716418,0.50746269,0.0,0.0,0.0,0.26865672,67.0,1.1603218,-0.56544581,3.252013,1.420943
"50+ Units (Rent), 0-1 BR",All Values,,1.1888313,0.00417386,0.00460564,0.55368451,0.07095567,0.04677605,0.08592401,0.14694876,0.27576281,6948.0,0.1324991,0.97087029,1.4067923,0.18334058
"50+ Units (Rent), 0-1 BR",    Below Median,105000,1.1604414,0.00650821,0.0,0.42614601,0.04697227,0.03735144,0.13978495,0.23910583,0.26457272,3534.0,0.20690297,0.82008604,1.5007968,0.29329821
"50+ Units (Rent), 0-1 BR",    Above Median,105000,1.2182191,0.00175747,0.00937317,0.68570592,0.09578207,0.05653193,0.03016989,0.05155243,0.28734622,3414.0,0.1680395,0.94179413,1.4946441,0.22690908
"50+ Units (Rent), 2 BR",All Values,,2.0629989,0.16277081,0.1895667,0.82098062,0.33808438,0.13511973,0.08836944,0.08067275,0.24743444,3508.0,0.39161444,1.4187931,2.7072046,0.31226666
"50+ Units (Rent), 2 BR",    Below Median,123000,2.0296296,0.0962963,0.14656085,1.0306878,0.26243386,0.06772487,0.13174603,0.0989418,0.1952381,1890.0,0.45395341,1.2828763,2.776383,0.36792593
"50+ Units (Rent), 2 BR",    Above Median,123000,2.1019778,0.24042027,0.23980222,0.57601978,0.42645241,0.21384425,0.03770087,0.05933251,0.30840544,1618.0,0.59921273,1.1162728,3.0876827,0.46894166
"50+ Units (Rent), 3 BR",All Values,,2.6564417,0.0797546,0.69325153,1.1840491,0.2208589,0.0,0.24539877,0.23312883,0.0,163.0,1.3947304,0.36211026,4.9507732,0.86368598
"50+ Units (Rent), 3 BR",    Below Median,127000,2.4295775,0.0915493,0.79577465,0.73943662,0.25352113,0.0,0.28169014,0.26760563,0.0,142.0,1.5644903,-0.14400907,5.003164,1.0592733
"50+ Units (Rent), 3 BR",    Above Median,127000,4.1904762,0.0,0.0,4.1904762,0.0,0.0,0.0,0.0,0.0,21.0,4.8924321,-3.8575746,12.238527,1.9205576
All Housing Types (Own) 0-1 BR,All Values,,1.6253898,0.05501114,0.1247216,0.18752784,0.13808463,0.21648107,0.37126949,0.31826281,0.21403118,4490.0,0.1479893,1.3819474,1.8688322,0.14977479
All Housing Types (Own) 0-1 BR,    Below Median,90000,1.5502351,0.03334758,0.11628901,0.18127405,0.15049166,0.24925182,0.28046174,0.29841813,0.24070115,2339.0,0.23342585,1.1662496,1.9342207,0.24769502
All Housing Types (Own) 0-1 BR,    Above Median,90000,1.707113,0.07856811,0.13389121,0.19432822,0.12459321,0.18084612,0.47001395,0.33984193,0.18503022,2151.0,0.27478586,1.2550902,2.1591357,0.26478783
All Housing Types (Own) 2 BR,All Values,,2.1818052,0.10288976,0.19793079,0.34191937,0.21755262,0.20114163,0.42961113,0.38423118,0.30652872,14015.0,0.17045944,1.9013994,2.462211,0.12852008
All Housing Types (Own) 2 BR,    Below Median,175000,2.1347667,0.11663856,0.21669477,0.40303541,0.20615514,0.24114671,0.38532884,0.30677347,0.25899382,7116.0,0.21847963,1.7753677,2.4941657,0.16835516
All Housing Types (Own) 2 BR,    Above Median,175000,2.2303232,0.08870851,0.17857661,0.278881,0.2293086,0.15987824,0.47528627,0.46412524,0.35555878,6899.0,0.23807605,1.8386881,2.6219583,0.17559567
All Housing Types (Own) 3 BR,All Values,,2.5759031,0.17186471,0.42418861,0.4814963,0.39636846,0.34703082,0.34464647,0.27852671,0.13178101,119949.0,0.06294922,2.4723516,2.6794546,0.04020007
All Housing Types (Own) 3 BR,    Below Median,200000,2.5843229,0.21295918,0.44481649,0.60485438,0.39728533,0.30228836,0.28275321,0.21441288,0.12495304,61223.0,0.0899639,2.4363323,2.7323135,0.05726475
All Housing Types (Own) 3 BR,    Above Median,200000,2.5671253,0.12902292,0.40268365,0.3528931,0.39541259,0.39367571,0.40917141,0.34536662,0.1388993,58726.0,0.09427487,2.4120431,2.7222074,0.06041082
All Housing Types (Own) 4-5 BR,All Values,,3.4637386,0.2539332,0.95412411,0.5269229,0.59407489,0.50461174,0.33944015,0.20679225,0.08383936,86952.0,0.1027253,3.2947555,3.6327217,0.04878634
All Housing Types (Own) 4-5 BR,    Below Median,300000,3.5361486,0.28603604,0.96941441,0.66256757,0.60150901,0.47529279,0.28932432,0.17108108,0.08092342,44400.0,0.15907884,3.274464,3.7978333,0.07400274
All Housing Types (Own) 4-5 BR,    Above Median,300000,3.3881839,0.22043617,0.93816977,0.38538729,0.58631792,0.53520399,0.39173247,0.24405433,0.08688193,42552.0,0.13288674,3.1695852,3.6067826,0.06451795
All Housing Types (Rent) 0-1 BR,All Values,,1.2508169,0.02389315,0.02315798,0.63286228,0.1032511,0.08523934,0.09406143,0.12387682,0.16447476,24484.0,0.07797895,1.1225415,1.3790922,0.10255328
All Housing Types (Rent) 0-1 BR,    Below Median,93000,1.2663815,0.03954164,0.03308586,0.53114913,0.10999032,0.07900258,0.13097159,0.18156875,0.16107166,12392.0,0.11607607,1.0754364,1.4573267,0.1507801
All Housing Types (Rent) 0-1 BR,    Above Median,93000,1.234866,0.00785643,0.01298379,0.73709891,0.09634469,0.09163083,0.05623553,0.06475356,0.16796229,12092.0,0.1056823,1.0610186,1.4087134,0.14078238
All Housing Types (Rent) 2 BR,All Values,,2.1340977,0.1814677,0.26088706,0.95735693,0.23520735,0.1840826,0.13282376,0.08535318,0.09691911,29829.0,0.13249295,1.9161468,2.3520486,0.1021279
All Housing Types (Rent) 2 BR,    Below Median,107000,2.0338635,0.19966865,0.22809808,0.84115308,0.24287608,0.16587144,0.16308814,0.09933731,0.09377071,15090.0,0.17738199,1.7420701,2.3256569,0.14346753
All Housing Types (Rent) 2 BR,    Above Median,107000,2.2367189,0.1628333,0.29445688,1.0763281,0.22735599,0.20272746,0.10183866,0.07103603,0.10014248,14739.0,0.1848697,1.9326083,2.5408296,0.13596284
All Housing Types (Rent) 3 BR,All Values,,3.0958892,0.28917695,0.75108763,1.1259877,0.41636331,0.2292462,0.18028056,0.07777679,0.02596999,22526.0,0.22091948,2.7324767,3.4593017,0.11738551
All Housing Types (Rent) 3 BR,    Below Median,136000,3.155007,0.28707258,0.82641312,1.1414864,0.40570482,0.21502094,0.19678995,0.05687369,0.0256455,11464.0,0.3089258,2.646824,3.6631899,0.16107189
All Housing Types (Rent) 3 BR,    Above Median,136000,3.034623,0.2913578,0.67302477,1.1099259,0.42740915,0.24398843,0.16317122,0.09943952,0.02630627,11062.0,0.31525408,2.5160301,3.553216,0.17089205
All Housing Types (Rent) 4-5 BR,All Values,,3.8156566,0.37998405,1.1168262,1.274588,0.58798511,0.26382243,0.10127592,0.06778309,0.02339181,7524.0,0.44883624,3.0773209,4.5539922,0.19350159
All Housing Types (Rent) 4-5 BR,    Below Median,170000,3.2905214,0.26098125,0.81685076,1.4803493,0.40148985,0.2103776,0.04443874,0.07552016,0.00051374,3893.0,0.53484164,2.410707,4.1703359,0.26737844
All Housing Types (Rent) 4-5 BR,    Above Median,170000,4.3786836,0.50757367,1.4384467,1.0539796,0.78793721,0.32112366,0.16221427,0.05948774,0.04792068,3631.0,0.75478378,3.1370642,5.6203029,0.28355996
