Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"5-49 Units (Own), 3 BR",    Above Median,249000,1.6599852,0.0,0.07126949,0.0705271,0.09131403,0.34595397,0.41054195,0.22865627,0.44172235
"5-49 Units (Rent), 0-1 BR",All Values,,1.327342,0.04325324,0.03731176,0.75496058,0.15175068,0.10164045,0.09822129,0.08333022,0.05687381
"5-49 Units (Rent), 0-1 BR",    Below Median,111000,1.2819038,0.05081889,0.04015682,0.64584326,0.1273953,0.11321584,0.13039974,0.10314,0.07093394
"5-49 Units (Rent), 0-1 BR",    Above Median,111000,1.3746235,0.03538069,0.03435129,0.86850433,0.17709406,0.08959549,0.0647375,0.06271684,0.04224332
"5-49 Units (Rent), 2 BR",All Values,,2.0446942,0.14454933,0.2659989,0.85327012,0.3070073,0.20186261,0.14038518,0.08046931,0.05115147
"5-49 Units (Rent), 2 BR",    Below Median,131000,2.0147873,0.15588541,0.31584718,0.81125074,0.26892693,0.17924714,0.15625088,0.07239043,0.05498861
"5-49 Units (Rent), 2 BR",    Above Median,131000,2.0746508,0.13319441,0.21606781,0.89535932,0.34515093,0.22451566,0.12449313,0.08856161,0.04730795
"5-49 Units (Rent), 3 BR",All Values,,3.1559322,0.29096971,0.80233398,1.1981106,0.40600167,0.2522923,0.11375382,0.06985274,0.02261739
"5-49 Units (Rent), 3 BR",    Below Median,144000,3.045375,0.36464028,0.86004811,1.0821124,0.41253007,0.17351848,0.09588891,0.04045484,0.01618194
"5-49 Units (Rent), 3 BR",    Above Median,144000,3.2702,0.21482653,0.74268279,1.318002,0.39925415,0.33371002,0.13221833,0.10023731,0.02926884
"50+ Units (Own), 0-1 BR",All Values,,1.2414097,0.0,0.0,0.5277533,0.22555066,0.19647577,0.1277533,0.10837004,0.05550661
"50+ Units (Own), 0-1 BR",    Below Median,265000,1.1668947,0.0,0.0,0.48290014,0.26949384,0.20793434,0.07387141,0.0875513,0.04514364
"50+ Units (Own), 0-1 BR",    Above Median,265000,1.3762376,0.0,0.0,0.60891089,0.1460396,0.17574257,0.22524752,0.1460396,0.07425743
"50+ Units (Own), 2 BR",All Values,,1.6617179,0.0,0.0,0.52704136,0.2290562,0.21208908,0.2242842,0.21155885,0.25768823
"50+ Units (Own), 2 BR",    Below Median,330000,1.5812442,0.0,0.0,0.55246054,0.28040854,0.24976787,0.19127205,0.11142061,0.19591458
"50+ Units (Own), 2 BR",    Above Median,330000,1.7688504,0.0,0.0,0.49320148,0.16069221,0.16192831,0.26823239,0.34487021,0.33992583
"50+ Units (Own), 3 BR",All Values,,1.9060773,0.01657459,0.10773481,0.01933702,0.01381215,0.37845304,0.39502762,0.57458564,0.40055249
"50+ Units (Own), 3 BR",    Below Median,600000,1.8726592,0.02247191,0.08614232,0.02621723,0.01872659,0.41573034,0.38202247,0.53932584,0.38202247
"50+ Units (Own), 3 BR",    Above Median,600000,2.0,0.0,0.16842105,0.0,0.0,0.27368421,0.43157895,0.67368421,0.45263158
"50+ Units (Rent), 0-1 BR",All Values,,1.1679349,0.00573817,0.00907503,0.67089752,0.13322522,0.06651905,0.06081208,0.08582299,0.13584482
"50+ Units (Rent), 0-1 BR",    Below Median,144000,1.1368147,0.00725626,0.01097742,0.60996031,0.10220789,0.07268668,0.08564872,0.10996031,0.13811709
"50+ Units (Rent), 0-1 BR",    Above Median,144000,1.1994104,0.00420273,0.00715092,0.73253042,0.16459666,0.06028102,0.03569188,0.06141011,0.13354661
